Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	72.8881272155	90	0.0	-0.085	0.033346	0.023313	593	782	1	3023
74	44.9972091341	50	0.0	-0.085	0.082123	-0.002885	313	581	1	3798
75	134.820267066	130	0.0	-0.085	-0.078651	-0.005854	1172	593	1	2318
76	46.6064450017	50	0.0	-0.085	0.114125	0.035711	301	578	1	2282
77	95.6026957458	90	0.0	-0.085	-0.010895	0.026062	807	792	1	2260
78	140.34960352	130	0.0	-0.085	-0.090636	-0.009885	1186	563	1	2208
79	137.832646537	130	0.0	-0.085	-0.084757	-0.008235	1189	550	1	2094
80	94.9972914948	90	0.0	-0.085	-0.010083	0.030312	709	776	1	3172
81	43.9043126651	50	0.0	-0.085	0.084298	-0.003866	313	590	1	2239
82	137.639600945	130	0.0	-0.085	-0.082504	-0.009768	1171	549	1	2845
83	93.4131716321	90	0.0	-0.085	-0.006917	0.030976	739	788	1	2099
84	49.0082216307	50	0.0	-0.085	0.075301	0.001649	338	606	1	2240
85	77.5318676908	50	0.0	-0.085	0.024280	0.024809	616	770	1	2117
86	140.02365251	130	0.0	-0.085	-0.087628	-0.011533	1181	565	1	2119
87	98.4559390654	90	0.0	-0.085	-0.016558	0.026378	843	781	1	2178
88	75.9814942978	50	0.0	-0.085	0.027707	0.025974	605	760	1	2474
89	138.901433428	130	0.0	-0.085	-0.085458	-0.010454	1174	592	1	3069
90	104.782351387	90	0.0	-0.085	-0.029868	0.028187	934	755	1	2641
145	128.738549126	130	0.0	-0.085	-0.069761	0.001956	1095	660	2	2600
146	56.2816106383	50	0.0	-0.085	0.062916	0.009273	324	592	2	2419
147	104.875719805	90	0.0	-0.085	-0.029379	0.025603	848	769	2	2219
148	132.247393773	130	0.0	-0.085	-0.075781	-0.001564	1152	616	2	2180
149	47.0884699159	50	0.0	-0.085	0.080046	0.001105	325	595	2	2577
150	86.2258217833	90	0.0	-0.085	0.007596	0.030148	625	770	2	2169
151	131.47135246	130	0.0	-0.085	-0.075422	0.000335	1139	603	2	2120
152	81.4400604713	50	0.0	-0.085	0.017085	0.028506	579	745	2	2187
153	108.613501574	90	0.0	-0.085	-0.036146	0.022322	898	753	2	2217
154	97.3152768654	90	0.0	-0.085	-0.014563	0.028442	889	771	2	2265
155	76.7183869828	50	0.0	-0.085	0.026852	0.028755	574	755	2	2231
156	136.464575717	130	0.0	-0.085	-0.084818	-0.004411	1184	539	2	2867
157	107.066773249	90	0.0	-0.085	-0.033490	0.024086	917	756	2	2265
158	106.803712625	130	0.0	-0.085	-0.032211	0.021663	934	748	2	2887
159	68.6347190739	50	0.0	-0.085	0.041772	0.021780	559	743	2	2193
160	135.200146448	130	0.0	-0.085	-0.079286	-0.006266	1171	579	2	2157
161	97.917473809	90	0.0	-0.085	-0.015942	0.029631	885	774	2	2394
162	67.5115383389	50	0.0	-0.085	0.044710	0.023001	505	729	2	2381
217	130.684572151	130	0.0	-0.085	-0.074577	0.001751	1136	638	3	2220
218	93.3997477651	90	0.0	-0.085	-0.006995	0.032748	688	783	3	2119
219	67.3087010327	50	0.0	-0.085	0.045008	0.022641	395	667	3	2079
220	59.4944230455	50	0.0	-0.085	0.060007	0.016849	340	589	3	2059
221	135.336279662	130	0.0	-0.085	-0.080634	-0.005307	1211	519	3	2223
222	95.2129303875	90	0.0	-0.085	-0.010266	0.027523	726	783	3	1999
223	109.449220869	90	0.0	-0.085	-0.037671	0.021680	841	769	3	2179
224	49.5559847667	50	0.0	-0.085	0.074257	0.002116	277	539	3	2099
225	130.269787915	130	0.0	-0.085	-0.073578	0.001853	1131	597	3	1999
226	69.9716127548	50	0.0	-0.085	0.038987	0.021951	536	745	3	2176
227	68.2527502441	90	0.0	-0.085	0.042944	0.022655	532	743	3	2119
228	133.113556672	130	0.0	-0.085	-0.078439	-0.001218	1138	605	3	2079
229	77.0983899344	90	0.0	-0.085	0.025671	0.027071	538	738	3	2140
230	79.4816263641	50	0.0	-0.085	0.021512	0.030861	558	727	3	2290
231	142.549793883	130	0.0	-0.085	-0.090847	-0.015416	1162	535	3	2114
232	76.0778150217	50	0.0	-0.085	0.027643	0.026515	548	733	3	2614
233	114.316773371	130	0.0	-0.085	-0.046642	0.018220	913	759	3	2046
234	112.570036158	90	0.0	-0.085	-0.043997	0.020852	922	753	3	2039
289	95.9934226955	90	0.0	-0.085	-0.012117	0.030413	736	787	4	2186
290	48.7450245876	50	0.0	-0.085	0.074635	0.000090	317	564	4	2180
291	141.835182264	130	0.0	-0.085	-0.090325	-0.014011	1186	566	4	2100
292	77.2229128322	50	0.0	-0.085	0.024922	0.024898	563	745	4	2364
293	116.147681232	90	0.0	-0.085	-0.051513	0.019930	935	757	4	2020
294	137.059172079	130	0.0	-0.085	-0.081756	-0.008919	1187	552	4	2079
295	136.059971703	130	0.0	-0.085	-0.084471	-0.003598	1149	564	4	2057
296	109.06391914	90	0.0	-0.085	-0.039330	0.028810	871	745	4	2059
297	81.556290581	50	0.0	-0.085	0.017179	0.030725	591	763	4	2039
298	142.301681227	130	0.0	-0.085	-0.089959	-0.015476	1172	580	4	2747
299	91.3130389183	90	0.0	-0.085	-0.002707	0.033102	741	773	4	2728
300	73.5187469481	50	0.0	-0.085	0.033697	0.028896	574	746	4	2224
301	74.0616276152	50	0.0	-0.085	0.031386	0.024902	579	735	4	2166
302	116.040437569	130	0.0	-0.085	-0.050840	0.019051	953	746	4	2160
303	108.604947047	90	0.0	-0.085	-0.037234	0.025607	855	770	4	2234
304	66.4303027903	50	0.0	-0.085	0.046952	0.022624	412	658	4	2079
305	122.407459778	90	0.0	-0.085	-0.062229	0.013029	1003	737	4	1999
306	107.612548399	130	0.0	-0.085	-0.035632	0.027241	933	755	4	2114
