Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	45	526.57096248	117.097879282	-0.000438	-0.085177	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	0
187	45	526.760195759	117.267536705	-0.000380	-0.085125	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
187	45	526.215334421	117.613376835	-0.000547	-0.085019	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
187	45	525.484502447	117.783034258	-0.000771	-0.084967	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
187	45	524.792822186	117.7862969	-0.000983	-0.084966	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
187	45	523.549755302	117.701468189	-0.001364	-0.084992	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	100
187	45	522.075040783	117.619902121	-0.001816	-0.085017	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	120
187	45	520.737357259	117.450244698	-0.002226	-0.085069	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
187	45	519.442088091	117.110929853	-0.002623	-0.085173	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
187	45	518.241435563	116.859706362	-0.002991	-0.085250	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
187	45	517.079934747	116.435562806	-0.003347	-0.085380	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
187	45	516.241435563	116.096247961	-0.003604	-0.085484	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
187	45	515.402936378	115.756933116	-0.003861	-0.085588	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
187	45	514.701468189	115.33278956	-0.004076	-0.085718	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
187	45	514.323001631	114.993474715	-0.004192	-0.085822	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
187	45	513.905383361	114.823817292	-0.004320	-0.085874	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
187	45	513.526916803	114.484502447	-0.004436	-0.085978	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
187	45	513.337683524	114.314845024	-0.004494	-0.086030	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
187	45	513.243066884	114.230016313	-0.004523	-0.086056	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	360
187	45	513.380097879	114.141924959	-0.004481	-0.086083	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	380
187	45	513.474714519	114.22675367	-0.004452	-0.086057	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	400
187	45	513.569331158	114.311582382	-0.004423	-0.086031	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	420
187	45	513.79771615	114.311582382	-0.004353	-0.086031	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	440
187	45	514.029363785	114.311582382	-0.004282	-0.086031	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	460
187	45	514.257748777	114.308319739	-0.004212	-0.086032	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	480
187	45	514.626427406	114.220228385	-0.004099	-0.086059	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	500
187	45	515.588907015	114.044045677	-0.003804	-0.086113	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	520
187	45	516.685154976	113.783034258	-0.003468	-0.086193	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	540
187	45	518.055464927	113.349102773	-0.003048	-0.086326	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	560
187	45	519.615008157	113.088091354	-0.002570	-0.086406	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	580
187	45	520.766721044	113.081566069	-0.002217	-0.086408	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	600
187	45	521.960848287	112.908646003	-0.001851	-0.086461	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	620
187	45	523.060358891	112.650897227	-0.001514	-0.086540	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	640
187	45	523.889070147	112.562805873	-0.001260	-0.086567	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	660
