trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	87.164	90	0	0	0.6268	12.653	-0.58861	8.8773	1	6462	1
74	144.08	130	0	0	-9.1261	6.6102	-11.998	3.5453	1	2595	1
75	43.261	50	0	0	8.2757	7.7881	11.107	5.294	1	3521	1
76	30.143	50	0	0	10.003	5.8084	11.44	1.8827	1	2425	1
77	155.74	130	0	0	-11.276	5.0822	-13.046	2.112	1	2600	1
78	85.518	90	0	0	0.8801	11.228	-2.6133	6.842	1	2450	1
79	39.798	50	0	0	9.2961	7.7446	10.487	3.402	1	2706	1
80	96.073	90	0	0	-1.1954	11.236	-1.1841	6.9853	1	2505	1
81	157.96	130	0	0	-10.619	4.2994	-12.046	1.4527	1	2710	1
82	69.135	50	0	0	4.6968	12.323	7.2003	7.186	1	2874	1
83	106.53	90	0	0	-3.2183	10.844	-2.0416	7.8453	1	2629	1
84	161.4	130	0	0	-10.637	3.5794	-12.951	-0.26733	1	2729	1
85	75.52	50	0	0	2.8753	11.134	5.9379	9.5367	1	2896	1
86	142.94	130	0	0	-9.0197	6.8114	-10.45	3.746	1	2781	1
87	117.26	90	0	0	-5.2135	10.118	-5.1858	6.3833	1	2730	1
88	109.69	90	0	0	-3.9675	11.085	-5.7336	6.8993	1	3105	1
89	143.6	130	0	0	-9.033	6.6604	-9.9735	4.4053	1	2903	1
90	67.59	50	0	0	4.3007	10.429	7.0098	6.6127	1	3020	1
145	49.178	50	0	0	7.2997	8.4503	12.322	5.3513	2	3271	1
146	140.24	130	0	0	-8.561	7.1239	-12.903	4.9213	2	3923	1
147	87.98	90	0	0	0.4023	11.405	0.38798	10.397	2	3325	1
148	90.005	90	0	0	-0.001	11.285	-2.2322	9.594	2	3175	1
149	148.41	130	0	0	-9.5683	5.8842	-15.071	3.574	2	2743	1
150	61.074	50	0	0	5.4602	9.8807	8.034	7.358	2	2789	1
151	93.211	90	0	0	-0.6431	11.462	1.7457	9.4793	2	2713	1
152	140.93	130	0	0	-8.7777	7.125	-11.546	5.208	2	2749	1
153	57.152	50	0	0	6.1377	9.5062	7.9149	6.154	2	2755	1
154	60.501	50	0	0	5.6248	9.9423	8.9392	5.6093	2	2776	1
155	137.16	130	0	0	-8.2799	7.6789	-12.927	5.6953	2	2869	1
156	91.803	90	0	0	-0.3529	11.21	-1.6605	10.139	2	2689	1
157	94.217	90	0	0	-0.8453	11.465	-1.4461	10.196	2	2889	1
158	149.99	130	0	0	-9.9867	5.7677	-13.094	2.886	2	2749	1
159	50.475	50	0	0	7.1914	8.7161	10.654	5.6953	2	2750	1
