Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	130.85992623	130	0.0	-0.085	-0.072752	-0.000894	1162	554	1	6806
74	43.7575057213	50	0.0	-0.085	0.083543	-0.005004	352	605	1	4066
75	80.4700139452	90	0.0	-0.085	0.018784	0.026889	749	770	1	3025
76	94.2180276143	130	0.0	-0.085	-0.008195	0.026116	886	763	1	2783
77	68.9991589147	90	0.0	-0.085	0.041610	0.023393	644	770	1	2829
78	36.2225575837	50	0.0	-0.085	0.095011	-0.015405	312	566	1	3225
79	135.547912156	130	0.0	-0.085	-0.081604	-0.004942	1179	579	1	3807
80	105.003361468	90	0.0	-0.085	-0.029655	0.025648	902	757	1	2993
81	65.5017412046	50	0.0	-0.085	0.047723	0.019727	597	742	1	2764
82	98.9308077136	130	0.0	-0.085	-0.017305	0.025120	883	740	1	2855
83	59.2089409462	90	0.0	-0.085	0.059797	0.015346	562	737	1	2663
84	24.3751458229	50	0.0	-0.085	0.102755	-0.038442	301	531	1	2894
85	113.203564187	130	0.0	-0.085	-0.044102	0.017880	920	764	1	2711
86	101.79540212	90	0.0	-0.085	-0.023506	0.027562	775	771	1	3258
87	31.3675752929	50	0.0	-0.085	0.098877	-0.024722	353	582	1	2848
88	92.4565867393	130	0.0	-0.085	-0.004870	0.028515	825	756	1	2832
89	99.8038571446	90	0.0	-0.085	-0.019165	0.025909	763	779	1	2892
90	26.8280043551	50	0.0	-0.085	0.104609	-0.032094	356	592	1	3604
145	81.7211327072	90	0.0	-0.085	0.016219	0.026465	792	777	2	3929
146	139.019475659	130	0.0	-0.085	-0.086452	-0.009900	1160	585	2	2784
147	30.2016789594	50	0.0	-0.085	0.099984	-0.026804	297	557	2	2686
148	58.2974256118	50	0.0	-0.085	0.061870	0.015166	557	754	2	2713
149	53.5246912974	90	0.0	-0.085	0.068228	0.007288	565	742	2	2373
150	130.797667797	130	0.0	-0.085	-0.074316	0.001103	1071	684	2	2421
151	62.6699792988	50	0.0	-0.085	0.053888	0.019272	599	751	2	2371
152	101.757998106	130	0.0	-0.085	-0.023140	0.026172	904	747	2	2411
153	102.445507675	90	0.0	-0.085	-0.025082	0.028649	955	736	2	2323
154	79.0216981568	90	0.0	-0.085	0.021855	0.027662	775	775	2	2589
155	28.4692094562	50	0.0	-0.085	0.104129	-0.028535	306	543	2	2539
156	106.37641112	130	0.0	-0.085	-0.032635	0.026053	908	758	2	3431
157	136.760273542	130	0.0	-0.085	-0.082305	-0.007603	1177	584	2	2459
158	67.00029347	90	0.0	-0.085	0.045405	0.021969	585	748	2	2515
