trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	38.972	50	0	0	9.3908	7.5968	10.678	7.1	1	11343	1
47	135.81	130	0	0	-8.6714	8.4308	-9.3065	6.842	1	13045	1
48	84.684	90	0	0	1.119	12.026	0.84055	10.741	1	4648	1
49	44.371	50	0	0	8.5986	8.4119	8.5342	8.4187	1	5168	1
50	118.57	130	0	0	-5.8044	10.661	-5.281	10.397	1	6584	1
51	89.13	90	0	0	0.184	12.117	1.841	11.457	1	5726	1
52	99.502	90	0	0	-1.9917	11.9	-1.1841	11.429	1	7088	1
53	145.78	130	0	0	-9.943	6.7627	-8.854	6.6987	1	6288	1
54	33.421	50	0	0	10.032	6.6204	9.7728	6.8707	1	5448	1
55	67.428	50	0	0	4.6736	11.243	5.7474	10.397	1	4872	1
56	132.31	130	0	0	-8.1779	8.9852	-7.8297	7.5013	1	4997	1
57	77.517	90	0	0	2.6045	11.765	4.08	10.827	1	4113	1
58	116.49	90	0	0	-5.3741	10.785	-5.1619	10.425	1	4437	1
59	54.763	50	0	0	6.9586	9.8508	8.5104	8.0173	1	6132	1
60	127.38	130	0	0	-7.3732	9.6493	-5.9718	10.741	1	4292	1
61	137.64	130	0	0	-8.9633	8.1721	-8.9016	7.358	1	4276	1
62	41.845	50	0	0	9.0055	8.0645	9.9396	7.0713	1	5095	1
63	90.685	90	0	0	-0.1452	12.152	-0.15986	11.285	1	5872	1
118	75.536	90	0	0	3.0171	11.696	4.7231	11.83	2	5258	1
119	54.422	50	0	0	7.0641	9.875	8.2484	8.82	2	4247	1
120	142.38	130	0	0	-9.5357	7.3476	-9.7115	7.014	2	3511	1
121	59.563	50	0	0	6.139	10.448	4.7946	11.027	2	4275	1
122	60.872	90	0	0	5.8697	10.534	5.9617	10.855	2	3895	1
123	146.22	130	0	0	-10.007	6.6943	-9.8067	5.724	2	3349	1
124	129.46	130	0	0	-7.6917	9.3457	-8.1394	8.2467	2	3980	1
125	69.401	50	0	0	4.232	11.259	4.4373	10.339	2	3789	1
126	75.262	90	0	0	3.0699	11.67	4.2706	10.397	2	4910	1
127	131.13	130	0	0	-7.9988	9.1587	-5.8765	10.511	2	3370	1
128	123.77	90	0	0	-6.7074	10.032	-5.2572	10.741	2	3130	1
129	26.089	50	0	0	10.808	5.2922	11.393	2.9147	2	4450	1
130	46.69	50	0	0	8.2809	8.7844	8.6533	5.8387	2	3754	1
131	120.52	130	0	0	-6.112	10.37	-4.6856	10.282	2	3349	1
132	74.669	90	0	0	3.2065	11.696	4.1991	10.712	2	4690	1
133	65.434	50	0	0	5.0352	11.015	5.3662	10.483	2	3714	1
134	131.2	130	0	0	-7.9575	9.0882	-7.0913	9.25	2	3870	1
135	76.887	90	0	0	2.7426	11.774	3.6274	11.515	2	3978	1
190	36.382	50	0	0	9.6868	7.1369	10.225	6.7847	3	5234	1
