trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	83.586	90	0	0	1.2391	11.023	2.8652	13.98	1	4692	1
74	140.49	130	0	0	-8.6087	7.0999	-7.9726	5.982	1	3876	1
75	34.383	50	0	0	9.189	6.2878	12.298	7.1573	1	3528	1
76	113.79	130	0	0	-4.4882	10.18	-6.1624	8.7053	1	3599	1
77	64.327	50	0	0	4.9366	10.27	7.2718	11.658	1	3633	1
78	55.827	90	0	0	6.3535	9.3584	6.1523	12.633	1	3445	1
79	139.84	130	0	0	-8.6105	7.2662	-8.5681	8.218	1	3639	1
80	84.052	90	0	0	1.1984	11.502	0.14979	14.267	1	3385	1
81	30.633	50	0	0	10.61	6.2831	11.512	7.0713	1	3688	1
82	137.09	130	0	0	-8.1329	7.5603	-8.2347	10.11	1	3752	1
83	110.79	90	0	0	-4.0885	10.771	-3.709	13.12	1	3845	1
84	60.702	50	0	0	5.6509	10.071	6.1285	12.289	1	4054	1
85	35.427	50	0	0	10.157	7.2253	9.8443	9.5653	1	4581	1
86	100.64	90	0	0	-2.1263	11.319	-1.6843	13.923	1	4228	1
87	103.04	130	0	0	-2.5546	11.028	-4.4235	12.776	1	4104	1
88	132.91	130	0	0	-7.6901	8.2737	-7.4724	10.368	1	3662	1
89	67.763	50	0	0	4.3617	10.668	6.0808	12.977	1	3636	1
90	94.518	90	0	0	-0.9324	11.801	0.10215	14.869	1	3469	1
145	78.17	90	0	0	2.2809	10.889	4.1276	13.55	2	3693	1
146	99.502	130	0	0	-1.854	11.076	-2.0892	13.063	2	2844	1
147	36.029	50	0	0	9.2932	6.759	10.583	9.1353	2	3190	1
148	70.86	50	0	0	3.6888	10.628	6.1999	12.633	2	3065	1
149	100.67	90	0	0	-2.057	10.92	-0.92209	13.865	2	2823	1
150	146.15	130	0	0	-9.3263	6.2562	-7.8774	8.1893	2	3054	1
151	121.91	130	0	0	-5.8792	9.4413	-5.3525	11.429	2	3135	1
152	38.625	50	0	0	9.2331	7.3773	10.535	9.594	2	2839	1
153	73.111	90	0	0	3.2515	10.709	4.2706	14.152	2	3096	1
154	114.16	130	0	0	-4.6269	10.313	-4.5903	11.916	2	2720	1
155	45.641	50	0	0	8.4893	8.6814	10.345	9.25	2	2858	1
156	64.803	90	0	0	4.9859	10.597	5.9141	13.206	2	3000	1
157	61.908	50	0	0	5.4237	10.161	9.0106	10.941	2	2986	1
158	100.23	90	0	0	-1.9921	11.039	1.6028	14.725	2	3153	1
159	145.59	130	0	0	-9.2173	6.3125	-8.6396	6.6127	2	2932	1
160	49.236	50	0	0	7.478	8.6743	10.106	9.4793	2	3004	1
161	109.73	130	0	0	-3.9655	11.056	-2.2083	12.174	2	2870	1
162	69.134	90	0	0	4.1124	10.788	5.5092	12.776	2	2970	1
217	149.54	130	0	0	-9.7699	5.745	-7.7106	6.9567	3	2819	1
218	69.854	50	0	0	3.9852	10.863	6.0808	12.317	3	2785	1
