trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	123.61	130	0	0	-6.8023	10.234	-8.6396	8.8773	1	5140	1
47	59.564	50	0	0	6.1665	10.495	6.4381	12.776	1	5026	1
48	71.112	90	0	0	3.9257	11.474	5.3901	13.55	1	3936	1
49	115.83	130	0	0	-5.249	10.841	-6.6149	9.3073	1	4505	1
50	108.57	90	0	0	-3.8686	11.518	-3.7328	12.317	1	6479	1
51	56.822	50	0	0	6.5902	10.079	7.9626	11.142	1	4369	1
52	98.04	130	0	0	-1.6873	11.946	-3.0658	12.776	1	6001	1
53	82.894	90	0	0	1.4942	11.986	2.4603	12.719	1	6059	1
54	69.349	50	0	0	4.2339	11.234	5.6521	11.515	1	7865	1
55	93.621	90	0	0	-0.7672	12.125	-1.2317	13.063	1	6031	1
56	43.383	50	0	0	8.8139	8.3299	9.0821	8.7913	1	4715	1
57	87.185	130	0	0	0.5959	12.12	-1.4461	12.432	1	4759	1
58	101.62	130	0	0	-2.4203	11.77	-3.4231	13.263	1	7554	1
59	49.592	50	0	0	8.0194	9.4202	8.2722	10.54	1	4710	1
60	73.992	90	0	0	3.34	11.642	2.9605	12.805	1	7234	1
61	116.42	130	0	0	-5.3977	10.864	-5.948	12.031	1	4838	1
62	89.659	90	0	0	0.0738	12.402	0.29271	12.977	1	3480	1
63	63.93	50	0	0	5.2805	10.793	5.8665	12.575	1	4994	1
118	36.742	50	0	0	9.7408	7.2716	7.5815	12.432	2	3578	1
119	79.813	90	0	0	2.196	12.221	3.1987	13.665	2	4601	1
120	123.01	130	0	0	-6.5635	10.102	-5.7336	10.569	2	3011	1
121	93.435	90	0	0	-0.7463	12.433	1.9362	11.945	2	5963	1
122	70.649	50	0	0	3.9822	11.339	6.0332	11.629	2	2765	1
123	107.81	130	0	0	-3.7929	11.807	-1.6843	11.801	2	3487	1
124	113.85	90	0	0	-4.9665	11.234	-4.4474	10.999	2	4463	1
125	101.32	130	0	0	-2.3941	11.963	-0.75535	11.027	2	2405	1
126	65.871	50	0	0	4.9749	11.106	5.4853	11.887	2	2389	1
127	85.304	50	0	0	1.0096	12.29	2.6747	13.521	2	2150	1
128	99.446	90	0	0	-2.0172	12.124	-0.18368	13.464	2	2450	1
129	99.056	130	0	0	-1.8932	11.877	-3.0182	13.693	2	2308	1
130	116.06	130	0	0	-5.2897	10.816	-7.1151	11.228	2	2369	1
131	76.069	90	0	0	2.9794	12.011	3.294	13.349	2	2249	1
132	66.51	50	0	0	4.8273	11.108	4.8184	11.83	2	2620	1
133	92.647	90	0	0	-0.5653	12.229	-0.49334	12.919	2	2299	1
134	94.85	130	0	0	-1.058	12.47	-0.99354	13.206	2	2289	1
135	42.152	50	0	0	9.0072	8.1536	10.249	9.508	2	2360	1
190	93.376	90	0	0	-0.7217	12.234	-1.1126	13.235	3	2971	1
191	36.2	50	0	0	9.928	7.2661	10.273	9.8233	3	2500	1
192	103.58	130	0	0	-2.8451	11.782	-1.9701	12.26	3	3016	1
193	100.7	130	0	0	-2.2293	11.798	-1.1841	14.152	3	2109	1
194	109.27	90	0	0	-4.0325	11.532	-3.3755	12.633	3	2269	1
195	84.082	50	0	0	1.2567	12.123	2.5556	13.493	3	2269	1
196	121.76	130	0	0	-6.4766	10.463	-7.6154	10.311	3	3829	1
197	86.456	90	0	0	0.7619	12.303	1.2217	13.751	3	2928	1
198	71.931	50	0	0	3.7373	11.456	4.5564	13.034	3	2982	1
199	55.293	50	0	0	7.1621	10.341	6.4381	11.629	3	2489	1
200	72.895	90	0	0	3.5789	11.63	3.7465	13.665	3	2409	1
201	109.01	130	0	0	-3.9454	11.453	-5.2334	12.145	3	2429	1
202	51.578	50	0	0	7.5567	9.5266	7.248	11.945	3	3049	1
203	109.59	130	0	0	-4.1692	11.715	-6.2338	12.231	3	2409	1
204	91.099	90	0	0	-0.2367	12.341	0.34034	13.665	3	2209	1
205	82.512	90	0	0	1.6074	12.229	1.4837	13.865	3	2250	1
206	71.006	50	0	0	3.9272	11.41	3.0558	12.919	3	3207	1
207	116.56	130	0	0	-5.3663	10.733	-6.7579	8.7913	3	3192	1
262	47.548	50	0	0	8.3378	9.1145	8.5581	11.056	4	2771	1
263	98.133	130	0	0	-1.749	12.239	-2.2083	14.611	4	2389	1
264	100.37	90	0	0	-2.2274	12.167	-2.7324	13.091	4	4410	1
265	95.942	90	0	0	-1.2533	12.042	-1.2317	13.636	4	2269	1
266	80.489	50	0	0	2.033	12.134	3.2463	14.209	4	2449	1
267	95.311	130	0	0	-1.1415	12.28	-1.5176	11.973	4	2309	1
268	91.959	130	0	0	-0.4249	12.42	-2.0654	13.55	4	2169	1
269	95.611	90	0	0	-1.1881	12.092	-0.3266	12.432	4	2249	1
270	69.851	50	0	0	4.1528	11.318	4.4373	12.375	4	3066	1
271	39.764	50	0	0	9.5267	7.9272	10.535	10.397	4	2389	1
272	101.52	130	0	0	-2.4622	12.085	-2.5418	12.289	4	2852	1
273	83.927	90	0	0	1.2802	12.033	1.5313	13.12	4	2229	1
274	96.431	90	0	0	-1.3586	12.054	0.12597	12.059	4	2348	1
275	101.45	130	0	0	-2.4042	11.866	-3.1611	10.454	4	2649	1
276	56.623	50	0	0	6.7021	10.173	6.3428	10.999	4	2409	1
277	71.232	50	0	0	3.9161	11.525	4.4135	13.349	4	3340	1
278	103.58	130	0	0	-2.8266	11.7	-2.3513	10.855	4	2309	1
279	84.65	90	0	0	1.1533	12.316	1.3169	13.779	4	2369	1
