trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	123.13	130	0	0	-6.2028	9.5031	-7.6868	8.1033	1	3013	1
74	58.449	50	0	0	5.8779	9.5726	7.248	11.945	1	2541	1
75	70.132	90	0	0	3.7948	10.501	4.4611	13.12	1	3386	1
76	115.16	130	0	0	-4.7185	10.045	-4.9714	10.626	1	4241	1
77	107.28	90	0	0	-3.3519	10.778	-3.971	11.314	1	3835	1
78	55.22	50	0	0	6.4381	9.2701	7.7006	11.601	1	5415	1
79	97.477	130	0	0	-1.4608	11.13	-1.6129	12.604	1	2551	1
80	82.361	90	0	0	1.4942	11.14	2.3412	11.687	1	3932	1
81	68.511	50	0	0	4.0802	10.364	4.8422	11.027	1	3076	1
82	91.371	90	0	0	-0.2743	11.459	-0.89827	11.457	1	3464	1
83	43.323	50	0	0	8.3149	7.8418	8.5104	10.483	1	4950	1
84	87.098	130	0	0	0.5746	11.336	-1.2317	13.177	1	2863	1
85	101.02	130	0	0	-2.1423	11.002	-4.2568	12.776	1	3245	1
86	49.062	50	0	0	7.5441	8.6974	7.51	10.741	1	3447	1
87	74.693	90	0	0	2.9399	10.742	2.627	12.031	1	3209	1
88	115.12	130	0	0	-4.8004	10.237	-7.4724	10.196	1	3129	1
89	88.245	90	0	0	0.3521	11.489	-0.088406	13.235	1	2329	1
90	63.356	50	0	0	4.9851	9.9361	5.2472	10.827	1	4889	1
145	37.341	50	0	0	8.9655	6.8401	10.678	9.1067	2	2329	1
146	79.518	90	0	0	2.1262	11.492	3.3416	13.579	2	2451	1
147	122.87	130	0	0	-6.0307	9.3335	-6.9246	9.3933	2	2130	1
148	93.14	90	0	0	-0.6347	11.568	0.10215	13.321	2	2490	1
149	71.588	50	0	0	3.5319	10.61	4.7708	13.091	2	2483	1
150	104.97	130	0	0	-3.0696	11.477	-3.5422	12.26	2	2773	1
151	111.76	90	0	0	-4.2694	10.697	-5.1143	12.633	2	2329	1
152	99.67	130	0	0	-1.9039	11.174	-1.4461	13.521	2	2209	1
153	66.239	50	0	0	4.5661	10.372	4.866	11.687	2	3128	1
154	83.895	50	0	0	1.2479	11.668	2.5794	13.435	2	2209	1
155	97.326	90	0	0	-1.4572	11.335	-1.8987	14.668	2	2848	1
156	97.035	130	0	0	-1.3641	11.054	-1.4461	12.031	2	2648	1
157	114.24	130	0	0	-4.6415	10.311	-4.7332	9.9953	2	2559	1
158	76.035	90	0	0	2.7564	11.084	3.1987	12.231	2	2169	1
159	66.795	50	0	0	4.4637	10.412	3.6989	12.719	2	2209	1
160	90.84	90	0	0	-0.1692	11.543	0.48326	14.582	2	3010	1
161	93.808	130	0	0	-0.767	11.525	-1.589	12.547	2	2521	1
162	43.856	50	0	0	8.325	7.9989	9.9872	9.7087	2	2350	1
217	92.239	90	0	0	-0.4416	11.297	-2.0654	13.607	3	2566	1
218	37.72	50	0	0	9.0487	6.9987	9.6537	9.0207	3	2210	1
219	101.61	130	0	0	-2.2879	11.135	-2.78	13.005	3	4129	1
220	98.452	130	0	0	-1.6675	11.221	-2.6847	13.349	3	2209	1
221	106.8	90	0	0	-3.3449	11.081	-3.3517	12.461	3	2229	1
222	82.778	50	0	0	1.4131	11.151	2.9128	13.378	3	2805	1
223	118.8	130	0	0	-5.6018	10.189	-6.0909	10.97	3	2209	1
224	84.966	90	0	0	1.0208	11.589	-0.064586	12.575	3	2209	1
225	70.213	50	0	0	3.8654	10.744	5.1757	13.493	3	2249	1
226	55.001	50	0	0	6.6596	9.5114	6.1285	11.973	3	2189	1
227	71.383	90	0	0	3.6296	10.775	3.6989	12.489	3	2169	1
228	107.01	130	0	0	-3.2919	10.759	-5.1143	12.174	3	2149	1
229	52.154	50	0	0	6.9778	8.9809	8.0578	12.547	3	2189	1
230	107.28	130	0	0	-3.4868	11.21	-4.5665	12.547	3	2189	1
231	89.475	90	0	0	0.1071	11.678	0.4118	11.629	3	2249	1
232	82.997	90	0	0	1.415	11.52	1.4599	13.464	3	2149	1
233	70.933	50	0	0	3.6621	10.595	3.4369	12.289	3	2189	1
234	114.81	130	0	0	-4.7494	10.275	-5.3525	10.999	3	2169	1
289	47.977	50	0	0	7.857	8.7191	8.1055	11.543	4	2227	1
290	97.519	130	0	0	-1.4966	11.339	-3.5422	12.403	4	2189	1
291	98.292	90	0	0	-1.6629	11.41	-1.9701	12.145	4	2190	1
292	93.697	90	0	0	-0.7405	11.46	-0.87445	13.177	4	2169	1
293	79.99	50	0	0	2.0068	11.369	2.9605	13.005	4	2260	1
294	93.69	130	0	0	-0.7467	11.579	-2.1369	13.579	4	2170	1
295	91.489	130	0	0	-0.3042	11.701	-1.9701	13.665	4	2170	1
296	93.374	90	0	0	-0.6695	11.356	-1.4223	13.292	4	2210	1
297	69.939	50	0	0	3.9235	10.744	3.9609	13.091	4	2170	1
298	42.803	50	0	0	8.584	7.9498	9.0583	9.0493	4	2209	1
299	99.672	130	0	0	-1.9626	11.515	-3.0897	13.091	4	2230	1
300	83.393	90	0	0	1.3233	11.425	1.579	13.149	4	2169	1
301	94.705	90	0	0	-0.9333	11.341	-0.37424	13.493	4	2169	1
302	100.22	130	0	0	-1.9841	11	-3.0658	12.948	4	2109	1
303	55.61	50	0	0	6.5081	9.5084	6.6525	11.945	4	2209	1
304	72.113	50	0	0	3.4881	10.808	3.9847	12.69	4	2149	1
305	103.29	130	0	0	-2.575	10.904	-2.3513	13.693	4	2164	1
306	85.699	90	0	0	0.8607	11.445	0.12597	13.321	4	2189	1
