trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	136.73	130	0	0	-8.8662	8.3462	-7.4963	11.085	1	3853	1
92	90.574	50	0	0	-0.1223	12.204	5.1042	12.776	1	2492	1
93	117.49	90	0	0	-5.6029	10.767	-1.3508	14.152	1	2644	1
94	131.82	130	0	0	-8.1173	9.0739	-4.2568	11.916	1	2529	1
95	106.94	90	0	0	-3.5107	11.523	1.8172	14.095	1	2389	1
96	85.891	50	0	0	0.8816	12.272	5.9141	12.805	1	2409	1
97	140.68	130	0	0	-9.2878	7.6065	-5.8289	11.945	1	2349	1
98	107.54	90	0	0	-3.7697	11.925	-0.30278	13.263	1	2309	1
99	82.616	50	0	0	1.5998	12.345	4.9613	13.321	1	2309	1
100	126.39	130	0	0	-7.4163	10.063	-2.9467	12.661	1	2269	1
101	85.157	50	0	0	1.0232	12.077	4.9613	13.12	1	2309	1
102	104.97	90	0	0	-3.1119	11.64	0.57854	14.123	1	2209	1
103	97.372	90	0	0	-1.626	12.567	1.1502	13.636	1	2229	1
104	117.14	130	0	0	-5.4781	10.686	-2.8991	12.059	1	2189	1
105	67.894	50	0	0	4.5701	11.251	6.9145	10.884	1	2270	1
106	73.838	50	0	0	3.3943	11.713	6.1047	11.887	1	2330	1
107	119.38	130	0	0	-5.9761	10.614	-4.757	12.059	1	2230	1
108	95.115	90	0	0	-1.1101	12.403	1.1026	12.833	1	2230	1
235	73.753	50	0	0	3.4632	11.884	6.0808	12.805	2	3057	1
236	101.8	90	0	0	-2.4646	11.801	0.0068719	14.41	2	2269	1
237	121.75	130	0	0	-6.4275	10.385	-2.5656	12.117	2	2169	1
238	82.353	50	0	0	1.6481	12.275	4.9137	12.432	2	2269	1
239	124.98	130	0	0	-7.0121	10.02	-4.1377	10.999	2	2209	1
240	95.453	90	0	0	-1.1577	12.128	1.6742	12.69	2	2129	1
241	110.62	130	0	0	-4.2903	11.405	-2.5418	12.26	2	2289	1
242	102.63	90	0	0	-2.6444	11.805	0.12597	13.923	2	2009	1
243	85.177	50	0	0	1.0411	12.339	4.866	12.518	2	2209	1
244	120.05	130	0	0	-6.2564	10.816	-4.9714	12.919	2	2171	1
245	58.856	50	0	0	6.3576	10.521	8.0817	11.543	2	2389	1
246	107.27	90	0	0	-3.5867	11.537	-2.0654	14.095	2	2049	1
247	82.788	90	0	0	1.5325	12.11	1.9362	13.865	2	2149	1
248	62.963	50	0	0	5.5817	10.937	7.6767	11.113	2	2130	1
249	101.85	130	0	0	-2.4918	11.879	-2.1369	13.206	2	2229	1
250	106	90	0	0	-3.3965	11.848	-2.2083	13.034	2	2069	1
251	110.16	130	0	0	-4.2095	11.467	-3.9472	12.432	2	2110	1
252	59.611	50	0	0	6.1799	10.538	8.5104	10.253	2	2269	1
379	110.26	90	0	0	-4.2219	11.435	-1.6367	14.926	3	2444	1
380	115.96	130	0	0	-5.3342	10.954	-3.4946	11.715	3	2930	1
381	73.797	50	0	0	3.3647	11.579	5.8426	12.145	3	2069	1
382	117.9	130	0	0	-5.6559	10.683	-4.4712	11.543	3	2129	1
383	81.646	50	0	0	1.8076	12.309	5.6283	12.891	3	2189	1
384	101.59	90	0	0	-2.4518	11.959	-0.92209	14.066	3	2029	1
385	116.42	130	0	0	-5.5161	11.104	-4.5665	11.629	3	2069	1
386	99.952	90	0	0	-2.0858	11.887	0.62618	13.894	3	1969	1
387	81.383	50	0	0	1.8009	11.884	4.5802	12.919	3	3098	1
388	86.806	50	0	0	0.6772	12.137	-16.476	-10.1	3	2049	0
389	117.31	130	0	0	-5.5908	10.826	-4.3521	12.174	3	2089	1
390	94.385	90	0	0	-0.9397	12.253	-16.476	-10.1	3	2069	0
391	80.511	50	0	0	2.0624	12.339	6.2476	11.601	3	2788	1
392	94.695	90	0	0	-0.9854	11.998	2.6985	13.034	3	2032	1
393	98.461	130	0	0	-1.8176	12.218	-1.9225	12.948	3	2030	1
394	97.52	90	0	0	-1.6026	12.141	-0.99354	14.467	3	1990	1
395	78.967	50	0	0	2.323	11.915	-7.9012	5.896	3	1890	0
396	106.74	130	0	0	-3.5397	11.766	-2.78	12.69	3	2029	1
523	65.503	50	0	0	5.0034	10.981	5.7712	12.833	4	2410	1
524	93.888	90	0	0	-0.8195	12.057	1.2217	13.521	4	2049	1
525	110.33	130	0	0	-4.2465	11.46	-2.8753	13.837	4	1989	1
526	103.96	50	0	0	-2.9353	11.808	4.8899	13.034	4	2049	1
527	129.6	130	0	0	-7.8049	9.4343	-5.948	11.773	4	1949	1
528	104.14	90	0	0	-2.9682	11.781	1.2217	13.435	4	1829	1
529	105.07	90	0	0	-3.1284	11.618	-0.89827	13.665	4	1829	1
530	110.83	130	0	0	-4.3049	11.316	-2.4704	13.579	4	1829	1
531	97.731	50	0	0	-1.6776	12.357	4.4611	12.69	4	1869	1
532	103.34	50	0	0	-2.8462	12.001	4.7469	13.55	4	1788	1
533	105.97	90	0	0	-3.3432	11.684	-1.8749	13.923	4	1829	1
534	93.946	130	0	0	-0.8269	11.986	-1.9463	13.55	4	1749	1
535	90.424	50	0	0	-0.0898	12.13	4.6517	12.117	4	1889	1
536	99.281	90	0	0	-1.9444	11.898	-0.39806	13.865	4	1789	1
537	101.74	130	0	0	-2.4759	11.917	-3.1849	13.12	4	1789	1
538	84.586	90	0	0	1.1525	12.16	3.3654	12.547	4	1749	1
539	116.96	130	0	0	-5.5165	10.845	-5.0667	11.457	4	1830	1
540	62.424	50	0	0	5.7605	11.03	6.581	11.257	4	2190	1
