Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	130	529.738988581	116.840130506	0.000533	-0.085256	528	395	0.0	-0.085	0	0	1	0	19
73	130	530.420880914	116.412724307	0.000742	-0.085387	528	395	0.0	-0.085	0	0	1	0	24
73	130	530.923327896	116.239804241	0.000896	-0.085440	528	395	0.0	-0.085	0	0	1	0	40
73	130	531.520391517	116.15497553	0.001079	-0.085466	528	395	0.0	-0.085	0	0	1	0	61
73	130	532.208809135	116.158238173	0.001290	-0.085465	528	395	0.0	-0.085	0	0	1	0	81
73	130	532.763458401	116.243066884	0.001460	-0.085439	528	395	0.0	-0.085	0	0	1	0	100
73	130	532.67862969	116.585644372	0.001434	-0.085334	528	395	0.0	-0.085	0	0	1	0	121
73	130	532.319738989	117.101141925	0.001324	-0.085176	528	395	0.0	-0.085	0	0	1	0	140
73	130	531.230016313	117.7862969	0.000990	-0.084966	528	395	0.0	-0.085	0	0	1	0	161
73	130	528.822185971	119.156606852	0.000252	-0.084546	528	395	0.0	-0.085	0	0	1	0	181
73	130	525.872756933	120.876019576	-0.000652	-0.084019	528	395	0.0	-0.085	0	0	1	0	201
73	130	521.882544861	123.120717781	-0.001875	-0.083331	528	395	0.0	-0.085	0	0	1	0	221
73	130	516.815660685	126.070146819	-0.003428	-0.082427	528	395	0.0	-0.085	0	0	1	0	241
73	130	510.544861338	129.825448613	-0.005350	-0.081276	528	395	0.0	-0.085	0	0	1	0	260
73	130	503.660685155	133.871125612	-0.007460	-0.080036	528	395	0.0	-0.085	0	0	1	0	281
73	130	495.533442088	138.48776509	-0.009951	-0.078621	528	395	0.0	-0.085	0	0	1	0	300
73	130	485.83360522	144.223491028	-0.012924	-0.076863	528	395	0.0	-0.085	0	0	1	0	321
73	130	474.763458401	151.280587276	-0.016317	-0.074700	528	395	0.0	-0.085	0	0	1	0	340
73	130	462.528548124	159.427406199	-0.020067	-0.072203	528	395	0.0	-0.085	0	0	1	0	360
73	130	448.71451876	169.153344209	-0.024301	-0.069222	528	395	0.0	-0.085	0	0	1	0	380
73	130	433.168026101	180.970636215	-0.029066	-0.065600	528	395	0.0	-0.085	0	0	1	0	400
73	130	416.417618271	194.755301794	-0.034200	-0.061375	528	395	0.0	-0.085	0	0	1	0	420
73	130	399.197389886	209.897226754	-0.039478	-0.056734	528	395	0.0	-0.085	0	0	1	0	440
73	130	382.261011419	225.378466558	-0.044669	-0.051989	528	395	0.0	-0.085	0	0	1	0	461
73	130	365.461663948	241.489396411	-0.049818	-0.047051	528	395	0.0	-0.085	0	0	1	0	481
73	130	349.207177814	257.734094617	-0.054800	-0.042072	528	395	0.0	-0.085	0	0	1	0	500
73	130	333.063621533	274.141924959	-0.059748	-0.037043	528	395	0.0	-0.085	0	0	1	0	520
73	130	317.784665579	289.874388254	-0.064431	-0.032221	528	395	0.0	-0.085	0	0	1	0	541
73	130	303.908646003	304.543230016	-0.068684	-0.027725	528	395	0.0	-0.085	0	0	1	0	560
73	130	291.520391517	317.998368679	-0.072481	-0.023601	528	395	0.0	-0.085	0	0	1	0	581
73	130	279.921696574	330.45187602	-0.076036	-0.019784	528	395	0.0	-0.085	0	0	1	0	600
73	130	269.5954323	341.913539967	-0.079201	-0.016271	528	395	0.0	-0.085	0	0	1	0	620
