Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	50	531.500815661	115.300163132	0.001073	-0.085728	528	395	0.0	-0.085	0	0	1	0	0
91	50	532.551386623	114.787928222	0.001395	-0.085885	528	395	0.0	-0.085	0	0	1	0	20
91	50	535.236541599	113.254486134	0.002218	-0.086355	528	395	0.0	-0.085	0	0	1	0	41
91	50	538.711256117	111.812398042	0.003283	-0.086797	528	395	0.0	-0.085	0	0	1	0	60
91	50	542.427406199	110.807504078	0.004422	-0.087105	528	395	0.0	-0.085	0	0	1	0	80
91	50	546.564437194	109.982055465	0.005690	-0.087358	528	395	0.0	-0.085	0	0	1	0	100
91	50	551.445350734	109.427406199	0.007186	-0.087528	528	395	0.0	-0.085	0	0	1	0	121
91	50	555.784665579	109.646003263	0.008516	-0.087461	528	395	0.0	-0.085	0	0	1	0	140
91	50	560.67862969	109.962479608	0.010016	-0.087364	528	395	0.0	-0.085	0	0	1	0	160
91	50	565.298531811	110.882544861	0.011432	-0.087082	528	395	0.0	-0.085	0	0	1	0	180
91	50	570.189233279	111.646003263	0.012931	-0.086848	528	395	0.0	-0.085	0	0	1	0	201
91	50	574.619902121	112.840130506	0.014289	-0.086482	528	395	0.0	-0.085	0	0	1	0	220
91	50	579.363784666	114.135399674	0.015743	-0.086085	528	395	0.0	-0.085	0	0	1	0	240
91	50	583.370309951	115.593800979	0.016971	-0.085638	528	395	0.0	-0.085	0	0	1	0	260
91	50	587.187601958	116.882544861	0.018141	-0.085243	528	395	0.0	-0.085	0	0	1	0	280
91	50	590.815660685	118.435562806	0.019253	-0.084767	528	395	0.0	-0.085	0	0	1	0	300
91	50	593.517128874	119.965742251	0.020081	-0.084298	528	395	0.0	-0.085	0	0	1	0	320
91	50	596.081566069	121.156606852	0.020867	-0.083933	528	395	0.0	-0.085	0	0	1	0	340
91	50	598.36867863	122.079934747	0.021568	-0.083650	528	395	0.0	-0.085	0	0	1	0	360
91	50	600.293637847	122.654159869	0.022158	-0.083474	528	395	0.0	-0.085	0	0	1	0	380
91	50	601.621533442	122.866231648	0.022565	-0.083409	528	395	0.0	-0.085	0	0	1	0	400
91	50	602.358890701	122.719412724	0.022791	-0.083454	528	395	0.0	-0.085	0	0	1	0	420
