trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	65.396	50	0	0	5.0748	11.082	7.8197	9.4507	1	9820	1
92	135.58	130	0	0	-8.842	8.6636	-8.449	9.422	1	2482	1
93	91.226	90	0	0	-0.2574	12.03	-0.39806	12.317	1	2684	1
94	120.41	130	0	0	-6.0965	10.387	-7.4724	9.766	1	2710	1
95	68.19	50	0	0	4.5045	11.256	7.8435	9.7373	1	2719	1
96	107.24	90	0	0	-3.5679	11.497	-0.18368	12.489	1	2959	1
97	102.52	90	0	0	-2.6232	11.817	0.10215	12.403	1	2779	1
98	66.235	50	0	0	4.9443	11.229	8.2008	9.422	1	2891	1
99	125.06	130	0	0	-6.997	9.9715	-7.5439	9.6227	1	3035	1
100	92.844	90	0	0	-0.6079	12.236	-0.49334	12.547	1	2865	1
101	114.47	130	0	0	-5.0564	11.11	-6.7817	10.511	1	2940	1
102	60.096	50	0	0	6.0708	10.556	7.4385	10.225	1	2648	1
103	101.11	90	0	0	-2.318	11.802	-0.3266	12.403	1	2600	1
104	75.551	50	0	0	3.0407	11.801	6.5572	10.196	1	2799	1
105	118.1	130	0	0	-5.7321	10.737	-7.2581	9.3073	1	2679	1
106	95.825	90	0	0	-1.2324	12.08	-0.15986	12.145	1	2694	1
107	65.187	50	0	0	5.158	11.156	6.6049	10.139	1	3139	1
108	107.38	130	0	0	-3.6421	11.633	-6.8293	9.9667	1	2539	1
235	106.53	90	0	0	-3.4511	11.632	-1.8272	12.547	2	3331	1
236	141.62	130	0	0	-9.6931	7.6771	-8.3061	8.9633	2	2442	1
237	62.359	50	0	0	5.6142	10.72	7.3909	9.852	2	2452	1
238	106.09	90	0	0	-3.3989	11.781	-0.82681	11.859	2	2519	1
239	66.861	50	0	0	4.8049	11.244	6.5096	10.913	2	2619	1
240	135.87	130	0	0	-8.8157	8.5519	-6.9246	8.6193	2	2279	1
241	106.83	90	0	0	-3.5833	11.846	-1.851	12.575	2	2470	1
242	123.22	130	0	0	-6.73	10.277	-7.5201	10.196	2	2279	1
243	72.069	50	0	0	3.7849	11.697	6.9622	9.6227	2	2277	1
244	82.17	50	0	0	1.6765	12.191	5.9379	10.425	2	2401	1
245	130.75	130	0	0	-7.9482	9.2241	-8.2347	8.9347	2	2479	1
246	94.396	90	0	0	-0.9263	12.049	-0.66007	11.773	2	2354	1
247	130.35	130	0	0	-7.8215	9.2054	-6.6149	10.54	2	2320	1
248	92.811	90	0	0	-0.6045	12.311	-0.70771	11.973	2	2479	1
249	77.798	50	0	0	2.5365	11.73	5.9856	11.027	2	3250	1
250	129.04	130	0	0	-7.5798	9.348	-6.0433	10.454	2	2179	1
251	97.582	90	0	0	-1.5846	11.904	-0.54098	11.601	2	3312	1
252	59.179	50	0	0	6.3141	10.583	6.4381	10.54	2	2620	1
379	73.089	50	0	0	3.5271	11.601	7.4624	9.7087	3	3902	1
380	145.79	130	0	0	-10.13	6.8869	-7.8535	9.0207	3	2340	1
381	89.374	90	0	0	0.1318	12.065	-1.4461	12.088	3	2386	1
382	103.29	90	0	0	-2.7861	11.795	-1.8034	11.945	3	2439	1
383	59.611	50	0	0	6.1936	10.562	6.8192	9.9093	3	2480	1
384	142.13	130	0	0	-9.6027	7.4664	-7.4486	9.6513	3	2596	1
385	64.159	50	0	0	5.2699	10.881	7.3671	9.7947	3	2784	1
386	133.74	130	0	0	-8.4551	8.8348	-7.7821	8.7053	3	2510	1
387	103.36	90	0	0	-2.8003	11.793	-1.4223	12.547	3	2658	1
388	68.988	50	0	0	4.3475	11.319	7.0098	10.368	3	2712	1
389	112.21	90	0	0	-4.5861	11.233	-2.8276	12.031	3	2684	1
390	130.2	130	0	0	-7.8176	9.2517	-7.7344	9.6227	3	2782	1
391	72.055	50	0	0	3.7116	11.461	5.9856	10.483	3	2732	1
392	119.73	90	0	0	-6.0352	10.568	-1.7081	11.687	3	2588	1
393	131.8	130	0	0	-8.1112	9.0731	-7.9726	9.7373	3	2392	1
394	77.31	50	0	0	2.698	11.982	6.6049	9.9953	3	4340	1
395	110.22	90	0	0	-4.2249	11.471	-1.4461	12.547	3	2499	1
396	133.83	130	0	0	-8.3867	8.7361	-7.2104	9.3073	3	2439	1
523	122.73	90	0	0	-6.5105	10.131	-1.7319	12.489	4	3354	1
524	145.33	130	0	0	-10.104	6.9881	-7.3295	9.7947	4	2259	1
525	73.136	50	0	0	3.5235	11.623	6.6763	10.54	4	2079	1
526	117	90	0	0	-5.4914	10.776	-1.2317	12.776	4	2079	1
527	143.33	130	0	0	-9.7066	7.2273	-6.6388	10.626	4	2279	1
528	73.187	50	0	0	3.5465	11.737	6.2952	10.798	4	2238	1
529	126.39	130	0	0	-7.1576	9.7126	-7.1628	10.454	4	2099	1
530	93.321	90	0	0	-0.716	12.338	-1.3747	11.371	4	2705	1
531	55.923	50	0	0	6.9375	10.255	6.0808	10.597	4	2498	1
532	89.902	50	0	0	0.0208	12.11	5.9617	10.941	4	2300	1
533	116.52	90	0	0	-5.4217	10.866	-1.6129	12.633	4	2439	1
534	136.43	130	0	0	-8.9164	8.4824	-7.5915	9.7373	4	2109	1
535	101.96	90	0	0	-2.4937	11.77	-0.89827	11.658	4	3490	1
536	56.071	50	0	0	6.8911	10.244	6.8907	9.4793	4	2600	1
537	123.99	130	0	0	-6.72	9.9668	-6.734	9.2213	4	3796	1
538	66.245	50	0	0	4.8355	10.987	6.1761	10.253	4	2259	1
539	107.65	90	0	0	-3.6944	11.614	-1.2079	11.171	4	2262	1
540	139.2	130	0	0	-9.2012	7.9418	-9.0445	8.1893	4	2479	1
