Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	138.181360702	130	0.0	-0.085	-0.083163	-0.010595	1097	725	1	2690
140	95.7398882528	90	0.0	-0.085	-0.011464	0.029051	858	844	1	2450
141	70.3119897034	50	0.0	-0.085	0.039349	0.024970	508	795	1	2350
142	106.532137627	90	0.0	-0.085	-0.032016	0.022862	857	843	1	2390
143	62.7901811066	50	0.0	-0.085	0.052680	0.017461	441	773	1	2529
144	130.195963483	130	0.0	-0.085	-0.072356	0.000634	1037	765	1	2369
145	66.8630242075	50	0.0	-0.085	0.045339	0.021106	515	800	1	2409
146	129.353406248	130	0.0	-0.085	-0.073054	0.004085	1095	719	1	2389
147	94.7712755863	90	0.0	-0.085	-0.009332	0.026804	839	855	1	2249
148	121.362524138	130	0.0	-0.085	-0.059840	0.013178	1029	792	1	2269
149	96.7497583805	90	0.0	-0.085	-0.013629	0.030155	821	860	1	2409
150	70.2082505718	50	0.0	-0.085	0.039238	0.024037	489	814	1	2189
151	115.914070168	90	0.0	-0.085	-0.049697	0.017283	928	811	1	2269
152	135.963510771	130	0.0	-0.085	-0.083193	-0.004559	1125	648	1	2229
153	64.2728309967	50	0.0	-0.085	0.049079	0.016855	301	663	1	2249
154	122.485072269	130	0.0	-0.085	-0.061214	0.011142	920	795	1	2289
155	81.1200077984	50	0.0	-0.085	0.017606	0.027687	560	815	1	2609
156	93.9579243246	90	0.0	-0.085	-0.007754	0.027070	669	863	1	2349
283	53.5018740637	50	0.0	-0.085	0.068916	0.008141	350	702	2	2566
284	131.938234043	130	0.0	-0.085	-0.076011	-0.000398	1047	767	2	2229
285	80.6360003693	90	0.0	-0.085	0.018736	0.028618	630	812	2	2349
286	52.8934068453	50	0.0	-0.085	0.068492	0.005541	338	702	2	2149
287	94.8121125485	90	0.0	-0.085	-0.009569	0.028666	724	841	2	2229
288	132.80629136	130	0.0	-0.085	-0.076057	-0.002884	1062	709	2	2209
289	122.242081194	130	0.0	-0.085	-0.061723	0.012855	1078	721	2	2189
290	91.7877858909	90	0.0	-0.085	-0.003600	0.030337	740	818	2	2290
291	55.4121921995	50	0.0	-0.085	0.064905	0.009128	361	694	2	2229
292	123.538913505	130	0.0	-0.085	-0.062616	0.009463	1034	742	2	2190
293	95.6356423207	90	0.0	-0.085	-0.010988	0.026351	762	843	2	2269
294	53.3237748134	50	0.0	-0.085	0.069126	0.007820	315	670	2	2208
295	65.3775909843	50	0.0	-0.085	0.046940	0.017420	346	708	2	2344
296	89.9908925015	90	0.0	-0.085	0.000018	0.028239	604	794	2	2249
297	133.552600499	130	0.0	-0.085	-0.077501	-0.003481	1109	686	2	2169
298	91.2696904214	90	0.0	-0.085	-0.002500	0.027796	676	820	2	2278
299	136.914975198	130	0.0	-0.085	-0.081769	-0.008522	1120	670	2	2109
300	64.8949503912	50	0.0	-0.085	0.048011	0.017469	324	677	2	2309
427	61.8930030421	50	0.0	-0.085	0.055443	0.018805	385	735	3	2557
428	120.658703434	130	0.0	-0.085	-0.058852	0.014281	1058	730	3	2248
429	84.4828979114	90	0.0	-0.085	0.011031	0.029204	757	853	3	2289
430	95.0969952526	90	0.0	-0.085	-0.010122	0.028482	792	856	3	2249
431	126.445507505	130	0.0	-0.085	-0.066007	0.004381	1054	760	3	2389
432	72.0480217155	50	0.0	-0.085	0.034180	0.020496	419	743	3	2149
433	137.763278716	130	0.0	-0.085	-0.084985	-0.007841	1043	694	3	2189
434	91.1861986211	90	0.0	-0.085	-0.002311	0.026610	645	860	3	2109
435	56.0190466894	50	0.0	-0.085	0.063632	0.009406	473	742	3	2209
436	130.079464662	130	0.0	-0.085	-0.072515	0.001177	1004	755	3	2289
437	69.0391376387	50	0.0	-0.085	0.039799	0.018892	459	770	3	2189
438	94.1359045359	90	0.0	-0.085	-0.008255	0.029160	817	829	3	2270
439	66.3258956047	50	0.0	-0.085	0.046300	0.020604	510	793	3	2225
440	123.873241514	130	0.0	-0.085	-0.062907	0.008710	1074	733	3	2210
441	89.0076915026	90	0.0	-0.085	0.001967	0.028563	727	814	3	2129
442	91.5609637447	90	0.0	-0.085	-0.003059	0.027254	813	806	3	2189
443	63.0479943627	50	0.0	-0.085	0.052073	0.017411	400	730	3	2139
444	129.88365615	130	0.0	-0.085	-0.071990	0.001149	1067	723	3	2269
571	140.346260468	130	0.0	-0.085	-0.087568	-0.012419	1102	675	4	2370
572	70.6096379254	50	0.0	-0.085	0.037854	0.022550	486	776	4	2149
573	103.45464995	90	0.0	-0.085	-0.026669	0.026473	810	849	4	2239
574	135.806467943	130	0.0	-0.085	-0.081550	-0.005714	1028	732	4	2069
575	82.653576237	90	0.0	-0.085	0.014365	0.026420	722	827	4	2069
576	59.8856809961	50	0.0	-0.085	0.058575	0.015989	495	775	4	2088
577	127.475035391	130	0.0	-0.085	-0.069313	0.005412	952	777	4	2129
578	86.3475626838	90	0.0	-0.085	0.007225	0.028185	777	842	4	2129
579	59.2532520108	50	0.0	-0.085	0.057410	0.011510	472	782	4	2044
580	121.810179093	130	0.0	-0.085	-0.060466	0.012483	985	784	4	2622
581	61.08697569	50	0.0	-0.085	0.054846	0.014300	440	766	4	2088
582	88.6767767838	90	0.0	-0.085	0.002667	0.030461	731	848	4	2170
583	126.37793035	130	0.0	-0.085	-0.067045	0.006011	959	751	4	2089
584	84.0219650324	90	0.0	-0.085	0.011769	0.027389	665	813	4	2030
585	65.5952902697	50	0.0	-0.085	0.045979	0.016338	498	773	4	2177
586	133.515391368	130	0.0	-0.085	-0.079792	-0.000962	1013	763	4	2089
587	69.0075174223	50	0.0	-0.085	0.041466	0.023065	518	791	4	2401
588	95.8999996513	90	0.0	-0.085	-0.011677	0.027996	735	832	4	2239
