trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	138.18	130	0	0	-8.3163	7.4405	-8.3299	10.683	1	2690	1
140	95.74	90	0	0	-1.1464	11.405	-2.6371	14.095	1	2450	1
141	70.312	50	0	0	3.9349	10.997	5.6997	12.69	1	2350	1
142	106.53	90	0	0	-3.2016	10.786	-2.6133	14.066	1	2390	1
143	62.79	50	0	0	5.268	10.246	7.2956	12.059	1	2529	1
144	130.2	130	0	0	-7.2356	8.5634	-6.9008	11.83	1	2369	1
145	66.863	50	0	0	4.5339	10.611	5.533	12.833	1	2409	1
146	129.35	130	0	0	-7.3054	8.9085	-8.2823	10.511	1	2389	1
147	94.771	90	0	0	-0.9332	11.18	-2.1845	14.41	1	2249	1
148	121.36	130	0	0	-5.984	9.8178	-6.7102	12.604	1	2269	1
149	96.75	90	0	0	-1.3629	11.515	-1.7558	14.553	1	2409	1
150	70.208	50	0	0	3.9238	10.904	6.1523	13.235	1	2189	1
151	115.91	90	0	0	-4.9697	10.228	-4.3044	13.149	1	2269	1
152	135.96	130	0	0	-8.3193	8.0441	-8.9969	8.476	1	2229	1
153	64.273	50	0	0	4.9079	10.185	10.63	8.906	1	2249	1
154	122.49	130	0	0	-6.1214	9.6142	-4.1139	12.69	1	2289	1
155	81.12	50	0	0	1.7606	11.269	4.4611	13.263	1	2609	1
156	93.958	90	0	0	-0.7754	11.207	1.8648	14.639	1	2349	1
283	53.502	50	0	0	6.8916	9.3141	9.4632	10.024	2	2566	1
284	131.94	130	0	0	-7.6011	8.4602	-7.139	11.887	2	2229	1
285	80.636	90	0	0	1.8736	11.362	2.7937	13.177	2	2349	1
286	52.893	50	0	0	6.8492	9.0541	9.749	10.024	2	2149	1
287	94.812	90	0	0	-0.9569	11.367	0.55472	14.009	2	2229	1
288	132.81	130	0	0	-7.6057	8.2116	-7.4963	10.225	2	2209	1
289	122.24	130	0	0	-6.1723	9.7855	-7.8774	10.569	2	2189	1
290	91.788	90	0	0	-0.36	11.534	0.17361	13.349	2	2290	1
291	55.412	50	0	0	6.4905	9.4128	9.2012	9.7947	2	2229	1
