Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
91	82.7716782717	90	0.0	-0.085	0.015615	0.038116	564	853	1	3607
92	130.653552619	130	0.0	-0.085	-0.080497	0.008740	1062	899	1	2585
93	64.492787202	50	0.0	-0.085	0.052981	0.026041	439	759	1	2463
94	127.718087965	130	0.0	-0.085	-0.075811	0.013024	959	778	1	3101
95	45.100207684	50	0.0	-0.085	0.086757	0.002061	286	604	1	3019
96	90.0948183007	90	0.0	-0.085	-0.000201	0.036458	597	781	1	3657
97	102.963058398	90	0.0	-0.085	-0.028084	0.037004	641	842	1	2361
98	94.12916411	50	0.0	-0.085	-0.008876	0.037949	524	800	1	2947
99	134.569995774	130	0.0	-0.085	-0.084635	0.000915	1057	724	1	2409
100	126.016714703	130	0.0	-0.085	-0.070648	0.012179	910	814	1	2329
101	85.1885275267	50	0.0	-0.085	0.010138	0.035441	484	770	1	2665
102	121.903797399	90	0.0	-0.085	-0.065499	0.020213	849	794	1	2335
103	133.208195704	130	0.0	-0.085	-0.083268	0.003646	903	797	1	2543
104	49.883610508	50	0.0	-0.085	0.078336	0.007973	249	584	1	3621
105	101.330843679	90	0.0	-0.085	-0.023860	0.034074	507	788	1	2507
106	60.7698365526	50	0.0	-0.085	0.059332	0.021031	357	655	1	2754
107	88.9695036816	90	0.0	-0.085	0.002235	0.039253	505	767	1	2902
108	128.145565058	130	0.0	-0.085	-0.074826	0.010273	849	773	1	2644
235	69.5511008315	50	0.0	-0.085	0.043142	0.030703	386	773	2	3458
236	73.2272721869	90	0.0	-0.085	0.036336	0.035558	528	830	2	2617
237	122.525591477	130	0.0	-0.085	-0.065498	0.017710	916	852	2	3207
238	83.9750165505	90	0.0	-0.085	0.012806	0.036332	534	826	2	2555
239	141.257258126	130	0.0	-0.085	-0.096188	-0.007821	1133	653	2	2639
240	53.3545675765	50	0.0	-0.085	0.074104	0.014616	342	697	2	2549
241	75.4034610894	50	0.0	-0.085	0.031802	0.037120	491	820	2	2517
242	123.599777542	130	0.0	-0.085	-0.069833	0.020108	933	863	2	2489
243	129.723198132	90	0.0	-0.085	-0.078486	0.009459	1074	845	2	2748
244	87.9636806373	90	0.0	-0.085	0.004453	0.040241	582	857	2	2262
245	86.0749719317	50	0.0	-0.085	0.008373	0.037034	508	816	2	2270
246	134.788859635	130	0.0	-0.085	-0.087327	0.002973	979	813	2	2329
247	65.8371247658	50	0.0	-0.085	0.051218	0.029163	412	723	2	2592
248	103.956148492	90	0.0	-0.085	-0.029500	0.033705	773	855	2	2429
249	143.119368857	130	0.0	-0.085	-0.099060	-0.010676	1019	728	2	2464
250	92.6533071246	90	0.0	-0.085	-0.005708	0.038171	637	789	2	2445
251	88.9583402496	50	0.0	-0.085	0.002290	0.040946	540	799	2	2391
252	131.03331289	130	0.0	-0.085	-0.082728	0.010056	1041	754	2	2369
379	97.917405359	90	0.0	-0.085	-0.016960	0.036952	548	769	3	2770
380	130.370408389	130	0.0	-0.085	-0.078978	0.007896	928	776	3	3651
381	62.3955654137	50	0.0	-0.085	0.055805	0.021725	383	727	3	2249
382	63.3670856619	50	0.0	-0.085	0.056701	0.028067	418	754	3	2407
383	128.952643448	130	0.0	-0.085	-0.076861	0.010076	968	829	3	2309
384	83.4629376267	90	0.0	-0.085	0.014171	0.038666	551	803	3	2368
385	130.361464977	130	0.0	-0.085	-0.079157	0.008136	929	870	3	2470
386	55.5654305476	50	0.0	-0.085	0.071164	0.018798	395	778	3	2478
387	88.5228976571	90	0.0	-0.085	0.003215	0.039680	540	867	3	2434
388	80.7081191423	90	0.0	-0.085	0.019765	0.035805	548	795	3	3718
389	132.890555994	130	0.0	-0.085	-0.083730	0.005134	905	855	3	2270
390	70.2531190431	50	0.0	-0.085	0.042134	0.032373	462	777	3	2595
391	72.6952023369	50	0.0	-0.085	0.035792	0.029881	443	716	3	2807
392	79.5867661533	90	0.0	-0.085	0.021869	0.034000	484	742	3	2457
393	62.9771658268	130	0.0	-0.085	0.055542	0.023900	861	825	3	3248
394	133.163755424	130	0.0	-0.085	-0.084281	0.004864	841	806	3	2289
395	69.5217546912	50	0.0	-0.085	0.044027	0.032892	431	768	3	2369
396	86.5264924812	90	0.0	-0.085	0.007440	0.037573	540	799	3	2463
523	140.859106876	130	0.0	-0.085	-0.093539	-0.008872	1155	673	4	3672
524	53.034709234	50	0.0	-0.085	0.073680	0.012900	394	726	4	2389
525	89.8487203471	90	0.0	-0.085	0.000323	0.037333	661	853	4	2503
526	124.087078022	90	0.0	-0.085	-0.067995	0.015477	954	784	4	2209
527	47.9891452192	50	0.0	-0.085	0.081015	0.004942	391	710	4	2277
528	117.838605379	130	0.0	-0.085	-0.057308	0.023517	884	828	4	2289
