Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	81.5752598489	90	0.0	-0.085	0.016834	0.028660	608	899	1	2535
140	128.946322048	130	0.0	-0.085	-0.073167	0.005527	1044	784	1	2343
141	62.7931693567	50	0.0	-0.085	0.053285	0.018651	401	741	1	2725
142	128.12141427	130	0.0	-0.085	-0.070672	0.005062	909	879	1	2309
143	49.567688651	50	0.0	-0.085	0.077660	0.006146	384	733	1	2459
144	85.8461195917	90	0.0	-0.085	0.008464	0.031542	594	872	1	2577
145	100.678381684	90	0.0	-0.085	-0.021611	0.029610	809	878	1	2609
146	91.4526817394	50	0.0	-0.085	-0.002915	0.029947	615	820	1	2617
147	133.596682151	130	0.0	-0.085	-0.076814	-0.004328	940	788	1	4393
148	125.538822619	130	0.0	-0.085	-0.064252	0.004949	975	884	1	2269
149	81.8468824171	50	0.0	-0.085	0.016277	0.028613	547	784	1	2960
150	119.714192678	90	0.0	-0.085	-0.057622	0.015964	1439	670	1	2289
151	133.190272921	130	0.0	-0.085	-0.076792	-0.003197	935	767	1	2778
152	53.7127940434	50	0.0	-0.085	0.070312	0.010763	415	708	1	2688
153	99.2529671024	90	0.0	-0.085	-0.018079	0.025973	719	851	1	2329
154	61.2977973965	50	0.0	-0.085	0.053787	0.013235	500	774	1	2377
155	86.7451069049	90	0.0	-0.085	0.006599	0.031037	806	886	1	2289
156	128.488151431	130	0.0	-0.085	-0.069296	0.002154	1038	824	1	2229
283	68.8841799907	50	0.0	-0.085	0.041993	0.023738	407	775	2	2652
284	71.1362421722	90	0.0	-0.085	0.038607	0.027995	582	872	2	2323
285	122.003328065	130	0.0	-0.085	-0.059514	0.010230	998	841	2	2221
286	80.0857640914	90	0.0	-0.085	0.020147	0.030268	640	860	2	2289
287	139.828324835	130	0.0	-0.085	-0.087719	-0.010946	1093	761	2	2389
288	54.7457542341	50	0.0	-0.085	0.067210	0.010085	481	748	2	2518
289	71.1219081648	50	0.0	-0.085	0.039661	0.030985	524	854	2	2569
290	121.714065622	130	0.0	-0.085	-0.061734	0.014901	1003	798	2	3630
291	127.10700076	90	0.0	-0.085	-0.069133	0.006387	920	837	2	3070
292	84.7050505913	90	0.0	-0.085	0.010915	0.032773	663	899	2	5670
293	81.9652102739	50	0.0	-0.085	0.016410	0.031251	588	873	2	3021
294	133.188782813	130	0.0	-0.085	-0.078411	-0.001468	1065	815	2	3291
