trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
47	79.33	90	0	0	2.2535	11.961	3.6751	14.037	1	30907	1
48	120.8	130	0	0	-6.149	10.313	-7.1866	10.081	1	7873	1
49	139.78	130	0	0	-9.2725	7.8419	-9.1636	7.9887	1	8597	1
50	69.893	90	0	0	4.1831	11.426	4.9137	12.375	1	4394	1
51	80.149	50	0	0	2.0622	11.876	4.9613	13.091	1	4990	1
52	120.05	130	0	0	-6.0884	10.523	-3.5184	12.776	1	5306	1
53	59.563	50	0	0	6.1547	10.475	8.4866	11.285	1	4383	1
54	112.98	90	0	0	-4.7676	11.244	-2.3989	12.661	1	4149	1
55	78.514	90	0	0	2.41	11.86	6.4619	12.776	1	4650	1
56	87.359	50	0	0	0.5611	12.165	3.6989	14.639	1	5305	1
57	124.45	130	0	0	-6.9328	10.106	-4.3759	14.324	1	5072	1
58	146.19	130	0	0	-10.074	6.7464	-8.7349	9.1067	1	3700	1
59	50.517	50	0	0	7.6687	9.3086	10.726	10.167	1	3849	1
60	109.14	90	0	0	-3.9635	11.422	-0.18368	14.037	1	3506	1
61	123.27	90	0	0	-6.6261	10.099	-4.4474	13.005	1	3641	1
62	49.931	50	0	0	7.8073	9.2816	10.392	10.855	1	3329	1
63	133.89	130	0	0	-8.4876	8.8235	-8.5681	11.687	1	3218	1
118	94.148	90	0	0	-0.8697	11.993	0.65	14.324	2	7285	1
119	60.403	50	0	0	5.9648	10.501	10.821	10.454	2	3846	1
120	136.65	130	0	0	-8.7531	8.2633	-6.7102	11.744	2	6192	1
121	45.059	50	0	0	8.502	8.5194	11.655	11.113	2	7524	1
122	95.712	90	0	0	-1.1979	11.976	3.556	15.671	2	3289	1
123	140.91	130	0	0	-9.3964	7.6341	-8.1394	11.085	2	2920	1
124	127.32	130	0	0	-7.3908	9.6952	-4.3997	13.063	2	3641	1
125	94.104	90	0	0	-0.863	12.029	2.6032	13.292	2	6249	1
126	55.938	50	0	0	6.7583	9.9961	10.297	10.11	2	4083	1
127	85.665	50	0	0	0.9151	12.072	6.581	14.439	2	3389	1
128	105.55	90	0	0	-3.2626	11.725	0.50708	15.671	2	3589	1
129	143.12	130	0	0	-9.6211	7.2179	-8.8778	8.1607	2	3189	1
130	79.307	50	0	0	2.248	11.905	4.6278	14.725	2	3553	1
131	112.44	90	0	0	-4.591	11.119	-3.1611	15.098	2	3157	1
132	113.95	130	0	0	-4.9498	11.146	-4.1377	14.152	2	3625	1
133	53.04	50	0	0	7.2192	9.5941	11.297	10.626	2	3503	1
134	129.36	130	0	0	-7.6679	9.3491	-8.4014	12.489	2	3534	1
135	82.119	90	0	0	1.6727	12.084	5.271	15.671	2	3329	1
190	114.67	130	0	0	-5.1132	11.134	-7.8059	11.142	3	9506	1
191	53.396	50	0	0	7.3214	9.8569	11.273	10.97	3	2951	1
192	113.82	90	0	0	-4.8702	11.034	-3.042	15.671	3	2827	1
193	50.098	50	0	0	7.8577	9.397	12.036	12.031	3	3824	1
194	93.872	90	0	0	-0.8158	12.054	5.4853	14.123	3	4686	1
195	137.68	130	0	0	-8.8773	8.0838	-9.9497	12.776	3	3944	1
196	122.78	130	0	0	-6.5295	10.139	-5.0905	15.671	3	4758	1
197	56.269	50	0	0	6.7066	10.044	10.845	13.464	3	4256	1
198	118.44	90	0	0	-5.7182	10.558	-1.4938	13.321	3	5720	1
199	139.24	130	0	0	-9.2338	7.9586	-9.0922	10.425	3	6482	1
200	65.727	50	0	0	4.9335	10.94	7.6767	10.798	3	3708	1
201	95.954	90	0	0	-1.2556	12.039	3.8656	14.496	3	3232	1
202	141.3	130	0	0	-9.416	7.5427	-8.7825	11.83	3	3692	1
203	105.66	90	0	0	-3.2684	11.661	-0.75535	15.155	3	4249	1
204	61.4	50	0	0	5.8039	10.645	11.416	9.9093	3	5380	1
205	124.21	130	0	0	-6.7586	9.9394	-7.1151	13.435	3	3435	1
206	71.101	50	0	0	3.962	11.573	5.8188	13.407	3	3655	1
207	89.159	90	0	0	0.1783	12.153	4.5564	15.671	3	2909	1
262	50.442	50	0	0	7.6573	9.2698	10.583	9.8807	4	4511	1
263	136.61	130	0	0	-8.7543	8.2758	-9.0922	11.773	4	2714	1
264	87.047	90	0	0	0.6253	12.12	4.8184	15.671	4	3462	1
265	140.18	130	0	0	-9.359	7.8023	-8.4729	15.356	4	2569	1
266	71.631	50	0	0	3.7945	11.427	10.059	13.378	4	2949	1
267	113.06	90	0	0	-4.7517	11.163	1.2455	15.671	4	3184	1
268	66.913	50	0	0	4.791	11.239	12.083	11.601	4	2902	1
269	129.37	130	0	0	-7.6603	9.3357	-8.2823	13.951	4	7036	1
270	91.678	90	0	0	-0.3534	12.063	1.5075	14.009	4	3257	1
271	127.59	130	0	0	-7.4916	9.7321	-3.6613	15.671	4	2890	1
272	46.555	50	0	0	8.4593	8.9314	10.797	12.174	4	3177	1
273	116.63	90	0	0	-5.5153	10.998	-1.9225	15.671	4	2890	1
274	136.19	130	0	0	-8.8086	8.4492	-7.5201	14.037	4	2729	1
275	86.09	90	0	0	0.8316	12.168	5.2233	15.671	4	2809	1
276	61.488	50	0	0	5.8015	10.68	10.94	12.747	4	2927	1
277	110.88	90	0	0	-4.3111	11.3	-0.2075	15.671	4	3348	1
278	66.449	50	0	0	4.865	11.162	11.702	12.518	4	2926	1
279	135.55	130	0	0	-8.7173	8.551	-7.663	12.977	4	2689	1
