Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	45	1231.37030995	-63.4535073409	0.215583	-0.140516	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1
1	45	1232.47960848	-62.6769983687	0.215923	-0.140278	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	20
1	45	1233.5040783	-61.9918433931	0.216237	-0.140068	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	40
1	45	1234.34910277	-61.4893964111	0.216496	-0.139914	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	60
1	45	1235.46166395	-60.7096247961	0.216837	-0.139675	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	80
1	45	1236.41109299	-59.9070146819	0.217128	-0.139429	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	101
1	45	1237.12887439	-58.9641109299	0.217348	-0.139140	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	121
1	45	1238.11092985	-57.7438825449	0.217649	-0.138766	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	140
1	45	1238.91353997	-56.7063621533	0.217895	-0.138448	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	160
1	45	1239.64763458	-55.5513866232	0.218120	-0.138094	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	180
1	45	1240.44698206	-54.5138662316	0.218365	-0.137776	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	200
1	45	1241.3050571	-53.7960848287	0.218628	-0.137556	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	220
1	45	1242.05872757	-53.3817292007	0.218859	-0.137429	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	240
1	45	1242.23491028	-53.1990212072	0.218913	-0.137373	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	260
1	45	1242.39477977	-53.2218597064	0.218962	-0.137380	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	280
1	45	1242.05872757	-53.3817292007	0.218859	-0.137429	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	300
1	45	1241.8858075	-53.5676998369	0.218806	-0.137486	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	320
1	45	1241.71288744	-53.7536704731	0.218753	-0.137543	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	340
1	45	1241.69657423	-53.9624796085	0.218748	-0.137607	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	360
1	45	1241.52039152	-54.145187602	0.218694	-0.137663	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	380
1	45	1241.34747145	-54.3311582382	0.218641	-0.137720	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	400
1	45	1241.41924959	-54.4486133768	0.218663	-0.137756	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	420
1	45	1241.17128874	-54.5171288744	0.218587	-0.137777	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	440
1	45	1240.60685155	-54.5367047308	0.218414	-0.137783	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	460
1	45	1239.3050571	-54.7618270799	0.218015	-0.137852	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	480
1	45	1237.73572594	-55.2610114192	0.217534	-0.138005	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	500
1	45	1236.25774878	-55.6688417618	0.217081	-0.138130	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	520
1	45	1234.86786297	-55.9853181077	0.216655	-0.138227	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	540
1	45	1233.87928222	-56.2561174551	0.216352	-0.138310	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	560
1	45	1232.43393148	-56.2430668842	0.215909	-0.138306	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	580
1	45	1231.49429038	-55.8874388254	0.215621	-0.138197	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	600
1	45	1230.89070147	-55.3686786297	0.215436	-0.138038	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	620
1	45	1230.55138662	-54.5758564437	0.215332	-0.137795	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	640
1	45	1230.64600326	-53.3197389886	0.215361	-0.137410	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	660
1	45	1230.27732463	-51.7732463295	0.215248	-0.136936	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	680
1	45	1230.64926591	-50.0244698206	0.215362	-0.136400	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	700
1	45	1231.59216966	-48.044045677	0.215651	-0.135793	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	720
1	45	1233.11256117	-45.8319738989	0.216117	-0.135115	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	740
1	45	1235.11908646	-43.4796084829	0.216732	-0.134394	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	760
1	45	1237.76835237	-41.013050571	0.217544	-0.133638	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	780
1	45	1240.24143556	-38.7259380098	0.218302	-0.132937	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	801
1	45	1242.70473083	-36.4355628059	0.219057	-0.132235	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	820
1	45	1244.92006525	-34.2039151713	0.219736	-0.131551	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	840
1	45	1246.81239804	-31.9233278956	0.220316	-0.130852	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	860
1	45	1248.7634584	-29.9657422512	0.220914	-0.130252	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	880
1	45	1250.63295269	-27.8874388254	0.221487	-0.129615	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	900
1	45	1252.57422512	-25.9265905383	0.222082	-0.129014	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	920
