Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	130	527.32137031	117.783034258	-0.000208	-0.084967	528	395	0.0	-0.085	0	0	1	0	0
91	130	527.187601958	117.867862969	-0.000249	-0.084941	528	395	0.0	-0.085	0	0	1	0	20
91	130	526.818923328	117.955954323	-0.000362	-0.084914	528	395	0.0	-0.085	0	0	1	0	41
91	130	526.358890701	117.955954323	-0.000503	-0.084914	528	395	0.0	-0.085	0	0	1	0	61
91	130	525.902120718	117.955954323	-0.000643	-0.084914	528	395	0.0	-0.085	0	0	1	0	80
91	130	525.305057096	118.040783034	-0.000826	-0.084888	528	395	0.0	-0.085	0	0	1	0	100
91	130	524.75040783	117.955954323	-0.000996	-0.084914	528	395	0.0	-0.085	0	0	1	0	120
91	130	524.156606852	118.044045677	-0.001178	-0.084887	528	395	0.0	-0.085	0	0	1	0	140
91	130	523.373572594	117.959216966	-0.001418	-0.084913	528	395	0.0	-0.085	0	0	1	0	160
91	130	522.453507341	117.962479608	-0.001700	-0.084912	528	395	0.0	-0.085	0	0	1	0	181
91	130	521.628058728	118.04730832	-0.001953	-0.084886	528	395	0.0	-0.085	0	0	1	0	201
91	130	520.802610114	118.135399674	-0.002206	-0.084859	528	395	0.0	-0.085	0	0	1	0	220
91	130	519.977161501	118.22675367	-0.002459	-0.084831	528	395	0.0	-0.085	0	0	1	0	240
91	130	519.28548124	118.22675367	-0.002671	-0.084831	528	395	0.0	-0.085	0	0	1	0	260
91	130	518.77324633	117.972267537	-0.002828	-0.084909	528	395	0.0	-0.085	0	0	1	0	280
91	130	518.355628059	117.802610114	-0.002956	-0.084961	528	395	0.0	-0.085	0	0	1	0	300
91	130	518.261011419	117.717781403	-0.002985	-0.084987	528	395	0.0	-0.085	0	0	1	0	320
91	130	518.075040783	117.544861338	-0.003042	-0.085040	528	395	0.0	-0.085	0	0	1	0	340
91	130	518.208809135	117.460032626	-0.003001	-0.085066	528	395	0.0	-0.085	0	0	1	0	361
91	130	518.345840131	117.371941272	-0.002959	-0.085093	528	395	0.0	-0.085	0	0	1	0	380
91	130	518.753670473	117.114192496	-0.002834	-0.085172	528	395	0.0	-0.085	0	0	1	0	401
91	130	519.526916803	116.768352365	-0.002597	-0.085278	528	395	0.0	-0.085	0	0	1	0	420
91	130	520.163132137	116.510603589	-0.002402	-0.085357	528	395	0.0	-0.085	0	0	1	0	440
91	130	521.168026101	116.164763458	-0.002094	-0.085463	528	395	0.0	-0.085	0	0	1	0	461
91	130	522.169657423	115.818923328	-0.001787	-0.085569	528	395	0.0	-0.085	0	0	1	0	480
91	130	522.998368679	115.730831974	-0.001533	-0.085596	528	395	0.0	-0.085	0	0	1	0	500
91	130	523.686786297	115.727569331	-0.001322	-0.085597	528	395	0.0	-0.085	0	0	1	0	521
91	130	524.104404568	115.900489396	-0.001194	-0.085544	528	395	0.0	-0.085	0	0	1	0	540
91	130	524.525285481	116.070146819	-0.001065	-0.085492	528	395	0.0	-0.085	0	0	1	0	560
91	130	524.711256117	116.243066884	-0.001008	-0.085439	528	395	0.0	-0.085	0	0	1	0	580
91	130	524.668841762	116.412724307	-0.001021	-0.085387	528	395	0.0	-0.085	0	0	1	0	600
91	130	524.626427406	116.585644372	-0.001034	-0.085334	528	395	0.0	-0.085	0	0	1	0	620
91	130	524.492659054	116.670473083	-0.001075	-0.085308	528	395	0.0	-0.085	0	0	1	0	640
91	130	524.16639478	116.585644372	-0.001175	-0.085334	528	395	0.0	-0.085	0	0	1	0	661
91	130	523.938009788	116.585644372	-0.001245	-0.085334	528	395	0.0	-0.085	0	0	1	0	680
91	130	523.477977162	116.585644372	-0.001386	-0.085334	528	395	0.0	-0.085	0	0	1	0	701
91	130	523.017944535	116.588907015	-0.001527	-0.085333	528	395	0.0	-0.085	0	0	1	0	720
