trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	141.88	130	0	0	-8.6823	6.8116	-9.2589	7.5013	1	2209	1
140	121.39	90	0	0	-5.8051	9.5158	-3.7566	12.719	1	3083	1
141	82.833	50	0	0	1.397	11.109	8.296	8.5047	1	2109	1
142	119.82	90	0	0	-5.6009	9.7735	-1.4938	12.403	1	2169	1
143	88.135	50	0	0	0.3624	11.13	9.8443	7.6447	1	2149	1
144	139.62	130	0	0	-8.6616	7.3666	-9.6876	7.5587	1	2129	1
145	140.31	130	0	0	-8.5724	7.1133	-9.378	7.53	1	2089	1
146	108.64	90	0	0	-3.5631	10.561	-1.6605	12.059	1	2069	1
147	82.586	50	0	0	1.4444	11.101	9.0106	8.0747	1	4185	1
148	75.738	50	0	0	2.7616	10.864	9.8205	6.8993	1	2229	1
149	113.16	90	0	0	-4.4499	10.402	-3.5899	12.719	1	3131	1
150	138.4	130	0	0	-8.3026	7.3721	-9.7829	8.1033	1	2209	1
151	84.761	50	0	0	1.0288	11.22	8.3913	8.0747	1	2249	1
152	131.18	130	0	0	-7.4333	8.4963	-4.5903	11.228	1	2189	1
153	99.935	90	0	0	-1.9551	11.163	3.0081	11.429	1	2209	1
154	132.74	130	0	0	-7.7879	8.4269	-9.6876	6.3833	1	2209	1
155	85.849	50	0	0	0.8133	11.208	10.702	6.3833	1	2330	1
156	108.32	90	0	0	-3.5037	10.58	0.84055	12.747	1	3024	1
283	142.2	130	0	0	-8.7833	6.8129	-9.902	6.4693	2	2510	1
284	83.39	50	0	0	1.2767	11.017	9.487	6.9567	2	2169	1
285	107.57	90	0	0	-3.3884	10.701	-3.709	11.171	2	2169	1
286	84.339	50	0	0	1.1082	11.18	8.6057	8.476	2	2169	1
287	138.91	130	0	0	-8.6623	7.5548	-11.069	5.6953	2	2049	1
288	108.52	90	0	0	-3.5848	10.699	-3.2088	11.859	2	2141	1
289	133.37	130	0	0	-7.7146	8.1661	-10.259	6.0393	2	2170	1
290	73.133	50	0	0	3.2694	10.783	8.9868	7.9887	2	2109	1
291	110.94	90	0	0	-4.0945	10.701	-3.2088	11.629	2	2110	1
292	110.82	90	0	0	-4.0067	10.537	-2.9706	11.945	2	2169	1
293	79.94	50	0	0	1.9679	11.092	8.5342	7.9027	2	2129	1
294	133.91	130	0	0	-7.7965	8.0992	-10.569	5.2367	2	2049	1
295	79.109	50	0	0	2.1354	11.098	8.963	7.616	2	2229	1
296	104.29	90	0	0	-2.7876	10.942	-4.5665	11.773	2	2110	1
297	132.27	130	0	0	-7.687	8.458	-10.426	5.6093	2	2149	1
298	130.14	130	0	0	-7.3136	8.6741	-10.974	5.552	2	2109	1
299	73.818	50	0	0	3.2681	11.262	8.034	8.0173	2	2149	1
300	100.58	90	0	0	-2.0508	10.977	-4.2806	11.859	2	2109	1
427	86.295	50	0	0	0.7253	11.2	8.9153	7.8167	3	2219	1
428	134.83	130	0	0	-8.1022	8.1517	-9.4018	6.6127	3	2169	1
429	105.87	90	0	0	-3.0596	10.76	-3.566	12.26	3	2113	1
430	103.24	90	0	0	-2.5666	10.907	3.556	11.945	3	2089	1
431	74.374	50	0	0	3.0594	10.938	6.5572	9.9093	3	2149	1
432	130.06	130	0	0	-7.399	8.7983	-9.3542	6.3833	3	2897	1
433	76.61	50	0	0	2.6481	11.124	9.4632	6.9567	3	2109	1
434	106.56	90	0	0	-3.2159	10.816	-4.0186	11.142	3	2109	1
435	131.18	130	0	0	-7.4654	8.5339	-10.14	6.3547	3	2189	1
436	107.54	90	0	0	-3.5288	11.165	-3.3755	12.317	3	3301	1
437	68.236	50	0	0	4.3046	10.782	10.082	6.8133	3	2229	1
438	126.26	130	0	0	-6.8102	9.2835	-10.378	5.4947	3	2169	1
439	95.114	90	0	0	-1.0138	11.329	-3.709	11.056	3	2189	1
440	67.868	50	0	0	4.3622	10.726	9.9634	6.326	3	2189	1
441	119.73	130	0	0	-5.6438	9.881	-9.8067	7.3007	3	2148	1
442	127.77	130	0	0	-7.0663	9.1211	-10.116	6.2973	3	2210	1
443	101.2	90	0	0	-2.2315	11.268	-4.8285	11.285	3	3253	1
444	69.563	50	0	0	3.9681	10.649	10.13	5.9533	3	2190	1
571	109.11	90	0	0	-3.6761	10.609	-2.9229	11.601	4	2030	1
572	138.97	130	0	0	-8.5781	7.4649	-10.283	6.756	4	2029	1
573	74.897	50	0	0	2.9804	11.043	9.5108	7.014	4	2109	1
574	110.11	90	0	0	-3.936	10.748	-4.3044	10.855	4	2149	1
575	138.45	130	0	0	-8.5663	7.5909	-10.235	6.8707	4	2089	1
576	75.028	50	0	0	2.9123	10.89	8.1769	8.648	4	2149	1
577	130.63	130	0	0	-7.492	8.7316	-10.331	6.3833	4	2109	1
578	73.234	50	0	0	3.2669	10.844	8.2484	8.6767	4	2129	1
579	107.06	90	0	0	-3.2908	10.721	-4.4474	11.715	4	2189	1
580	109.77	90	0	0	-3.7658	10.474	-4.3283	11.515	4	2189	1
581	66.175	50	0	0	4.721	10.691	7.9626	8.7913	4	2270	1
582	129.04	130	0	0	-7.1543	8.8234	-10.45	5.896	4	2090	1
583	102.74	90	0	0	-2.4834	10.983	-4.1854	12.432	4	3582	1
584	65.852	50	0	0	4.6425	10.355	6.4858	10.999	4	2356	1
585	122.82	130	0	0	-6.2614	9.7094	-9.7353	6.9853	4	2912	1
586	72.7	50	0	0	3.3379	10.717	8.3913	9.6227	4	3020	1
587	131.25	130	0	0	-7.4519	8.4984	-9.8544	6.8133	4	2069	1
588	104.61	90	0	0	-2.9413	11.281	-2.1131	12.26	4	2229	1
