Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	100.22846163	90	0.0	-0.085	-0.019693	0.024138	854	692	1	2569
140	68.580538787	50	0.0	-0.085	0.041892	0.021789	663	684	1	2689
141	153.7625784	130	0.0	-0.085	-0.101649	-0.034900	1212	512	1	2749
142	141.629781594	130	0.0	-0.085	-0.088060	-0.015279	1189	509	1	3471
143	51.6236713067	50	0.0	-0.085	0.070038	0.003441	537	637	1	3099
144	88.2039565679	90	0.0	-0.085	0.003512	0.027000	854	706	1	2929
145	136.870653549	130	0.0	-0.085	-0.082823	-0.007416	1077	641	1	2849
146	55.3131181588	50	0.0	-0.085	0.065070	0.009019	526	634	1	2697
147	95.1182616249	90	0.0	-0.085	-0.009952	0.026110	797	708	1	2709
148	51.9597134906	90	0.0	-0.085	0.069068	0.003275	548	653	1	2829
149	176.233251011	130	0.0	-0.085	-0.111457	-0.077662	1268	404	1	2630
150	67.8416220036	50	0.0	-0.085	0.041583	0.017108	635	664	1	2709
151	106.012869329	90	0.0	-0.085	-0.030921	0.022743	874	698	1	2809
152	140.184870741	130	0.0	-0.085	-0.086072	-0.013249	1142	608	1	2729
153	44.1409423494	50	0.0	-0.085	0.080857	-0.006532	444	582	1	2749
154	52.0339241516	50	0.0	-0.085	0.068656	0.002983	447	555	1	2716
155	98.0429942553	90	0.0	-0.085	-0.015527	0.024882	806	706	1	2969
156	140.335673933	130	0.0	-0.085	-0.087400	-0.012531	1146	573	1	3029
283	141.517698458	130	0.0	-0.085	-0.089458	-0.013887	1162	561	2	2751
284	79.0151133058	50	0.0	-0.085	0.021975	0.028211	686	657	2	2898
285	112.896774089	90	0.0	-0.085	-0.044079	0.019366	962	667	2	2941
286	145.857847949	130	0.0	-0.085	-0.093707	-0.021455	1190	548	2	2830
287	60.0523762862	50	0.0	-0.085	0.057203	0.014288	576	644	2	2896
288	100.533729848	90	0.0	-0.085	-0.020638	0.025988	911	708	2	2970
289	134.618620888	130	0.0	-0.085	-0.078197	-0.005755	1070	631	2	2882
290	50.3710612234	50	0.0	-0.085	0.072715	0.002807	502	624	2	2812
291	81.5779207078	90	0.0	-0.085	0.016348	0.025414	708	682	2	2849
292	125.894277817	130	0.0	-0.085	-0.065967	0.006149	996	647	2	2788
293	91.2553120101	90	0.0	-0.085	-0.002438	0.026259	773	705	2	2880
294	63.3968346364	50	0.0	-0.085	0.050878	0.016587	590	640	2	2938
295	94.556066635	90	0.0	-0.085	-0.008873	0.026349	854	694	2	2920
296	127.829223465	130	0.0	-0.085	-0.069102	0.003992	1074	643	2	2874
297	60.1698347605	50	0.0	-0.085	0.056290	0.013168	576	640	2	3142
298	65.0815107389	50	0.0	-0.085	0.046906	0.015965	659	650	2	3052
299	138.983625685	130	0.0	-0.085	-0.085054	-0.011021	1174	554	2	3028
300	94.676683069	90	0.0	-0.085	-0.009159	0.026961	814	689	2	3110
427	72.1275205237	50	0.0	-0.085	0.034819	0.022979	715	687	3	2827
428	136.067397368	90	0.0	-0.085	-0.081461	-0.006519	1045	639	3	2632
429	109.504253371	130	0.0	-0.085	-0.037674	0.021363	961	681	3	2750
430	34.4389893088	50	0.0	-0.085	0.092680	-0.021448	391	485	3	2776
431	131.17185126	130	0.0	-0.085	-0.074123	-0.000246	1074	643	3	3006
432	72.8866119748	90	0.0	-0.085	0.032911	0.021890	575	651	3	2886
433	55.1991331153	50	0.0	-0.085	0.064971	0.008478	552	621	3	2828
434	140.134629105	130	0.0	-0.085	-0.086533	-0.012736	1173	581	3	2949
435	99.9916218761	90	0.0	-0.085	-0.019468	0.025503	873	668	3	2935
436	116.191196417	90	0.0	-0.085	-0.049188	0.015002	983	676	3	2967
437	157.549242919	130	0.0	-0.085	-0.105550	-0.041386	1259	483	3	3015
438	78.7385988188	50	0.0	-0.085	0.022065	0.025813	727	694	3	3007
439	130.838504559	90	0.0	-0.085	-0.074405	0.001082	1063	620	3	2983
440	142.444137803	130	0.0	-0.085	-0.088109	-0.017255	1154	576	3	2869
441	39.9960634911	50	0.0	-0.085	0.086059	-0.012798	433	553	3	2977
442	74.0975620028	90	0.0	-0.085	0.030822	0.023184	679	648	3	3087
443	159.17928132	130	0.0	-0.085	-0.105244	-0.044978	1228	514	3	2895
444	70.2422885697	50	0.0	-0.085	0.038426	0.021980	641	668	3	2967
571	144.342525603	130	0.0	-0.085	-0.091569	-0.019304	1148	564	4	2669
572	68.3347479594	50	0.0	-0.085	0.041917	0.020519	656	685	4	2788
573	101.743108736	90	0.0	-0.085	-0.023103	0.026139	907	655	4	2789
574	145.235832488	130	0.0	-0.085	-0.093214	-0.020301	1227	512	4	2769
575	143.077977517	90	0.0	-0.085	-0.090161	-0.017251	1027	635	4	2689
576	15.4902645492	50	0.0	-0.085	0.110900	-0.054265	336	441	4	2889
577	121.400757324	130	0.0	-0.085	-0.058554	0.010924	950	682	4	2729
578	33.0558705885	50	0.0	-0.085	0.093604	-0.024083	399	520	4	2849
579	83.3390982789	90	0.0	-0.085	0.013012	0.026422	715	668	4	2860
580	92.9655607387	90	0.0	-0.085	-0.005750	0.025993	758	668	4	2818
581	54.0084649823	50	0.0	-0.085	0.066588	0.006679	493	593	4	2912
582	138.563514698	130	0.0	-0.085	-0.087344	-0.007897	1148	585	4	3052
583	151.560971392	130	0.0	-0.085	-0.097971	-0.031941	1200	512	4	2884
584	76.7126733976	50	0.0	-0.085	0.025469	0.022848	633	680	4	2829
585	117.246311121	90	0.0	-0.085	-0.053209	0.018328	919	670	4	2949
586	67.0411471798	50	0.0	-0.085	0.044092	0.019082	550	605	4	3028
587	106.898115253	90	0.0	-0.085	-0.032141	0.020801	899	689	4	2769
588	137.210470927	130	0.0	-0.085	-0.082296	-0.008821	1054	659	4	2891
