trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	48.002	50	0	0	8.2237	9.1341	7.2808	9.1553	1	3280	1
47	100.45	90	0	0	-2.2145	12.001	-3.6761	11.191	1	3947	1
48	129.54	130	0	0	-7.8249	9.4774	-8.4638	8.066	1	2629	1
49	42.894	50	0	0	8.9339	8.3001	7.924	8.238	1	2643	1
50	112.26	90	0	0	-4.5935	11.224	-5.5817	10.187	1	2565	1
51	121.36	130	0	0	-6.3099	10.354	-5.6293	9.5567	1	2429	1
52	30.21	50	0	0	10.579	6.1594	9.8057	6.346	1	2915	1
53	91.335	90	0	0	-0.2835	12.166	-0.38903	11.506	1	2591	1
54	125.7	130	0	0	-7.0599	9.8242	-5.6055	10.101	1	2609	1
55	101.02	90	0	0	-2.3227	11.928	-3.9858	10.503	1	2709	1
56	32.42	50	0	0	10.207	6.4826	9.6866	6.1453	1	4287	1
57	128.05	130	0	0	-7.5264	9.617	-5.796	10.56	1	2589	1
58	117.76	130	0	0	-5.6848	10.8	-3.8667	11.821	1	2690	1
59	101.43	90	0	0	-2.388	11.814	-4.3431	10.331	1	2547	1
60	36.584	50	0	0	9.7043	7.2028	7.1856	8.41	1	4039	1
61	101.68	90	0	0	-2.4615	11.904	-2.8663	10.302	1	2825	1
62	124.31	130	0	0	-6.8122	9.9829	-5.7484	10.359	1	2669	1
63	50.377	50	0	0	7.7916	9.4108	5.6849	10.589	1	2684	1
118	47.043	50	0	0	8.2701	8.8821	7.3285	9.098	2	3323	1
119	99.107	90	0	0	-1.9206	11.982	-2.4375	11.277	2	2869	1
120	130.72	130	0	0	-7.841	9.1081	-6.987	9.6427	2	2530	1
121	91.939	90	0	0	-0.4096	12.102	-0.50813	11.219	2	2553	1
122	123.39	130	0	0	-6.6746	10.126	-5.2482	10.761	2	2508	1
123	52.797	50	0	0	7.3779	9.7189	6.0422	9.872	2	2777	1
124	94.655	90	0	0	-0.9822	12.063	-1.3418	11.42	2	2489	1
125	46.91	50	0	0	8.4199	9.0008	7.5667	8.2953	2	2529	1
126	122.19	130	0	0	-6.4511	10.248	-4.2954	11.047	2	2449	1
127	70.247	90	0	0	4.1379	11.523	2.8504	11.019	2	2510	1
128	57.853	50	0	0	6.4885	10.325	4.0652	10.273	2	2738	1
129	127.51	130	0	0	-7.4885	9.7569	-6.5106	9.442	2	2509	1
130	117.88	130	0	0	-5.6657	10.709	-4.6765	9.9007	2	3252	1
131	40.353	50	0	0	9.3678	7.9593	8.6385	7.4927	2	3901	1
132	102.65	90	0	0	-2.6928	11.994	-2.1517	11.477	2	2669	1
133	138.81	130	0	0	-9.1145	7.9756	-7.2252	7.9513	2	2848	1
134	54.978	50	0	0	6.963	9.9362	4.494	9.2413	2	5119	1
135	91.937	90	0	0	-0.4151	12.277	-0.50813	11.449	2	2608	1
190	45.123	50	0	0	8.7138	8.7514	5.4944	10.101	3	3134	1
191	95.167	90	0	0	-1.1134	12.312	-1.1274	11.047	3	2689	1
192	123.52	130	0	0	-6.7557	10.198	-5.272	10.015	3	2449	1
193	99.159	90	0	0	-1.9297	11.969	-3.8905	10.646	3	2729	1
194	111.99	130	0	0	-4.5404	11.243	-3.557	10.503	3	3053	1
195	57.223	50	0	0	6.5263	10.136	5.8517	8.8113	3	2533	1
196	63.62	50	0	0	5.4687	11.026	4.351	10.159	3	2629	1
197	101.22	90	0	0	-2.3702	11.946	-2.5328	10.904	3	2609	1
198	117.05	130	0	0	-5.4787	10.73	-4.7956	9.958	3	2469	1
199	110.49	130	0	0	-4.2181	11.291	-3.3903	10.933	3	2288	1
200	47.221	50	0	0	8.186	8.8466	6.0422	9.1553	3	3477	1
201	71.533	90	0	0	3.8143	11.422	3.1362	10.359	3	2930	1
202	55.447	50	0	0	6.9219	10.052	5.3038	9.3273	3	2529	1
203	117.64	130	0	0	-5.5931	10.68	-3.557	10.302	3	2749	1
204	99.605	90	0	0	-2.0485	12.105	-3.9381	10.359	3	2530	1
205	111.86	130	0	0	-4.531	11.293	-3.5094	10.101	3	2749	1
206	87.213	90	0	0	0.5895	12.11	-0.81778	10.818	3	2749	1
207	41.824	50	0	0	8.9728	8.0294	9.1387	6.174	3	3764	1
262	127.73	130	0	0	-7.5062	9.7024	-7.0823	9.27	4	2870	1
263	81.94	90	0	0	1.6989	11.998	0.56375	11.391	4	2609	1
264	39.258	50	0	0	9.3475	7.6393	9.7104	6.002	4	2570	1
265	85.561	90	0	0	0.9306	11.988	-0.57959	10.875	4	2508	1
266	104.64	130	0	0	-3.0951	11.848	-2.9615	11.047	4	2549	1
267	50.31	50	0	0	7.8816	9.4969	4.9942	9.9867	4	2909	1
268	104.85	90	0	0	-3.0821	11.622	-4.2954	9.8433	4	2568	1
269	112.34	130	0	0	-4.625	11.255	-3.9381	10.273	4	2652	1
270	32.936	50	0	0	10.295	6.6693	8.6147	6.6613	4	2675	1
271	121.26	130	0	0	-6.2363	10.274	-5.4626	9.5567	4	2409	1
272	75.802	90	0	0	2.9749	11.759	1.2307	10.101	4	2632	1
273	18.332	50	0	0	11.53	3.8203	10.973	3.2787	4	2449	1
274	115.21	130	0	0	-5.1866	11.015	-4.3669	9.958	4	2589	1
275	51.648	50	0	0	7.5004	9.4793	6.3042	9.356	4	2709	1
276	90.193	90	0	0	-0.0409	12.159	-1.318	10.503	4	2469	1
277	38.664	50	0	0	9.5172	7.6149	9.6628	6.1167	4	2549	1
278	110.13	130	0	0	-4.1335	11.279	-3.8429	10.388	4	2749	1
279	78.179	90	0	0	2.5074	11.98	0.89722	10.503	4	2509	1
