Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	135	527.991015119	117.111680796	0.000084	-0.085151	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	2
1	135	528.067273086	116.969701479	0.000126	-0.085177	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	22
1	135	528.017544963	116.798741132	0.000139	-0.085230	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	42
1	135	528.09380293	116.656761816	0.000181	-0.085256	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	62
1	135	528.09380293	116.656761816	0.000181	-0.085256	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	82
1	135	528.241862012	116.371608973	0.000264	-0.085309	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	102
1	135	528.394377946	116.08765034	0.000348	-0.085361	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	122
1	135	528.467810382	115.947302345	0.000389	-0.085387	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	142
1	135	528.668423118	115.831478527	0.000460	-0.085387	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	162
1	135	528.743049764	115.686673679	0.000502	-0.085414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	182
1	135	528.743049764	115.686673679	0.000502	-0.085414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	202
1	135	528.8164822	115.546325684	0.000543	-0.085440	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	221
1	135	528.8164822	115.546325684	0.000543	-0.085440	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	242
1	135	528.940836969	115.572481183	0.000572	-0.085414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	262
1	135	528.940836969	115.572481183	0.000572	-0.085414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	282
1	135	528.940836969	115.572481183	0.000572	-0.085414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	302
1	135	528.866210323	115.717286031	0.000530	-0.085387	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	322
1	135	528.866210323	115.717286031	0.000530	-0.085387	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	342
1	135	528.743049764	115.686673679	0.000502	-0.085414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	362
1	135	528.743049764	115.686673679	0.000502	-0.085414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	382
1	135	528.743049764	115.686673679	0.000502	-0.085414	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	402
1	135	528.792777887	115.857634027	0.000489	-0.085361	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	422
1	135	528.792777887	115.857634027	0.000489	-0.085361	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	442
1	135	528.640261953	116.14159266	0.000405	-0.085309	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	462
1	135	528.415944904	116.568724819	0.000280	-0.085230	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	482
1	135	528.040743242	117.282641143	0.000071	-0.085098	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	502
1	135	527.563947979	118.447019594	-0.000234	-0.084862	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	522
1	135	526.86729252	120.039724415	-0.000663	-0.084546	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	542
1	135	525.348432622	123.203435411	-0.001551	-0.083939	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	562
1	135	523.789883595	126.996608364	-0.002546	-0.083171	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	582
1	135	521.724707026	131.798084177	-0.003830	-0.082213	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	602
1	135	519.388453167	137.976696143	-0.005397	-0.080931	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	622
1	135	516.477244568	145.632540484	-0.007343	-0.079345	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	642
1	135	513.205501634	154.660658396	-0.009595	-0.077450	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	662
1	135	509.652956248	165.244826552	-0.012160	-0.075185	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	682
1	135	505.80858648	176.909184422	-0.014968	-0.072678	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	701
1	135	501.59579981	190.44766041	-0.018161	-0.069730	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	722
1	135	497.157284453	205.095978503	-0.021584	-0.066522	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	742
1	135	492.57701787	220.719004656	-0.025194	-0.063077	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	762
1	135	487.882389563	237.65129144	-0.029035	-0.059302	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	-30	782
