Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	161.704174411	130	0.0	-0.085	-0.104979	-0.050290	1286	461	1	2369
140	99.2850358936	90	0.0	-0.085	-0.018928	0.030776	927	703	1	2682
141	38.6726406529	50	0.0	-0.085	0.087105	-0.015284	377	492	1	2620
142	122.120982263	90	0.0	-0.085	-0.060954	0.012090	993	651	1	2522
143	43.9653429094	50	0.0	-0.085	0.084274	-0.003716	429	499	1	2588
144	156.183378675	130	0.0	-0.085	-0.105809	-0.038296	1233	432	1	2481
145	136.868860844	130	0.0	-0.085	-0.084514	-0.005827	1104	643	1	2626
146	57.9839147672	50	0.0	-0.085	0.060774	0.012198	529	585	1	2478
147	68.0663345243	90	0.0	-0.085	0.043692	0.023503	601	629	1	2633
148	55.5329552634	50	0.0	-0.085	0.065144	0.009902	589	622	1	2565
149	132.012764362	130	0.0	-0.085	-0.075521	-0.001163	1057	603	1	2583
150	105.99287858	90	0.0	-0.085	-0.031510	0.024940	931	679	1	2621
151	148.025915516	130	0.0	-0.085	-0.096788	-0.024581	1183	446	1	2469
152	53.6653080325	50	0.0	-0.085	0.066881	0.005932	449	550	1	2695
153	108.635025051	90	0.0	-0.085	-0.036663	0.023722	898	707	1	2663
154	51.3493275664	50	0.0	-0.085	0.069738	0.002201	413	525	1	2573
155	109.357296804	90	0.0	-0.085	-0.038515	0.024630	945	673	1	2477
156	147.908790524	130	0.0	-0.085	-0.096341	-0.024586	1230	524	1	2409
283	55.3131181588	50	0.0	-0.085	0.065070	0.009019	492	604	2	2653
284	116.180504897	90	0.0	-0.085	-0.050213	0.017134	955	668	2	2668
285	107.711219235	130	0.0	-0.085	-0.034540	0.023155	948	664	2	2696
286	128.112386467	90	0.0	-0.085	-0.071581	0.006250	1026	663	2	2648
287	30.4696887819	50	0.0	-0.085	0.099697	-0.026345	332	404	2	2577
288	131.943128401	130	0.0	-0.085	-0.076645	0.000293	1142	596	2	2472
289	80.5727937067	90	0.0	-0.085	0.019112	0.030107	641	709	2	2733
290	111.591045165	130	0.0	-0.085	-0.040982	0.018556	953	672	2	2489
291	68.5592221851	50	0.0	-0.085	0.042221	0.022510	676	662	2	2608
292	66.639261051	90	0.0	-0.085	0.045350	0.019995	643	703	2	2653
293	21.9358126359	50	0.0	-0.085	0.106768	-0.042002	331	417	2	2581
294	139.692994874	130	0.0	-0.085	-0.086800	-0.011370	1200	552	2	2449
295	138.980897556	130	0.0	-0.085	-0.086807	-0.009489	1203	480	2	2509
296	82.1219759926	90	0.0	-0.085	0.015839	0.029468	732	680	2	2670
297	47.5274582349	50	0.0	-0.085	0.077307	-0.000553	391	458	2	2634
298	65.1625669898	50	0.0	-0.085	0.050595	0.024310	527	611	2	2586
299	71.6408623097	90	0.0	-0.085	0.035606	0.022291	647	646	2	2429
300	146.684198397	130	0.0	-0.085	-0.097503	-0.020914	1192	535	2	2429
427	111.233763018	90	0.0	-0.085	-0.041457	0.021696	1013	642	3	2430
428	138.142239515	130	0.0	-0.085	-0.085760	-0.008166	1106	527	3	2414
429	54.7864863107	50	0.0	-0.085	0.065388	0.007647	560	620	3	2465
430	63.0029884503	90	0.0	-0.085	0.051809	0.016694	590	623	3	2423
431	152.224866875	130	0.0	-0.085	-0.100035	-0.032313	1223	507	3	2369
432	56.5162201563	50	0.0	-0.085	0.065364	0.013815	490	578	3	2517
433	104.034165577	130	0.0	-0.085	-0.027570	0.025297	931	681	3	2423
434	94.0013622564	90	0.0	-0.085	-0.007918	0.028194	873	674	3	2409
435	47.5517733232	50	0.0	-0.085	0.077961	0.000234	493	547	3	2516
436	130.803608654	130	0.0	-0.085	-0.075876	0.002892	1123	570	3	2389
437	108.84977578	90	0.0	-0.085	-0.038017	0.026357	897	700	3	2482
438	31.3549230899	50	0.0	-0.085	0.096018	-0.026494	336	402	3	2548
439	54.0884208525	50	0.0	-0.085	0.067256	0.007871	563	612	3	2496
440	84.9263884052	90	0.0	-0.085	0.009876	0.026237	798	695	3	2526
441	151.900613269	130	0.0	-0.085	-0.101793	-0.030649	1207	533	3	2449
442	71.657950933	90	0.0	-0.085	0.036518	0.025149	634	643	3	2655
443	141.615598186	130	0.0	-0.085	-0.087687	-0.015539	1107	582	3	2389
444	47.2071511753	50	0.0	-0.085	0.077134	-0.001682	431	490	3	2523
571	158.515119941	130	0.0	-0.085	-0.108690	-0.042219	1251	419	4	2470
572	87.0062053464	90	0.0	-0.085	0.005954	0.028845	806	650	4	2545
573	29.6896478285	50	0.0	-0.085	0.101268	-0.027262	354	398	4	2527
574	81.7022960714	90	0.0	-0.085	0.016773	0.030007	677	638	4	2415
575	66.5202696043	50	0.0	-0.085	0.046102	0.021130	631	644	4	2551
576	143.547624409	130	0.0	-0.085	-0.092521	-0.016657	1218	491	4	2395
577	68.6333745505	90	0.0	-0.085	0.042082	0.022565	554	605	4	2744
578	39.9845095794	50	0.0	-0.085	0.088113	-0.011105	376	458	4	2661
579	132.526516463	130	0.0	-0.085	-0.076837	-0.001225	1044	612	4	2516
580	111.11471309	130	0.0	-0.085	-0.041019	0.021222	981	633	4	2479
581	100.666495572	90	0.0	-0.085	-0.021641	0.029900	902	645	4	2610
582	84.3781808251	50	0.0	-0.085	0.011299	0.029786	686	700	4	2770
583	55.92230258	90	0.0	-0.085	0.063858	0.009397	576	705	4	2754
584	166.47846615	130	0.0	-0.085	-0.115055	-0.057332	1282	377	4	2445
585	37.032966626	50	0.0	-0.085	0.093963	-0.014109	373	465	4	2752
586	53.325117018	50	0.0	-0.085	0.071175	0.010576	430	546	4	2756
587	139.047003095	130	0.0	-0.085	-0.083275	-0.012730	1156	522	4	2432
588	77.3805751659	90	0.0	-0.085	0.026670	0.034125	682	695	4	2620
