trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	81.893	50	0	0	1.6175	11.355	4.1128	11.592	1	2469	1
140	132.16	130	0	0	-7.5566	8.3442	-7.9636	8.152	1	2469	1
141	89.433	90	0	0	0.1128	11.407	-0.17466	12.137	1	2570	1
142	78.72	50	0	0	2.2277	11.168	3.4697	11.592	1	2649	1
143	133.53	130	0	0	-7.7543	8.1616	-8.8688	7.722	1	2429	1
144	73.653	90	0	0	3.2115	10.949	4.5416	10.732	1	2509	1
145	82.706	50	0	0	1.4462	11.299	3.3506	11.42	1	2524	1
146	107.95	90	0	0	-3.4844	10.753	-2.6281	11.506	1	2489	1
147	111.19	130	0	0	-4.0574	10.467	-3.2712	11.764	1	2509	1
148	136.79	130	0	0	-8.1984	7.7022	-7.1538	8.84	1	2469	1
149	78.428	50	0	0	2.2681	11.077	3.6365	11.076	1	2469	1
150	115.7	90	0	0	-4.8549	10.09	-4.3431	10.073	1	2469	1
151	112.41	90	0	0	-4.2727	10.361	-4.2954	11.162	1	2389	1
152	40.11	50	0	0	8.8546	7.4589	9.1626	7.4353	1	2750	1
153	142.08	130	0	0	-8.9235	6.9517	-9.226	7.1773	1	2409	1
154	116.53	130	0	0	-5.0423	10.098	-4.224	11.191	1	2429	1
155	51.268	50	0	0	7.154	8.9195	7.3047	9.1267	1	2469	1
156	95.611	90	0	0	-1.1237	11.437	-0.2223	11.879	1	2369	1
283	100.75	90	0	0	-2.1001	11.059	-2.6995	12.022	2	2470	1
284	115.42	130	0	0	-4.858	10.223	-4.4383	11.162	2	2449	1
285	80.094	50	0	0	1.9409	11.114	4.5654	10.789	2	2469	1
286	59.243	50	0	0	5.8184	9.7773	7.1379	9.184	2	2428	1
287	140.39	130	0	0	-8.882	7.3505	-9.2499	6.346	2	2370	1
288	78.428	90	0	0	2.2899	11.184	3.5888	11.105	2	2369	1
289	117.87	90	0	0	-5.3388	10.094	-3.6285	10.732	2	2469	1
290	76.435	50	0	0	2.6633	11.038	4.1367	11.363	2	2509	1
291	138.2	130	0	0	-8.3814	7.4942	-9.226	6.4893	2	2348	1
292	127.8	130	0	0	-6.9701	8.9863	-5.5102	10.302	2	2388	1
293	74.453	50	0	0	3.1178	11.207	5.7087	10.273	2	2469	1
294	105.51	90	0	0	-3.0286	10.911	-0.57959	11.42	2	2389	1
295	66.537	50	0	0	4.5551	10.495	4.6369	9.9293	2	2429	1
296	143.95	130	0	0	-9.0444	6.5842	-9.0117	7.3207	2	2409	1
297	111.47	90	0	0	-4.2171	10.722	-1.7706	10.99	2	2409	1
298	37.617	50	0	0	9.028	6.9567	9.639	6.776	2	2489	1
299	140.68	130	0	0	-8.586	7.0337	-8.5829	7.8367	2	2369	1
300	99.953	90	0	0	-1.9289	10.992	0.18264	11.42	2	2449	1
427	66.839	50	0	0	4.4329	10.362	3.8032	11.047	3	2410	1
428	128.11	130	0	0	-7.0714	9.016	-7.1061	9.1267	3	2429	1
429	72.307	90	0	0	3.4481	10.809	3.827	10.99	3	2369	1
430	112.84	90	0	0	-4.3325	10.289	-3.9381	11.047	3	2369	1
431	68.924	50	0	0	4.0984	10.635	5.28	9.9007	3	2389	1
432	134.86	130	0	0	-8.0278	8.0659	-8.5115	6.8333	3	2309	1
433	70.564	90	0	0	3.8228	10.834	4.1367	10.474	3	2429	1
434	138.18	130	0	0	-8.544	7.6457	-8.2256	7.5213	3	2289	1
435	35.017	50	0	0	9.2709	6.4957	9.6628	6.1453	3	2409	1
436	101.06	90	0	0	-2.203	11.273	-0.53195	11.85	3	2369	1
437	80.46	50	0	0	1.9427	11.56	4.3749	10.273	3	2509	1
438	117.83	130	0	0	-5.2962	10.031	-3.6285	10.761	3	2369	1
439	91.276	90	0	0	-0.2523	11.328	0.63521	11.85	3	2489	1
440	78.749	50	0	0	2.2192	11.155	3.8032	10.703	3	2408	1
441	128.28	130	0	0	-6.9723	8.8345	-5.9628	9.2413	3	2310	1
442	45.032	50	0	0	8.0783	8.0874	9.8533	5.5147	3	2450	1
443	140.04	130	0	0	-8.5942	7.2006	-8.6306	7.2633	3	2349	1
444	79.412	90	0	0	2.1235	11.36	4.2081	10.331	3	2369	1
571	128.37	130	0	0	-7.012	8.8558	-6.6774	8.926	4	2344	1
572	106.53	90	0	0	-3.1705	10.683	-3.6523	11.076	4	2309	1
573	65.798	50	0	0	4.7181	10.497	4.9942	11.506	4	2370	1
574	138.06	130	0	0	-8.4308	7.5764	-6.9156	8.7827	4	2249	1
575	111.87	90	0	0	-4.1332	10.298	-2.7948	10.56	4	2349	1
576	68.946	50	0	0	4.1627	10.814	3.7556	11.105	4	2309	1
577	128.45	130	0	0	-7.0879	8.9277	-5.939	9.958	4	2269	1
578	81.641	90	0	0	1.7055	11.608	3.4221	10.646	4	2449	1
579	45.711	50	0	0	7.8029	7.9989	9.5913	6.2887	4	2434	1
580	128.47	130	0	0	-7.0106	8.8232	-4.6765	10.101	4	2256	1
581	50.985	50	0	0	7.2589	8.9591	7.2808	8.2953	4	2329	1
582	114.32	90	0	0	-4.7237	10.45	-2.4375	10.99	4	2349	1
583	43.841	50	0	0	8.1469	7.8238	10.02	5.486	4	3694	1
584	101.84	90	0	0	-2.3538	11.227	-0.19848	11.477	4	2329	1
585	122.16	130	0	0	-6.0225	9.5766	-4.1525	10.589	4	2329	1
586	78.2	50	0	0	2.4015	11.496	4.1367	10.302	4	2389	1
587	151.99	130	0	0	-10.171	5.4104	-8.5353	5.916	4	2289	1
588	74.178	90	0	0	3.1234	11.021	4.5178	10.331	4	2329	1
