Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	45.7204338786	50	0.0	-0.085	0.077426	-0.005602	457	635	1	3438
140	136.811162679	90	0.0	-0.085	-0.080794	-0.009159	914	712	1	2529
141	153.830910631	130	0.0	-0.085	-0.102684	-0.034542	1026	667	1	2589
142	84.1758558145	90	0.0	-0.085	0.011601	0.028733	675	772	1	2629
143	77.6632320251	50	0.0	-0.085	0.024331	0.026249	567	669	1	3648
144	143.52256396	130	0.0	-0.085	-0.091917	-0.017041	972	678	1	2609
145	176.63559172	130	0.0	-0.085	-0.111282	-0.078458	1183	505	1	2608
146	59.8293118075	90	0.0	-0.085	0.057651	0.014171	612	738	1	2570
147	80.6608768808	50	0.0	-0.085	0.018648	0.028391	590	705	1	2569
148	138.926504736	90	0.0	-0.085	-0.087063	-0.009121	976	683	1	2609
149	43.0561276294	50	0.0	-0.085	0.084278	-0.006255	510	680	1	2629
150	154.097828644	130	0.0	-0.085	-0.103239	-0.034865	1073	621	1	2569
151	68.8018578965	90	0.0	-0.085	0.040911	0.020485	643	730	1	2589
152	141.677085702	130	0.0	-0.085	-0.088560	-0.015002	1030	675	1	2509
153	57.6450377719	50	0.0	-0.085	0.061671	0.012347	491	654	1	2634
154	167.353986728	130	0.0	-0.085	-0.115011	-0.059195	1162	549	1	2589
155	57.6589974721	90	0.0	-0.085	0.062314	0.013415	615	677	1	2480
156	67.5577169906	50	0.0	-0.085	0.043915	0.021323	509	701	1	2549
283	54.5004358114	50	0.0	-0.085	0.065251	0.006480	579	687	2	2584
284	135.892479729	90	0.0	-0.085	-0.082665	-0.004871	922	685	2	2589
285	106.454519772	130	0.0	-0.085	-0.032122	0.023759	874	728	2	2609
286	61.7734567402	50	0.0	-0.085	0.056164	0.019629	571	701	2	2629
287	136.642748897	90	0.0	-0.085	-0.083968	-0.005714	986	710	2	2584
288	173.928735047	130	0.0	-0.085	-0.116348	-0.072625	1168	541	2	2509
289	21.7335469142	50	0.0	-0.085	0.104130	-0.043491	291	562	2	2709
290	141.101600913	130	0.0	-0.085	-0.088994	-0.013195	967	691	2	2589
291	92.9662387973	90	0.0	-0.085	-0.005969	0.030194	789	723	2	2549
292	166.65305909	130	0.0	-0.085	-0.116322	-0.057402	1143	565	2	2589
293	25.498221585	50	0.0	-0.085	0.101810	-0.036443	384	633	2	2629
294	91.3339895827	90	0.0	-0.085	-0.002611	0.027124	667	747	2	2609
295	136.209198734	130	0.0	-0.085	-0.083836	-0.004630	959	700	2	2469
296	67.5290347343	50	0.0	-0.085	0.043749	0.020771	569	631	2	2489
297	130.829837118	90	0.0	-0.085	-0.076431	0.003453	818	741	2	2629
298	23.6400929075	50	0.0	-0.085	0.104340	-0.039328	433	625	2	2609
299	60.8640905072	90	0.0	-0.085	0.055820	0.015141	564	667	2	2588
300	166.758979453	130	0.0	-0.085	-0.108443	-0.059483	1135	599	2	2508
427	143.651756217	130	0.0	-0.085	-0.091951	-0.017336	1070	661	3	2629
428	60.7517106074	90	0.0	-0.085	0.056407	0.015729	640	757	3	2690
429	65.2642882662	50	0.0	-0.085	0.047224	0.017504	554	687	3	2589
430	155.173633258	130	0.0	-0.085	-0.104718	-0.036555	1121	634	3	2649
431	38.5293857752	50	0.0	-0.085	0.091564	-0.012090	493	693	3	2709
432	117.098930103	90	0.0	-0.085	-0.053434	0.019424	867	717	3	2549
433	86.3678654491	90	0.0	-0.085	0.007397	0.031529	777	752	3	2570
434	36.4771494404	50	0.0	-0.085	0.093821	-0.015634	488	662	3	2629
435	120.884468959	130	0.0	-0.085	-0.061897	0.018486	960	714	3	2509
436	175.068353758	130	0.0	-0.085	-0.120401	-0.074611	1191	467	3	2589
437	119.000686149	90	0.0	-0.085	-0.057596	0.018903	864	687	3	4219
438	39.7455388481	50	0.0	-0.085	0.089355	-0.010696	589	700	3	2619
439	87.6419257337	50	0.0	-0.085	0.004775	0.030956	670	728	3	2489
