trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	78.811	90	0	0	2.3403	11.831	1.9453	11.649	1	5673	1
47	32.991	50	0	0	10.134	6.5789	9.2817	7.034	1	4213	1
48	144.53	130	0	0	-9.9053	7.0576	-8.7973	6.7187	1	4062	1
49	132.27	130	0	0	-8.0995	8.9102	-7.7731	8.582	1	3844	1
50	35.349	50	0	0	9.8168	6.9632	9.234	6.8907	1	5622	1
51	68.434	90	0	0	4.4747	11.321	2.5884	11.42	1	3612	1
52	29.354	50	0	0	10.498	5.904	10.377	4.884	1	4460	1
53	140.4	130	0	0	-9.2787	7.6752	-9.2499	6.776	1	4754	1
54	66.986	90	0	0	4.7017	11.069	2.6837	11.821	1	4558	1
55	38.069	50	0	0	9.4509	7.4021	9.3055	6.8047	1	4104	1
56	141.17	130	0	0	-9.5037	7.6495	-9.0831	7.1773	1	3570	1
57	58.027	90	0	0	6.4145	10.276	5.3753	10.388	1	3275	1
58	153.37	130	0	0	-10.776	5.404	-10.179	5.6007	1	3030	1
59	46.136	90	0	0	8.469	8.8118	4.2081	10.245	1	5641	0
60	36.662	50	0	0	9.6954	7.2166	10.258	6.2887	1	3708	1
61	108.26	90	0	0	-3.846	11.659	-2.9854	12.223	1	3369	1
62	27.884	50	0	0	10.996	5.8181	10.377	5.0273	1	4109	1
63	142.83	130	0	0	-9.8263	7.4508	-9.0355	7.0627	1	3764	1
118	26.595	50	0	0	10.837	5.4253	8.71	6.776	2	5636	1
119	107.06	90	0	0	-3.5392	11.534	-3.5094	10.703	2	3855	1
120	142.87	130	0	0	-9.7484	7.3816	-8.6544	7.1487	2	2760	1
121	145.92	130	0	0	-10.097	6.8308	-8.7497	7.034	2	3069	1
122	60.171	50	0	0	5.9976	10.46	4.8274	10.789	2	2908	1
123	123.91	90	0	0	-6.7843	10.093	-5.796	10.503	2	3008	1
124	39.146	50	0	0	9.5155	7.7456	9.0673	7.378	2	3049	1
125	101.03	90	0	0	-2.3094	11.846	-2.7948	11.735	2	3149	1
