Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	41.8518866417	50	0.0	-0.085	0.087296	-0.006806	508	605	1	2740
140	123.690209551	90	0.0	-0.085	-0.062065	0.008097	999	653	1	2489
141	145.733448778	130	0.0	-0.085	-0.094314	-0.020744	1124	531	1	3202
142	62.9867055938	90	0.0	-0.085	0.052032	0.017060	596	646	1	2789
143	150.383291387	130	0.0	-0.085	-0.096597	-0.030088	1160	487	1	2709
144	34.226604724	50	0.0	-0.085	0.095433	-0.020079	446	558	1	2689
145	71.2544970691	90	0.0	-0.085	0.036130	0.021463	596	621	1	2628
146	152.602380028	130	0.0	-0.085	-0.100803	-0.032754	1170	473	1	2670
147	20.8464478776	50	0.0	-0.085	0.107384	-0.044109	360	440	1	2588
148	68.1196360024	50	0.0	-0.085	0.042586	0.021041	671	665	1	2630
149	62.3886411743	90	0.0	-0.085	0.051839	0.014111	600	650	1	2629
150	149.937591248	130	0.0	-0.085	-0.099507	-0.027405	1202	497	1	2649
151	136.666455483	130	0.0	-0.085	-0.080843	-0.008728	1131	566	1	2369
152	54.1313493988	90	0.0	-0.085	0.066727	0.007286	584	624	1	2529
153	72.8765750274	50	0.0	-0.085	0.033560	0.023930	673	675	1	2489
154	96.3463641141	130	0.0	-0.085	-0.012691	0.029107	904	674	1	2589
155	111.380136211	90	0.0	-0.085	-0.041690	0.021489	977	633	1	2629
156	73.5393588309	50	0.0	-0.085	0.032202	0.023987	686	659	1	2649
283	140.015042351	130	0.0	-0.085	-0.087767	-0.011394	1156	540	2	2530
284	36.4037809425	50	0.0	-0.085	0.092623	-0.016703	431	521	2	2469
285	72.0313844438	90	0.0	-0.085	0.034676	0.021921	684	651	2	2429
286	49.559328741	90	0.0	-0.085	0.073459	0.001190	595	648	2	2529
287	74.1683861146	50	0.0	-0.085	0.031079	0.024600	690	689	2	2509
