trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	41.852	50	0	0	8.7296	7.8194	6.8997	9.8433	1	2740	1
140	123.69	90	0	0	-6.2065	9.3097	-4.7956	11.219	1	2489	1
141	145.73	130	0	0	-9.4314	6.4256	-7.7731	7.722	1	3202	1
142	62.987	90	0	0	5.2032	10.206	4.8036	11.019	1	2789	1
143	150.38	130	0	0	-9.6597	5.4912	-8.6306	6.4607	1	2709	1
144	34.227	50	0	0	9.5433	6.4921	8.3765	8.496	1	2689	1
145	71.254	90	0	0	3.613	10.646	4.8036	10.302	1	2628	1
146	152.6	130	0	0	-10.08	5.2246	-8.8688	6.0593	1	2670	1
147	20.846	50	0	0	10.738	4.0891	10.425	5.1133	1	2588	1
148	68.12	50	0	0	4.2586	10.604	3.0172	11.563	1	2630	1
149	62.389	90	0	0	5.1839	9.9111	4.7083	11.133	1	2629	1
150	149.94	130	0	0	-9.9507	5.7595	-9.631	6.7473	1	2649	1
151	136.67	130	0	0	-8.0843	7.6272	-7.9398	8.7253	1	2369	1
152	54.131	90	0	0	6.6727	9.2286	5.0894	10.388	1	2529	1
153	72.877	50	0	0	3.356	10.893	2.9695	11.85	1	2489	1
154	96.346	130	0	0	-1.2691	11.411	-2.5328	11.821	1	2589	1
155	111.38	90	0	0	-4.169	10.649	-4.2716	10.646	1	2629	1
156	73.539	50	0	0	3.2202	10.899	2.6599	11.391	1	2649	1
283	140.02	130	0	0	-8.7767	7.3606	-8.5353	7.98	2	2530	1
284	36.404	50	0	0	9.2623	6.8297	8.7338	7.4353	2	2469	1
285	72.031	90	0	0	3.4676	10.692	2.7075	11.162	2	2429	1
286	49.559	90	0	0	7.3459	8.619	4.8274	11.076	2	2529	1
287	74.168	50	0	0	3.1079	10.96	2.5646	12.251	2	2509	1
288	150.6	130	0	0	-9.8992	5.5784	-9.6786	5.0273	2	2509	1
289	53.185	90	0	0	6.728	8.9885	4.9942	10.359	2	2549	1
290	63.18	50	0	0	5.1729	10.232	3.4221	11.391	2	2569	1
291	112.43	130	0	0	-4.405	10.671	-2.9377	11.248	2	2389	1
292	161.69	130	0	0	-10.703	3.5415	-10.274	5.1993	2	2629	1
293	52.395	90	0	0	6.8443	8.8859	5.018	10.359	2	2548	1
294	60.752	50	0	0	5.7151	10.206	3.3268	11.477	2	2614	1
295	65.523	90	0	0	4.754	10.443	4.0176	10.359	2	2590	1
296	71.92	50	0	0	3.5854	10.982	2.0882	11.277	2	2529	1
297	112.41	130	0	0	-4.253	10.315	-2.9377	11.793	2	2549	1
298	39.323	50	0	0	8.6477	7.0838	6.3042	9.7287	2	2548	1
299	110.14	130	0	0	-3.8792	10.576	-1.8897	11.678	2	2549	1
300	69.62	90	0	0	3.9895	10.739	4.089	10.961	2	2529	1
427	59.863	50	0	0	5.8476	10.073	4.8751	10.187	3	2510	1
428	65.269	90	0	0	4.8955	10.628	3.7556	11.162	3	2609	1
429	143.92	130	0	0	-9.2323	6.7266	-9.3451	6.2887	3	2628	1
430	56.977	90	0	0	6.0603	9.3238	5.0894	10.56	3	2489	1
431	71.186	50	0	0	3.569	10.476	3.2553	12.165	3	2529	1
432	122.87	130	0	0	-6.1853	9.5734	-4.4383	10.99	3	2509	1
433	57.868	90	0	0	5.9393	9.4562	4.8989	10.445	3	2469	1
434	132.51	130	0	0	-7.6454	8.3392	-5.796	9.958	3	3396	1
435	60.682	50	0	0	5.6428	10.048	5.0894	10.789	3	2588	1
436	61.398	50	0	0	5.3625	9.8347	5.804	9.958	3	2499	1
437	114.51	130	0	0	-4.7295	10.374	-3.819	11.191	3	3129	1
438	72.123	90	0	0	3.484	10.801	5.4467	10.101	3	2569	1
439	137.65	130	0	0	-8.4781	7.7285	-7.0823	9.528	3	2489	1
440	72.095	90	0	0	3.5707	11.052	4.9703	10.417	3	2549	1
441	70.911	50	0	0	3.8322	11.074	2.9457	10.99	3	2589	1
442	110.25	130	0	0	-3.8475	10.428	-3.0092	11.85	3	2529	1
443	71.461	50	0	0	3.5944	10.718	3.6365	11.535	3	2649	1
444	71.243	90	0	0	3.6596	10.776	4.9227	10.904	3	2509	1
571	144.73	130	0	0	-9.1743	6.4883	-9.369	6.9767	4	2430	1
572	42.515	50	0	0	8.1987	7.5168	6.9712	9.184	4	2469	1
573	82.127	90	0	0	1.5607	11.286	3.2553	11.965	4	2449	1
574	30.512	50	0	0	9.7412	5.7408	9.639	7.636	4	2429	1
575	74.861	90	0	0	2.9283	10.824	4.8512	10.933	4	2389	1
576	140.34	130	0	0	-8.8323	7.3226	-7.9636	8.6107	4	2449	1
577	31.418	50	0	0	9.8618	6.024	9.1149	7.5787	4	2389	1
578	56.946	90	0	0	6.2395	9.5881	5.4944	10.388	4	2429	1
579	135.59	130	0	0	-8.1695	8.0038	-8.7973	6.3747	4	2429	1
580	41.115	50	0	0	8.6627	7.5609	8.2098	7.8653	4	2389	1
581	54.15	90	0	0	6.6604	9.218	5.018	11.219	4	2449	1
582	140.5	130	0	0	-8.6873	7.1614	-8.1065	8.1807	4	2389	1
583	36.716	50	0	0	9.1682	6.8377	8.6862	8.84	4	2429	1
584	119.21	130	0	0	-5.4658	9.7775	-2.4375	11.85	4	2429	1
585	59.506	90	0	0	5.8544	9.941	4.8989	11.019	4	2469	1
586	71.575	90	0	0	3.6298	10.896	4.8512	10.732	4	2489	1
587	146.33	130	0	0	-9.6507	6.43	-9.1546	6.862	4	2509	1
588	28	50	0	0	10.634	5.6544	9.8533	5.9447	4	2489	1
