trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	143.34	130	0	0	-9.656	7.1867	-9.2022	6.5213	1	4039	1
47	87.762	90	0	0	0.4718	12.073	-0.41285	11.137	1	3129	1
48	29.692	50	0	0	10.479	5.975	9.8772	5.69	1	2985	1
49	34.981	50	0	0	9.8568	6.8969	9.4484	6.636	1	3129	1
50	105.36	90	0	0	-3.1852	11.592	-2.9377	10.793	1	3959	1
51	148.83	130	0	0	-10.321	6.244	-9.6548	6.4927	1	3050	1
52	64.122	90	0	0	5.2661	10.855	4.2319	9.9327	1	3288	1
53	27.395	50	0	0	10.706	5.5482	10.354	6.0627	1	3050	1
54	149.84	130	0	0	-10.4	6.0427	-9.8215	4.2853	1	3282	1
55	45.144	50	0	0	8.5257	8.5688	6.6139	8.9293	1	3029	1
56	104.45	90	0	0	-3.0004	11.641	-2.8901	11.395	1	3189	1
57	149.74	130	0	0	-10.5	6.1262	-10.584	5.2027	1	3009	1
58	130.1	130	0	0	-7.8322	9.3002	-7.4158	8.2127	1	3109	1
59	38.332	50	0	0	9.5673	7.5644	8.5194	7.2667	1	2849	1
60	95.968	90	0	0	-1.2612	12.065	-1.9849	11.194	1	3029	1
61	42.453	50	0	0	8.9946	8.2286	6.8997	8.9007	1	3012	1
62	146.11	130	0	0	-10.12	6.7983	-9.2737	6.4927	1	3009	1
63	95.758	90	0	0	-1.2109	12.009	-2.0802	11.452	1	3189	1
118	91.738	90	0	0	-0.3669	12.095	-1.842	11.767	2	3982	1
119	153.37	130	0	0	-10.873	5.4517	-10.107	4.9447	2	3180	1
120	34.477	50	0	0	9.9502	6.8328	8.6147	7.4387	2	2844	1
121	55.231	50	0	0	6.876	9.9048	5.542	10.535	2	2908	1
122	107.36	90	0	0	-3.6163	11.571	-3.0806	12.541	2	2969	1
123	148.35	130	0	0	-10.398	6.4106	-9.4404	6.1773	2	4022	1
124	64.352	90	0	0	5.2021	10.834	4.4701	10.764	2	2949	1
125	28.515	50	0	0	10.559	5.7368	11.163	4.9447	2	3184	1
126	120.29	130	0	0	-6.0628	10.381	-3.5808	10.879	2	3209	1
127	75.234	90	0	0	3.0716	11.654	3.3744	11.395	2	3069	1
128	144.32	130	0	0	-9.8668	7.085	-8.2733	8.184	2	2749	1
129	40.467	50	0	0	9.3484	7.9749	9.0197	6.722	2	3950	1
130	128.77	130	0	0	-7.553	9.4042	-6.5344	8.7573	2	3009	1
131	89.877	90	0	0	0.0258	12.003	1.8262	11.71	2	3029	1
132	71.139	50	0	0	3.9116	11.45	5.0656	10.076	2	3118	1
133	112.39	90	0	0	-4.603	11.174	-2.509	11.681	2	2809	1
134	132.64	130	0	0	-8.2583	8.9675	-5.6531	9.7893	2	2829	1
135	54.022	50	0	0	7.1285	9.8193	6.209	9.0153	2	2708	1
