Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
46	83.7463738322	90	0.0	-0.085	0.013169	0.035175	714	616	1	13808
47	131.177570904	130	0.0	-0.085	-0.080283	0.006779	1166	479	1	3142
48	51.3864393301	50	0.0	-0.085	0.074983	0.008884	562	593	1	3932
49	115.890204928	130	0.0	-0.085	-0.052690	0.023558	1072	532	1	3284
50	80.7353726326	90	0.0	-0.085	0.019361	0.033690	755	649	1	3238
51	44.5735599116	50	0.0	-0.085	0.086154	-0.000119	487	541	1	3264
52	134.832021191	130	0.0	-0.085	-0.084682	0.000180	1132	471	1	3902
53	48.7383535838	50	0.0	-0.085	0.079570	0.005695	512	505	1	3036
54	106.533294467	90	0.0	-0.085	-0.034180	0.030144	938	590	1	3534
55	35.8222596049	50	0.0	-0.085	0.097866	-0.014359	363	476	1	3366
56	94.3296930955	90	0.0	-0.085	-0.009201	0.036527	843	637	1	3448
57	142.177753359	130	0.0	-0.085	-0.097323	-0.009448	1196	467	1	2929
58	114.025225833	130	0.0	-0.085	-0.049306	0.025612	1018	561	1	2829
59	70.7638769741	90	0.0	-0.085	0.039848	0.029196	697	615	1	3707
60	29.4039158273	50	0.0	-0.085	0.105552	-0.025515	379	479	1	3244
61	134.181630842	130	0.0	-0.085	-0.084120	0.001558	1191	446	1	4217
62	44.3019683998	50	0.0	-0.085	0.088021	0.000902	434	452	1	2756
63	85.1535869682	90	0.0	-0.085	0.010267	0.036090	734	618	1	2909
118	90.3519803661	90	0.0	-0.085	-0.000738	0.035131	823	722	2	4122
119	140.602524559	130	0.0	-0.085	-0.094753	-0.007176	1197	497	2	3100
120	48.3243198771	50	0.0	-0.085	0.081007	0.005998	478	580	2	2929
121	129.436864159	130	0.0	-0.085	-0.077489	0.009213	1105	563	2	2669
122	59.0587943201	50	0.0	-0.085	0.062954	0.020017	587	622	2	3365
123	96.9293255425	90	0.0	-0.085	-0.014546	0.034688	838	676	2	2869
124	94.3118479361	90	0.0	-0.085	-0.009114	0.035878	872	652	2	2853
125	51.3097518976	50	0.0	-0.085	0.075708	0.009532	505	573	2	3109
126	136.976244585	130	0.0	-0.085	-0.088788	-0.002135	1178	510	2	3069
127	124.141809334	130	0.0	-0.085	-0.068331	0.015766	1088	560	2	2747
128	88.4971168665	90	0.0	-0.085	0.003152	0.035139	807	655	2	2909
129	37.3976993434	50	0.0	-0.085	0.096384	-0.011315	416	537	2	2955
130	131.859140787	130	0.0	-0.085	-0.081503	0.005967	1142	527	2	2735
131	85.9107283798	90	0.0	-0.085	0.008602	0.035320	753	626	2	2999
132	44.0682658711	50	0.0	-0.085	0.086640	-0.001133	486	530	2	3762
133	94.2759742704	90	0.0	-0.085	-0.008970	0.034970	830	636	2	3140
134	62.0496465134	50	0.0	-0.085	0.057415	0.023208	570	635	2	2737
135	131.151865518	130	0.0	-0.085	-0.079561	0.006036	1149	525	2	2910
190	48.215401303	50	0.0	-0.085	0.080575	0.005167	491	579	3	2991
191	136.616276384	130	0.0	-0.085	-0.087984	-0.001845	1139	524	3	2509
192	92.1492471741	90	0.0	-0.085	-0.004571	0.036799	787	670	3	2609
193	49.3397114887	50	0.0	-0.085	0.078660	0.006579	479	587	3	2633
194	138.816937079	130	0.0	-0.085	-0.090704	-0.005642	1160	546	3	2549
195	85.15566918	90	0.0	-0.085	0.010139	0.034632	791	618	3	2549
196	98.0994731623	90	0.0	-0.085	-0.016959	0.034168	908	640	3	2509
197	45.967499288	50	0.0	-0.085	0.083451	0.001318	418	535	3	2574
198	127.503366354	130	0.0	-0.085	-0.074637	0.012257	1060	585	3	2449
199	109.155905161	130	0.0	-0.085	-0.040236	0.030829	1006	592	3	2329
200	95.5179817958	90	0.0	-0.085	-0.011641	0.035500	934	650	3	2509
201	54.3033158124	50	0.0	-0.085	0.071125	0.013993	528	602	3	2569
202	62.4427853439	50	0.0	-0.085	0.056158	0.022616	628	637	3	2648
203	135.978690471	130	0.0	-0.085	-0.086657	-0.001254	1194	498	3	2450
204	96.9270410155	90	0.0	-0.085	-0.014841	0.037156	894	653	3	2629
205	138.965263259	130	0.0	-0.085	-0.091270	-0.005563	1224	460	3	2689
206	66.898705813	90	0.0	-0.085	0.048481	0.028655	598	632	3	2790
207	49.5017962183	50	0.0	-0.085	0.079825	0.008469	456	514	3	2468
262	131.636171826	130	0.0	-0.085	-0.081660	0.006859	1081	577	4	2550
263	53.5122572718	50	0.0	-0.085	0.072216	0.012638	567	605	4	2592
264	97.7077017834	90	0.0	-0.085	-0.016165	0.034438	806	650	4	3399
265	140.161015012	130	0.0	-0.085	-0.093899	-0.006658	1154	531	4	2630
266	90.5735764873	90	0.0	-0.085	-0.001214	0.036265	858	658	4	2589
267	40.8062075282	50	0.0	-0.085	0.091939	-0.005623	452	539	4	3206
268	95.031199366	90	0.0	-0.085	-0.010624	0.035676	851	662	4	2688
269	123.175778299	130	0.0	-0.085	-0.066095	0.016097	1062	609	4	2449
270	43.2636044011	50	0.0	-0.085	0.090524	0.000197	474	512	4	2689
