Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	130	526.933115824	118.898858075	-0.000327	-0.084625	528	395	0.0	-0.085	0	0	1	0	1
91	130	526.662316476	119.07177814	-0.000410	-0.084572	528	395	0.0	-0.085	0	0	1	0	21
91	130	526.169657423	119.672104405	-0.000561	-0.084388	528	395	0.0	-0.085	0	0	1	0	41
91	130	525.174551387	120.448613377	-0.000866	-0.084150	528	395	0.0	-0.085	0	0	1	0	61
91	130	524.358890701	120.96411093	-0.001116	-0.083992	528	395	0.0	-0.085	0	0	1	0	81
91	130	523.409461664	121.567699837	-0.001407	-0.083807	528	395	0.0	-0.085	0	0	1	0	101
91	130	522.730831974	121.998368679	-0.001615	-0.083675	528	395	0.0	-0.085	0	0	1	0	121
91	130	521.862969005	122.259380098	-0.001881	-0.083595	528	395	0.0	-0.085	0	0	1	0	141
91	130	520.590538336	122.781402936	-0.002271	-0.083435	528	395	0.0	-0.085	0	0	1	0	161
91	130	519.588907015	123.127243067	-0.002578	-0.083329	528	395	0.0	-0.085	0	0	1	0	181
91	130	518.900489396	123.13050571	-0.002789	-0.083328	528	395	0.0	-0.085	0	0	1	0	201
91	130	518.349102773	123.045676998	-0.002958	-0.083354	528	395	0.0	-0.085	0	0	1	0	221
91	130	517.836867863	122.791190865	-0.003115	-0.083432	528	395	0.0	-0.085	0	0	1	0	241
91	130	517.745513866	122.703099511	-0.003143	-0.083459	528	395	0.0	-0.085	0	0	1	0	261
91	130	517.513866232	122.706362153	-0.003214	-0.083458	528	395	0.0	-0.085	0	0	1	0	281
91	130	517.513866232	122.706362153	-0.003214	-0.083458	528	395	0.0	-0.085	0	0	1	0	301
91	130	517.513866232	122.706362153	-0.003214	-0.083458	528	395	0.0	-0.085	0	0	1	0	321
91	130	517.608482871	122.791190865	-0.003185	-0.083432	528	395	0.0	-0.085	0	0	1	0	341
91	130	517.608482871	122.791190865	-0.003185	-0.083432	528	395	0.0	-0.085	0	0	1	0	361
91	130	517.566068515	122.96411093	-0.003198	-0.083379	528	395	0.0	-0.085	0	0	1	0	381
91	130	517.471451876	122.879282219	-0.003227	-0.083405	528	395	0.0	-0.085	0	0	1	0	401
91	130	517.337683524	122.96411093	-0.003268	-0.083379	528	395	0.0	-0.085	0	0	1	0	421
91	130	517.200652529	123.052202284	-0.003310	-0.083352	528	395	0.0	-0.085	0	0	1	0	441
91	130	517.066884176	123.137030995	-0.003351	-0.083326	528	395	0.0	-0.085	0	0	1	0	461
91	130	516.890701468	123.398042414	-0.003405	-0.083246	528	395	0.0	-0.085	0	0	1	0	481
91	130	516.672104405	123.828711256	-0.003472	-0.083114	528	395	0.0	-0.085	0	0	1	0	501
91	130	515.911908646	124.608482871	-0.003705	-0.082875	528	395	0.0	-0.085	0	0	1	0	521
91	130	514.743882545	125.649265905	-0.004063	-0.082556	528	395	0.0	-0.085	0	0	1	0	541
91	130	513.484502447	126.605220228	-0.004449	-0.082263	528	395	0.0	-0.085	0	0	1	0	561
91	130	512.456769984	127.564437194	-0.004764	-0.081969	528	395	0.0	-0.085	0	0	1	0	581
91	130	510.887438825	128.86949429	-0.005245	-0.081569	528	395	0.0	-0.085	0	0	1	0	601
91	130	509.588907015	130.004893964	-0.005643	-0.081221	528	395	0.0	-0.085	0	0	1	0	621
91	130	508.022838499	131.316476346	-0.006123	-0.080819	528	395	0.0	-0.085	0	0	1	0	641
91	130	506.189233279	132.807504078	-0.006685	-0.080362	528	395	0.0	-0.085	0	0	1	0	661
91	130	504.182707993	134.55954323	-0.007300	-0.079825	528	395	0.0	-0.085	0	0	1	0	681
91	130	501.236541599	136.938009788	-0.008203	-0.079096	528	395	0.0	-0.085	0	0	1	0	701
91	130	497.086460033	140.122349103	-0.009475	-0.078120	528	395	0.0	-0.085	0	0	1	0	721
91	130	491.210440457	144.484502447	-0.011276	-0.076783	528	395	0.0	-0.085	0	0	1	0	741
91	130	484.587275693	149.23817292	-0.013306	-0.075326	528	395	0.0	-0.085	0	0	1	0	761
91	130	476.47634584	154.76182708	-0.015792	-0.073633	528	395	0.0	-0.085	0	0	1	0	781
91	130	467.774877651	160.611745514	-0.018459	-0.071840	528	395	0.0	-0.085	0	0	1	0	801
91	130	459.014681892	166.432300163	-0.021144	-0.070056	528	395	0.0	-0.085	0	0	1	0	821
91	130	449.787928222	172.053833605	-0.023972	-0.068333	528	395	0.0	-0.085	0	0	1	0	841
91	130	440.600326264	177.730831974	-0.026788	-0.066593	528	395	0.0	-0.085	0	0	1	0	861
91	130	431.22675367	183.469820555	-0.029661	-0.064834	528	395	0.0	-0.085	0	0	1	0	881
