Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	104.373511466	130	0.0	-0.085	-0.027381	0.021847	892	733	1	3853
74	112.033411908	90	0.0	-0.085	-0.041961	0.018683	960	716	1	2893
75	19.0198877686	50	0.0	-0.085	0.106537	-0.048275	292	444	1	3061
76	105.986612078	90	0.0	-0.085	-0.030765	0.022385	937	718	1	2852
77	125.373434632	130	0.0	-0.085	-0.063855	0.004941	1029	655	1	2788
78	22.3221429746	50	0.0	-0.085	0.104844	-0.041953	331	529	1	2624
79	71.858889535	50	0.0	-0.085	0.035230	0.022525	608	706	1	2686
80	89.3143933665	90	0.0	-0.085	0.001344	0.027312	754	742	1	2896
81	125.656718101	130	0.0	-0.085	-0.064938	0.005515	1005	691	1	2904
82	117.180504564	90	0.0	-0.085	-0.050836	0.013999	940	687	1	2589
83	16.9360802303	50	0.0	-0.085	0.108574	-0.051938	297	484	1	2674
84	150.840872876	130	0.0	-0.085	-0.098058	-0.030289	1163	590	1	2598
85	135.294058122	130	0.0	-0.085	-0.081275	-0.004555	1064	647	1	2752
86	111.377990514	90	0.0	-0.085	-0.040742	0.019079	929	707	1	2869
87	14.6260638661	50	0.0	-0.085	0.109654	-0.056384	315	457	1	2743
88	151.307064339	130	0.0	-0.085	-0.098534	-0.031070	1106	630	1	2598
89	41.5042012916	50	0.0	-0.085	0.083122	-0.011449	434	611	1	2944
90	110.124562837	90	0.0	-0.085	-0.038255	0.019398	886	723	1	3126
145	27.5665889398	50	0.0	-0.085	0.098480	-0.033589	407	594	2	2916
146	142.253690787	130	0.0	-0.085	-0.088504	-0.016482	1102	662	2	3168
147	131.582899156	90	0.0	-0.085	-0.075021	-0.000451	1040	701	2	3103
148	147.520291786	130	0.0	-0.085	-0.097073	-0.023206	1136	614	2	2726
149	35.8049302887	50	0.0	-0.085	0.090753	-0.019535	675	572	2	2640
150	116.542579188	90	0.0	-0.085	-0.049934	0.014966	1439	0	2	2410
151	4.18044317052	50	0.0	-0.085	0.110942	-0.076891	312	439	2	2577
152	146.660334786	90	0.0	-0.085	-0.092900	-0.023884	1034	680	2	2655
153	168.97097108	130	0.0	-0.085	-0.112685	-0.063037	1210	482	2	2759
154	135.574948371	130	0.0	-0.085	-0.080621	-0.005981	1018	704	2	2985
155	58.02827513	50	0.0	-0.085	0.060288	0.011587	559	661	2	3031
156	80.6767156881	90	0.0	-0.085	0.018230	0.026041	708	691	2	2827
157	53.1717915633	50	0.0	-0.085	0.068706	0.006747	553	680	2	2559
158	139.905440805	130	0.0	-0.085	-0.087833	-0.011052	1046	678	2	2509
159	133.875685257	90	0.0	-0.085	-0.078328	-0.003536	970	718	2	2409
