Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	45	526.923327896	118.468189233	-0.000330	-0.084757	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	1
187	45	526.652528548	118.641109299	-0.000413	-0.084704	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	21
187	45	525.918433931	118.814029364	-0.000638	-0.084651	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	41
187	45	525.053833605	119.07177814	-0.000903	-0.084572	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	61
187	45	523.72593801	119.33278956	-0.001310	-0.084492	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	81
187	45	522.535073409	119.505709625	-0.001675	-0.084439	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	101
187	45	521.24959217	119.597063622	-0.002069	-0.084411	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	121
187	45	520.143556281	119.427406199	-0.002408	-0.084463	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	141
187	45	519.171288744	119.172920065	-0.002706	-0.084541	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	161
187	45	518.159869494	119.091353997	-0.003016	-0.084566	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	181
187	45	516.822185971	118.924959217	-0.003426	-0.084617	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	201
187	45	515.902120718	118.92822186	-0.003708	-0.084616	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	221
187	45	514.890701468	118.849918434	-0.004018	-0.084640	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	241
187	45	514.104404568	118.768352365	-0.004259	-0.084665	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	261
187	45	513.32137031	118.686786297	-0.004499	-0.084690	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	281
187	45	512.727569331	118.774877651	-0.004681	-0.084663	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	301
187	45	512.267536705	118.778140294	-0.004822	-0.084662	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	321
187	45	511.902120718	118.866231648	-0.004934	-0.084635	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	341
187	45	511.673735726	118.86949429	-0.005004	-0.084634	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	361
187	45	511.579119086	118.784665579	-0.005033	-0.084660	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	381
187	45	511.484502447	118.696574225	-0.005062	-0.084687	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	401
187	45	511.484502447	118.696574225	-0.005062	-0.084687	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	421
187	45	511.484502447	118.696574225	-0.005062	-0.084687	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	441
187	45	511.484502447	118.696574225	-0.005062	-0.084687	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	461
187	45	511.484502447	118.696574225	-0.005062	-0.084687	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	481
187	45	511.484502447	118.696574225	-0.005062	-0.084687	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	501
187	45	511.484502447	118.696574225	-0.005062	-0.084687	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	521
187	45	511.484502447	118.696574225	-0.005062	-0.084687	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	541
187	45	511.579119086	118.784665579	-0.005033	-0.084660	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	561
187	45	511.902120718	118.866231648	-0.004934	-0.084635	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	581
187	45	512.185970636	119.123980424	-0.004847	-0.084556	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	601
187	45	512.978792822	119.632952692	-0.004604	-0.084400	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	622
187	45	514.097879282	120.22675367	-0.004261	-0.084218	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	641
187	45	515.592169657	121.16639478	-0.003803	-0.083930	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	661
187	45	517.275693312	122.275693312	-0.003287	-0.083590	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	681
187	45	519.275693312	123.473083197	-0.002674	-0.083223	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	701
187	45	521.422512235	125.019575856	-0.002016	-0.082749	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	721
187	45	523.885807504	126.650897227	-0.001261	-0.082249	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	741
187	45	526.668841762	128.376835237	-0.000408	-0.081720	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	761
187	45	529.634584013	130.282218597	0.000501	-0.081136	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	781
187	45	532.54812398	132.363784666	0.001394	-0.080498	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	801
187	45	535.686786297	134.455138662	0.002356	-0.079857	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	821
187	45	538.639477977	136.810766721	0.003261	-0.079135	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	841
187	45	541.722675367	139.091353997	0.004206	-0.078436	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	861
187	45	545.024469821	141.378466558	0.005218	-0.077735	528	395	0.0	-0.085	0.0848528137424	-0.000147186257614	1	0	881
