trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	29.528	50	0	0	10.64	6.0268	11.259	3.7787	1	3555	1
92	170	130	0	0	-11.988	2.1136	-10.25	5.126	1	2769	1
93	91.385	90	0	0	-0.2904	12.007	-0.9607	11.547	1	2903	1
94	96.528	130	0	0	-1.3731	11.999	-2.9377	11.719	1	2990	1
95	126.53	90	0	0	-7.2226	9.7513	-5.1291	11.289	1	3218	1
96	55.009	50	0	0	7.0022	10.004	6.6615	9.598	1	2928	1
97	13.083	50	0	0	11.814	2.7455	10.473	4.2373	1	2968	1
98	167.09	130	0	0	-11.707	2.6834	-9.9883	4.5527	1	4968	1
99	94.148	90	0	0	-0.8697	11.993	-1.2942	11.891	1	3189	1
100	15.851	50	0	0	11.666	3.3125	10.925	4.008	1	3025	1
101	141	130	0	0	-9.3637	7.5838	-7.3681	8.5087	1	2949	1
102	138.76	90	0	0	-9.1094	7.9871	-5.0815	9.9707	1	2971	1
103	44.458	90	0	0	8.5939	8.4328	5.1609	10.143	1	3029	1
104	139.03	130	0	0	-9.159	7.9542	-7.7254	8.824	1	3149	1
105	12.321	50	0	0	11.955	2.6113	10.782	4.2947	1	2788	1
106	71.162	50	0	0	3.93	11.519	4.9465	10.515	1	3049	1
107	85.025	130	0	0	1.0501	12.064	-2.2946	11.117	1	5335	1
108	129.44	90	0	0	-7.6959	9.3556	-4.1049	10.143	1	3223	1
235	174.19	130	0	0	-11.975	1.218	-10.084	4.6673	2	3118	1
236	62.68	50	0	0	5.5635	10.77	4.1843	10.974	2	3069	1
237	58.156	90	0	0	6.5273	10.509	4.9703	10.286	2	3163	1
238	46.535	50	0	0	8.4795	8.9465	8.2812	7.6773	2	3405	1
239	175.99	130	0	0	-12.018	0.8435	-9.4881	4.7247	2	2895	1
240	90.114	90	0	0	-0.0242	12.113	-0.17466	10.802	2	3479	1
241	92.323	130	0	0	-0.4971	12.252	-2.509	10.659	2	3008	1
242	91.56	50	0	0	-0.3283	12.056	1.8024	12.063	2	2993	1
243	95.459	90	0	0	-1.1668	12.209	-0.36521	11.662	2	2990	1
244	95.588	130	0	0	-1.172	11.979	-2.4375	11.605	2	2990	1
245	134.64	90	0	0	-8.5742	8.6833	-5.272	11.146	2	2974	1
246	49.23	50	0	0	8.0686	9.3576	7.4714	8.824	2	2789	1
247	90.502	130	0	0	-0.1074	12.253	-2.2946	11.977	2	3609	1
248	140.01	90	0	0	-9.3166	7.8146	-5.01	10.343	2	3109	1
249	10.357	50	0	0	12.139	2.2185	10.52	3.922	2	4230	1
250	95.087	90	0	0	-1.0784	12.113	-0.1032	11.547	2	3169	1
251	176.52	130	0	0	-12.161	0.74	-9.8454	4.4667	2	4065	1
252	25.613	50	0	0	10.89	5.2206	10.496	4.352	2	3439	1
379	170.99	130	0	0	-12.075	1.9154	-9.9406	4.7533	3	3147	1
380	93.382	90	0	0	-0.7172	12.137	-0.15084	11.318	3	2910	1
381	15.53	50	0	0	11.848	3.2924	10.544	4.2087	3	2789	1
382	97.431	90	0	0	-1.5668	12.014	-0.26993	11.633	3	2934	1
383	99.599	50	0	0	-2.0268	11.985	2.1835	11.576	3	2990	1
384	111.32	130	0	0	-4.3714	11.202	-2.3184	11.289	3	2840	1
385	178.34	130	0	0	-12.01	0.3484	-9.9168	4.4667	3	2689	1
386	92.099	90	0	0	-0.4434	12.096	-0.031739	11.261	3	4509	1
387	13.921	50	0	0	11.72	2.905	10.568	3.7787	3	2949	1
388	177.05	130	0	0	-12.007	0.6192	-10.131	4.8967	3	2689	1
389	85.544	90	0	0	0.9506	12.198	0.25409	11.232	3	2909	1
390	23.18	50	0	0	11.054	4.7332	10.187	3.8073	3	2869	1
391	72.674	50	0	0	3.5769	11.466	4.2796	10.63	3	2729	1
392	97.003	130	0	0	-1.4795	12.044	-2.1279	10.888	3	3129	1
393	134.96	90	0	0	-8.5255	8.5379	-5.5579	10.831	3	2969	1
394	133.64	130	0	0	-8.2902	8.6927	-7.2729	7.62	3	3053	1
395	53.364	90	0	0	7.2644	9.7686	4.6607	10.057	3	2749	1
396	99.035	50	0	0	-1.9025	11.965	2.4455	11.203	3	2669	1
523	99.44	130	0	0	-1.9856	11.942	-2.104	11.404	4	3190	1
524	119.32	50	0	0	-5.985	10.656	1.6118	11.662	4	2629	0
525	101.26	90	0	0	-2.4277	12.191	-0.079378	12.092	4	2728	1
526	179.37	130	0	0	-12.069	0.1329	-9.4881	4.1227	4	3765	1
527	49.605	90	0	0	7.8639	9.2417	4.7798	9.2827	4	2880	0
528	111.72	50	0	0	-4.4441	11.159	2.374	10.917	4	2849	0
529	83.605	90	0	0	1.3768	12.284	-0.38903	10.659	4	2789	1
530	175.54	130	0	0	-12.098	0.9446	-8.964	4.8107	4	2830	1
531	38.153	50	0	0	9.6762	7.6016	10.139	5.0113	4	2529	1
532	139.1	130	0	0	-9.1669	7.9401	-6.2724	7.362	4	3562	0
533	137.48	90	0	0	-8.9413	8.1998	-5.01	10.028	4	3068	1
534	14.377	50	0	0	11.64	2.9836	10.735	3.578	4	2709	1
535	135.83	90	0	0	-8.6708	8.4246	-4.3669	10.343	4	2929	1
536	83.142	130	0	0	1.4441	12.007	-1.3656	10.028	4	3772	0
537	56.069	50	0	0	6.7613	10.05	7.4952	8.738	4	2929	1
538	101.4	50	0	0	-2.3976	11.892	2.3026	11.089	4	3629	1
539	175.72	130	0	0	-12.136	0.9084	-8.7497	3.664	4	3144	1
540	91.899	90	0	0	-0.3989	12.03	-0.53195	10.831	4	3289	1
