trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	152.09	130	0	0	-10.714	5.6757	-9.8454	7.1167	1	3069	1
92	47.981	50	0	0	8.0633	8.9491	9.0673	7.8333	1	3288	1
93	106.29	90	0	0	-3.3811	11.57	1.064	12.219	1	4129	1
94	150.49	130	0	0	-10.471	5.9265	-8.178	9.668	1	3049	1
95	99.136	90	0	0	-1.939	12.057	-0.26993	11.99	1	2969	1
96	55.694	50	0	0	6.7857	9.9454	6.5424	9.582	1	3116	1
97	113.71	90	0	0	-4.8427	11.029	-0.50813	12.477	1	3069	1
98	44.604	50	0	0	8.5867	8.4689	8.8291	7.8333	1	2926	1
99	143.01	130	0	0	-9.6509	7.2705	-7.1299	10.327	1	3169	1
100	100.14	90	0	0	-2.1166	11.836	0.39701	12.649	1	3109	1
101	144.34	130	0	0	-9.8461	7.0638	-7.1299	9.152	1	3269	1
102	65.41	50	0	0	5.0609	11.059	6.5662	9.926	1	3224	1
103	101.63	90	0	0	-2.4381	11.845	2.7551	11.99	1	3406	1
104	148.75	130	0	0	-10.41	6.3171	-8.2256	8.3207	1	3089	1
105	63.552	50	0	0	5.4475	10.951	6.6853	10.528	1	3120	1
106	98.215	90	0	0	-1.7355	12.021	-0.12702	12.191	1	2969	1
107	149.77	130	0	0	-10.419	6.0722	-8.5591	7.776	1	3028	1
108	65.098	50	0	0	5.1289	11.048	6.995	10.184	1	2903	1
235	150.33	130	0	0	-10.484	5.9728	-7.7492	8.7793	2	4477	1
236	67.426	50	0	0	4.6617	11.213	7.2094	9.7827	2	3009	1
237	110.4	90	0	0	-4.2024	11.302	-0.17466	11.933	2	2989	1
238	109.98	90	0	0	-4.1575	11.437	1.064	12.305	2	2972	1
239	65.319	50	0	0	5.0967	11.091	7.1856	9.2667	2	3070	1
240	142.95	130	0	0	-9.6456	7.2819	-8.2971	9.0947	2	3149	1
241	62.016	50	0	0	5.7162	10.758	7.4237	9.6967	2	3324	1
242	112.66	90	0	0	-4.689	11.231	0.73048	12.105	2	3038	1
243	154.12	130	0	0	-10.839	5.2592	-7.0347	9.8973	2	3029	1
244	67.073	50	0	0	4.7036	11.12	7.1856	9.3527	2	2956	1
245	68.473	90	0	0	4.4368	11.248	5.2324	11.417	2	4520	1
246	133.63	130	0	0	-8.3253	8.7343	-4.9624	11.617	2	3019	1
247	106.44	90	0	0	-3.4262	11.608	1.3974	12.076	2	3149	1
248	63.95	50	0	0	5.3358	10.916	8.9958	7.5467	2	3196	1
249	150.87	130	0	0	-10.564	5.8878	-7.3919	9.0373	2	3240	1
250	58.096	50	0	0	6.4003	10.281	6.6853	8.8367	2	3450	1
251	147.91	130	0	0	-10.237	6.4185	-7.0585	10.184	2	3023	1
252	121.34	90	0	0	-6.3229	10.384	-0.8416	12.506	2	2969	1
379	71.799	50	0	0	3.7813	11.5	7.3047	10.127	3	4384	1
380	115.62	90	0	0	-5.2592	10.967	-0.2223	12.535	3	2829	1
381	154.62	130	0	0	-11.001	5.2179	-7.4158	9.754	3	2884	1
382	75.283	50	0	0	3.066	11.673	7.1141	9.8687	3	3149	1
383	113.95	90	0	0	-4.9307	11.1	-0.60341	12.363	3	2789	1
384	150.8	130	0	0	-10.538	5.8897	-7.2014	9.2953	3	2889	1
385	70.274	50	0	0	4.1139	11.473	7.4476	8.8653	3	2929	1
386	112.6	90	0	0	-4.6928	11.273	-0.62723	11.933	3	2889	1
387	154.77	130	0	0	-10.958	5.1644	-7.511	9.2953	3	2969	1
388	131.48	130	0	0	-8.0055	9.0537	-2.6042	11.589	3	3569	1
389	67.904	50	0	0	4.5263	11.149	6.3042	9.7827	3	3168	1
390	100.68	90	0	0	-2.2364	11.863	1.0163	11.646	3	3090	1
391	156.69	130	0	0	-11.091	4.7796	-6.2963	10.413	3	3110	1
392	65.677	50	0	0	4.9634	10.981	8.4718	7.8907	3	3739	1
393	114.09	90	0	0	-4.918	10.999	1.4689	11.703	3	3149	1
394	161.95	130	0	0	-11.51	3.7518	-7.4634	9.6393	3	3029	1
395	65.441	50	0	0	5.0094	10.962	9.1387	8.4353	3	3105	1
396	102.29	90	0	0	-2.5558	11.727	3.4221	11.675	3	3313	1
523	119.44	90	0	0	-5.928	10.504	0.63521	11.617	4	3760	1
524	160.47	130	0	0	-11.44	4.0585	-6.6774	10.098	4	2689	1
525	73.756	50	0	0	3.3871	11.625	8.3051	9.5247	4	2929	1
526	110.56	90	0	0	-4.2531	11.341	1.2545	12.076	4	3049	1
527	79.026	50	0	0	2.3045	11.885	7.3285	9.582	4	3313	1
528	154.02	130	0	0	-10.918	5.3214	-6.7488	10.27	4	3029	1
529	123.45	90	0	0	-6.7229	10.175	1.2783	12.764	4	2929	1
530	160.53	130	0	0	-11.547	4.0819	-7.1299	10.27	4	2789	1
531	79.58	50	0	0	2.1842	11.877	7.4952	9.926	4	3089	1
532	119.27	90	0	0	-5.918	10.56	1.7309	12.191	4	3129	1
533	70.972	50	0	0	3.9453	11.44	7.4714	8.8653	4	3429	1
534	157.83	130	0	0	-11.138	4.5391	-6.7488	10.671	4	2889	1
535	117.38	90	0	0	-5.5472	10.711	0.94486	12.678	4	3129	1
536	72.814	50	0	0	3.5617	11.516	7.3999	9.7827	4	3269	1
537	153.08	130	0	0	-10.792	5.4797	-6.8441	10.671	4	3089	1
538	162.2	130	0	0	-11.431	3.6709	-6.3915	10.585	4	2949	1
539	123.71	90	0	0	-6.733	10.091	1.6118	12.449	4	2969	1
540	66.253	50	0	0	4.9108	11.162	6.9712	9.0947	4	3010	1
