trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	37.902	50	0	0	9.7506	7.5913	9.9486	6.3207	1	4957	1
47	138.12	130	0	0	-9.2025	8.2514	-9.226	6.1487	1	2911	1
48	105.26	90	0	0	-3.2418	11.882	-3.1044	10.42	1	3050	1
49	148.26	130	0	0	-10.212	6.3166	-10.488	4.3427	1	3148	1
50	46.308	50	0	0	8.7237	9.1314	7.1141	8.614	1	3367	1
51	106.9	90	0	0	-3.5612	11.722	-3.9381	10.592	1	2847	1
52	82.411	90	0	0	1.6072	12.063	3.0648	10.821	1	2631	1
53	87.529	50	0	0	0.5394	12.499	3.8747	10.019	1	2972	1
54	145.74	130	0	0	-10.021	6.8254	-10.369	5.5753	1	2969	1
55	50.325	50	0	0	7.8914	9.5138	9.5199	6.4067	1	3395	1
56	84.032	90	0	0	1.2592	12.045	3.3983	11.825	1	4249	1
57	141.09	130	0	0	-9.3746	7.5671	-9.8454	6.0627	1	3487	1
58	107.19	90	0	0	-3.6111	11.673	-3.7476	10.219	1	3007	1
59	113.59	130	0	0	-5.0368	11.535	-3.5808	10.305	1	3269	1
60	32.324	50	0	0	10.269	6.498	10.758	3.8267	1	3483	1
61	116.84	90	0	0	-5.4316	10.733	-3.9858	9.56	1	3397	1
62	136.73	130	0	0	-9.1366	8.5994	-8.1304	7.3813	1	3615	1
63	76.54	50	0	0	2.8775	12.022	3.827	10.678	1	4491	1
118	42.175	50	0	0	9.0029	8.1561	8.4956	7.7253	2	3642	1
119	114.46	90	0	0	-4.9683	10.924	-3.8667	11.481	2	2883	1
120	164.76	130	0	0	-11.609	3.1628	-10.798	4.142	2	2733	1
121	144.01	130	0	0	-9.7602	7.0873	-10.226	5.2887	2	3005	1
122	52.835	50	0	0	7.4606	9.8416	8.2098	6.5213	2	2938	1
123	114.83	90	0	0	-5.1605	11.153	-4.8194	11.395	2	3541	1
124	103.51	90	0	0	-2.8605	11.908	-1.2704	12.169	2	3748	1
125	123.65	130	0	0	-6.7552	10.147	-5.6055	10.162	2	3633	1
126	73.363	50	0	0	3.4967	11.702	4.1128	11.309	2	3795	1
127	90.054	90	0	0	-0.0117	12.441	2.2073	11.853	2	3029	1
128	80.632	50	0	0	1.97	11.941	4.089	10.42	2	3508	1
129	123.51	130	0	0	-6.6972	10.116	-4.9624	11.28	2	2489	1
130	105.01	130	0	0	-3.1599	11.787	-2.104	11.796	2	2495	1
131	63.907	50	0	0	5.3674	10.96	6.3281	9.7893	2	2704	1
132	111.59	90	0	0	-4.495	11.361	-4.1049	11.452	2	2558	1
133	53.086	50	0	0	7.4876	9.9676	9.7819	6.894	2	2888	1
134	105.37	90	0	0	-3.2475	11.818	-2.0564	11.853	2	3648	1
135	120.06	130	0	0	-6.1855	10.688	-4.4383	10.936	2	2712	1
190	75.852	90	0	0	2.9928	11.872	3.4935	11.796	3	3817	1
191	74.078	50	0	0	3.3097	11.602	4.4463	11.939	3	2727	1
192	122.16	130	0	0	-6.5966	10.491	-6.3677	12.025	3	2543	1
193	152.44	130	0	0	-11.118	5.8026	-12.18	-8.5	3	2429	0
194	38.051	50	0	0	9.84	7.7019	10.997	5.9193	3	2688	1
195	108.05	90	0	0	-3.8114	11.695	-3.7238	11.825	3	2593	1
196	85.669	90	0	0	0.9111	12.03	3.3744	12.656	3	2580	1
197	141.79	130	0	0	-9.6887	7.6278	-9.7024	6.5213	3	2669	1
198	64.817	50	0	0	5.1415	10.934	7.6143	9.732	3	2623	1
199	116.92	90	0	0	-5.5538	10.938	-4.2001	10.42	3	3173	1
200	41.746	50	0	0	9.3489	8.343	9.9248	7.2667	3	3092	1
201	136.27	130	0	0	-9.0095	8.6187	-8.9164	7.0947	3	2509	1
202	115.22	90	0	0	-5.1338	10.902	-6.0342	11.28	3	2449	1
203	33.649	50	0	0	10.418	6.9343	11.235	5.8333	3	2800	1
204	122.89	130	0	0	-6.6391	10.268	-5.3673	11.051	3	2690	1
205	147.78	130	0	0	-10.454	6.5893	-9.4404	6.55	3	2269	1
206	81.707	50	0	0	1.7761	12.184	4.0414	11.796	3	3334	1
207	124.46	90	0	0	-6.932	10.1	-6.0104	10.363	3	2727	1
262	130.94	130	0	0	-7.9371	9.151	-9.7024	8.27	4	2872	1
263	79.671	90	0	0	2.2066	12.108	2.1358	12.455	4	2568	1
264	82.236	50	0	0	1.647	12.08	2.5646	11.194	4	2629	1
265	71.976	90	0	0	3.7294	11.462	3.7317	11.882	4	2743	1
266	146.66	130	0	0	-10.391	6.837	-10.512	4.142	4	2409	1
