Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
73	50	527.070146819	118.814029364	-0.000285	-0.084651	528	395	0.0	-0.085	0	0	1	0	20
73	50	526.796084829	118.983686786	-0.000369	-0.084599	528	395	0.0	-0.085	0	0	1	0	24
73	50	526.525285481	119.156606852	-0.000452	-0.084546	528	395	0.0	-0.085	0	0	1	0	41
73	50	526.159869494	119.241435563	-0.000564	-0.084520	528	395	0.0	-0.085	0	0	1	0	61
73	50	525.794453507	119.329526917	-0.000676	-0.084493	528	395	0.0	-0.085	0	0	1	0	81
73	50	525.562805873	119.329526917	-0.000747	-0.084493	528	395	0.0	-0.085	0	0	1	0	101
73	50	525.752039152	119.502446982	-0.000689	-0.084440	528	395	0.0	-0.085	0	0	1	0	121
73	50	526.398042414	119.672104405	-0.000491	-0.084388	528	395	0.0	-0.085	0	0	1	0	141
73	50	527.836867863	120.360522023	-0.000050	-0.084177	528	395	0.0	-0.085	0	0	1	0	161
73	50	529.879282219	121.391517129	0.000576	-0.083861	528	395	0.0	-0.085	0	0	1	0	181
73	50	533.301794454	122.859706362	0.001625	-0.083411	528	395	0.0	-0.085	0	0	1	0	201
73	50	538.381729201	125.032626427	0.003182	-0.082745	528	395	0.0	-0.085	0	0	1	0	221
73	50	544.659053834	128.347471452	0.005106	-0.081729	528	395	0.0	-0.085	0	0	1	0	241
73	50	552.884176183	132.48776509	0.007627	-0.080460	528	395	0.0	-0.085	0	0	1	0	261
73	50	562.861337684	137.740619902	0.010685	-0.078850	528	395	0.0	-0.085	0	0	1	0	281
73	50	574.740619902	143.874388254	0.014326	-0.076970	528	395	0.0	-0.085	0	0	1	0	301
73	50	588.13050571	151.006525285	0.018430	-0.074784	528	395	0.0	-0.085	0	0	1	0	321
73	50	603.034257749	159.446982055	0.022998	-0.072197	528	395	0.0	-0.085	0	0	1	0	341
73	50	619.194127243	168.787928222	0.027951	-0.069334	528	395	0.0	-0.085	0	0	1	0	361
73	50	636.482871126	178.970636215	0.033250	-0.066213	528	395	0.0	-0.085	0	0	1	0	381
73	50	654.756933116	190.39314845	0.038851	-0.062712	528	395	0.0	-0.085	0	0	1	0	401
73	50	673.800978793	202.902120718	0.044688	-0.058878	528	395	0.0	-0.085	0	0	1	0	421
73	50	692.796084829	216.115823817	0.050510	-0.054828	528	395	0.0	-0.085	0	0	1	0	441
73	50	711.696574225	229.769983687	0.056303	-0.050643	528	395	0.0	-0.085	0	0	1	0	461
73	50	729.944535073	243.159869494	0.061896	-0.046539	528	395	0.0	-0.085	0	0	1	0	481
73	50	746.783034258	256.569331158	0.067057	-0.042429	528	395	0.0	-0.085	0	0	1	0	501
73	50	761.938009788	269.841761827	0.071702	-0.038361	528	395	0.0	-0.085	0	0	1	0	521
73	50	775.08319739	282.706362153	0.075731	-0.034418	528	395	0.0	-0.085	0	0	1	0	541
73	50	786.60685155	295.07177814	0.079263	-0.030628	528	395	0.0	-0.085	0	0	1	0	561
73	50	796.264274062	306.771615008	0.082223	-0.027042	528	395	0.0	-0.085	0	0	1	0	581
73	50	804.091353997	317.776508972	0.084622	-0.023669	528	395	0.0	-0.085	0	0	1	0	601
73	50	810.831973899	327.365415987	0.086688	-0.020730	528	395	0.0	-0.085	0	0	1	0	621
73	50	816.587275693	335.91680261	0.088452	-0.018109	528	395	0.0	-0.085	0	0	1	0	641
73	50	821.458401305	343.225122349	0.089945	-0.015869	528	395	0.0	-0.085	0	0	1	0	661
73	50	825.259380098	349.244698206	0.091110	-0.014024	528	395	0.0	-0.085	0.091110	-0.014024	1	0	1428
74	130	525.079934747	114.272430669	-0.000895	-0.086043	528	395	0.0	-0.085	0	0	1	0	19
74	130	524.610114192	113.760195759	-0.001039	-0.086200	528	395	0.0	-0.085	0	0	1	0	23
74	130	523.207177814	112.990212072	-0.001469	-0.086436	528	395	0.0	-0.085	0	0	1	0	41
74	130	520.965742251	111.799347471	-0.002156	-0.086801	528	395	0.0	-0.085	0	0	1	0	61
74	130	518.394779772	110.526916803	-0.002944	-0.087191	528	395	0.0	-0.085	0	0	1	0	81
74	130	515.768352365	109.003262643	-0.003749	-0.087658	528	395	0.0	-0.085	0	0	1	0	101
74	130	512.920065253	107.913539967	-0.004622	-0.087992	528	395	0.0	-0.085	0	0	1	0	121
74	130	509.308319739	107.597063622	-0.005729	-0.088089	528	395	0.0	-0.085	0	0	1	0	141
74	130	506.212071778	107.538336052	-0.006678	-0.088107	528	395	0.0	-0.085	0	0	1	0	161
74	130	502.779771615	108.422512235	-0.007730	-0.087836	528	395	0.0	-0.085	0	0	1	0	181
74	130	498.711256117	109.577487765	-0.008977	-0.087482	528	395	0.0	-0.085	0	0	1	0	201
74	130	494.215334421	111.600326264	-0.010355	-0.086862	528	395	0.0	-0.085	0	0	1	0	221
74	130	488.473083197	114.5954323	-0.012115	-0.085944	528	395	0.0	-0.085	0	0	1	0	241
74	130	481.804241436	118.22675367	-0.014159	-0.084831	528	395	0.0	-0.085	0	0	1	0	261
74	130	473.967373573	123.120717781	-0.016561	-0.083331	528	395	0.0	-0.085	0	0	1	0	281
74	130	464.649265905	129.218597064	-0.019417	-0.081462	528	395	0.0	-0.085	0	0	1	0	301
74	130	454.068515498	136.719412724	-0.022660	-0.079163	528	395	0.0	-0.085	0	0	1	0	321
74	130	442.078303426	145.929853181	-0.026335	-0.076340	528	395	0.0	-0.085	0	0	1	0	341
74	130	429.109298532	156.621533442	-0.030310	-0.073063	528	395	0.0	-0.085	0	0	1	0	361
74	130	416.460032626	168.066884176	-0.034187	-0.069555	528	395	0.0	-0.085	0	0	1	0	381
74	130	402.975530179	180.513866232	-0.038320	-0.065740	528	395	0.0	-0.085	0	0	1	0	401
74	130	389.611745514	193.760195759	-0.042416	-0.061680	528	395	0.0	-0.085	0	0	1	0	421
74	130	375.712887439	207.864600326	-0.046676	-0.057357	528	395	0.0	-0.085	0	0	1	0	441
