trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	80.56	50	0	0	2.0077	12.075	4.1367	11.767	1	5939	1
92	115.11	90	0	0	-5.2288	11.156	-3.2712	11.825	1	4241	1
93	131.1	130	0	0	-7.9548	9.119	-5.4149	12.025	1	5569	1
94	145.73	130	0	0	-10.048	6.8474	-10.084	6.9513	1	4589	1
95	105.61	90	0	0	-3.2303	11.565	-1.1751	11.739	1	3383	1
96	89.329	50	0	0	0.1435	12.259	6.1375	11.653	1	5549	1
97	84.049	50	0	0	1.2617	12.104	4.494	12.627	1	3825	1
98	112.62	90	0	0	-4.7179	11.32	-0.055559	13.659	1	3748	0
99	141.07	130	0	0	-9.6003	7.7548	-5.7008	11.051	1	3812	1
100	145.49	130	0	0	-10	6.8762	-8.2733	9.9327	1	4209	1
101	125.63	90	0	0	-7.2015	10.048	-4.3907	10.764	1	3916	1
102	100.55	50	0	0	-2.2768	12.224	2.9457	12.713	1	3304	1
103	131.23	90	0	0	-7.9286	9.0473	-4.486	11.481	1	4718	1
104	52.827	50	0	0	7.5942	10.015	7.6858	9.5313	1	4609	1
105	126.21	130	0	0	-7.1052	9.7036	-5.4864	12.14	1	2456	1
106	87.01	50	0	0	0.6323	12.104	5.3276	10.42	1	2878	1
107	139.1	130	0	0	-9.3018	8.057	-9.5833	7.2667	1	3824	1
108	64.598	90	0	0	5.3657	11.299	7.257	9.5887	1	3310	1
235	113.56	90	0	0	-4.8385	11.096	-4.9624	10.047	2	3732	1
236	68.552	50	0	0	4.4069	11.217	6.066	9.904	2	2914	1
237	140.99	130	0	0	-9.401	7.6165	-8.9402	7.1233	2	2849	1
238	81.123	90	0	0	1.8686	11.964	6.4948	9.732	2	3110	1
239	73.886	50	0	0	3.3429	11.571	2.8266	11.968	2	4489	1
240	136.17	130	0	0	-8.8976	8.5415	-6.1295	10.133	2	2842	1
241	135.54	130	0	0	-8.5709	8.4113	-5.6531	9.7033	2	3284	1
242	126.24	90	0	0	-7.2484	9.8894	-4.3907	12.484	2	3398	1
243	80.356	50	0	0	2.0361	11.982	3.3268	11.309	2	4209	1
244	62.174	50	0	0	5.6957	10.791	8.8767	7.6107	2	4408	1
245	109.38	90	0	0	-4.0965	11.649	1.0401	11.882	2	3225	1
246	141.22	130	0	0	-9.5123	7.6416	-6.8203	9.3307	2	3039	1
247	136.96	130	0	0	-8.8622	8.275	-8.3447	7.582	2	2769	1
248	102.47	90	0	0	-2.6516	11.993	-0.15084	11.653	2	2705	1
249	70.814	50	0	0	3.9505	11.353	7.1141	8.9867	2	2751	1
250	85.58	50	0	0	0.9269	11.991	1.7071	12.169	2	2963	1
251	97.101	90	0	0	-1.5088	12.113	-1.318	12.083	2	3325	1
252	132.43	130	0	0	-8.1037	8.8642	-6.6535	10.506	2	3129	1
379	77.509	50	0	0	2.6264	11.856	5.8993	9.732	3	3182	1
380	113.37	90	0	0	-5.0381	11.657	-5.0815	10.076	3	2469	1
381	124.03	130	0	0	-6.8285	10.111	-4.1525	10.936	3	2759	1
382	135.18	130	0	0	-8.8044	8.7482	-7.1061	9.5027	3	2585	1
383	108.26	90	0	0	-3.7647	11.412	-0.24611	11.481	3	3149	1
384	87.986	50	0	0	0.4349	12.365	3.6126	11.567	3	2689	1
385	130.57	130	0	0	-7.8859	9.2101	-8.5115	6.6933	3	2449	0
386	110.32	90	0	0	-4.2921	11.591	-0.65105	11.796	3	2787	1
387	74.74	50	0	0	3.2963	12.082	3.3506	10.506	3	2788	1
388	112.48	90	0	0	-4.6279	11.182	-1.056	11.595	3	2763	1
389	128.43	130	0	0	-7.8153	9.8496	-5.9628	9.99	3	3710	1
390	86.232	50	0	0	0.8124	12.336	2.1835	11.882	3	3714	1
391	105.21	90	0	0	-3.2455	11.934	1.1116	11.165	3	2810	1
392	150.08	130	0	0	-10.613	6.1084	-10.322	4.83	3	5489	1
393	88.917	50	0	0	0.2309	12.214	5.3515	9.9327	3	2918	1
394	117.3	90	0	0	-5.5088	10.673	-2.9139	11.509	3	2189	1
395	41.351	50	0	0	9.0111	7.9307	10.878	3.54	3	2692	1
396	117.43	130	0	0	-5.6006	10.792	-3.2474	10.707	3	2689	1
523	144.83	130	0	0	-10.129	7.1365	-8.2971	7.7253	4	3094	1
524	82.359	50	0	0	1.6246	12.109	6.8759	7.9833	4	2629	0
525	117.27	90	0	0	-5.6034	10.872	-1.318	11.452	4	2585	1
526	88.091	50	0	0	0.4072	12.215	5.9231	9.5887	4	2855	1
527	143.4	130	0	0	-9.7786	7.2621	-7.5349	9.4453	4	2729	1
528	94.335	90	0	0	-0.9159	12.081	5.9946	10.162	4	3583	0
529	127.27	130	0	0	-7.2714	9.5561	-3.8429	11.624	4	3169	1
530	115.7	90	0	0	-5.2503	10.908	-3.7476	10.993	4	2749	1
531	88.335	50	0	0	0.3519	12.105	5.3276	9.3593	4	2681	1
532	76.311	90	0	0	2.8516	11.708	7.2808	8.356	4	2908	1
533	98.13	50	0	0	-1.7224	12.057	3.3744	11.165	4	2656	1
534	121.2	130	0	0	-6.3057	10.411	-2.8186	10.219	4	2669	1
535	140.98	130	0	0	-9.4113	7.6271	-10.989	7.1807	4	3029	1
536	80.883	50	0	0	1.9196	11.962	4.2319	11.165	4	2449	1
537	109.03	90	0	0	-3.9651	11.499	-0.7225	12.226	4	2509	1
538	77.178	50	0	0	2.6664	11.716	9.5675	6.98	4	2820	0
539	132.27	130	0	0	-8.1098	8.9208	-5.1529	10.277	4	2962	1
540	108.24	90	0	0	-3.8564	11.701	-1.5324	10.477	4	2549	1
