trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	53.905	50	0	0	6.7403	9.245	8.6624	8.0213	1	2288	1
140	143.66	130	0	0	-9.4523	6.9525	-9.8215	7.3047	1	2349	1
141	99.72	90	0	0	-1.9052	11.122	-0.26993	12.551	1	2354	1
142	46.017	50	0	0	8.0779	8.3698	9.8533	7.2187	1	2349	1
143	78.781	90	0	0	2.2305	11.245	4.494	12.207	1	2369	1
144	158.57	130	0	0	-10.441	4.0979	-10.274	6.158	1	2349	1
145	66.72	50	0	0	4.4901	10.436	6.6377	10.458	1	2409	1
146	122.2	90	0	0	-5.9379	9.4279	-3.5808	12.751	1	2329	0
147	142.8	130	0	0	-9.0781	6.8914	-9.1069	8.824	1	2389	1
148	129.45	130	0	0	-7.1391	8.6763	-5.7246	11.232	1	2349	1
149	74.442	90	0	0	3.0894	11.096	4.6607	11.404	1	2429	1
150	67.813	50	0	0	4.296	10.534	6.0184	11.146	1	2429	1
151	83.726	90	0	0	1.2449	11.324	2.8981	11.576	1	2429	1
152	55.308	50	0	0	6.5899	9.5199	8.6147	9.2827	1	2429	1
153	144.58	130	0	0	-9.287	6.6054	-9.3451	8.1647	1	2369	1
154	71.966	50	0	0	3.5458	10.891	5.2562	11.404	1	2289	1
155	82.811	90	0	0	1.4174	11.238	4.3272	11.576	1	2324	1
156	148.69	130	0	0	-10.072	6.1262	-8.44	8.1647	1	2329	1
283	73.275	50	0	0	3.3578	11.174	4.4225	11.863	2	2329	1
284	135.87	130	0	0	-8.1251	7.8822	-7.4396	9.6267	2	2270	1
285	84.044	90	0	0	1.1892	11.399	2.6599	12.035	2	2349	1
286	136.79	130	0	0	-8.1984	7.7022	-7.9398	8.9673	2	2368	1
287	68.131	50	0	0	4.2089	10.486	4.8989	11.404	2	2354	1
288	100.13	90	0	0	-1.9529	10.936	1.3021	12.35	2	2270	1
289	151.17	130	0	0	-9.8496	5.4217	-9.3451	7.276	2	2288	1
290	78.266	90	0	0	2.2557	10.86	3.4697	11.92	2	2289	1
291	45.838	50	0	0	7.9286	8.1641	9.7581	7.1327	2	2289	1
292	112.11	90	0	0	-4.358	10.729	-2.3184	11.232	2	2269	1
293	144.72	130	0	0	-9.4902	6.7148	-8.9164	7.3047	2	2249	1
294	70.442	50	0	0	3.7984	10.692	5.2324	11.461	2	2249	1
295	130.43	130	0	0	-7.3258	8.5982	-6.7965	9.7413	2	2229	1
