trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	114.19	90	0	0	-5.0276	11.191	-4.4145	11.535	1	5161	1
47	55.61	50	0	0	6.895	10.074	5.018	11.907	1	4787	1
48	134.12	130	0	0	-8.6195	8.8875	-7.0347	9.5567	1	4319	1
49	105.5	130	0	0	-3.2424	11.695	-3.1283	12.939	1	4569	1
50	72.379	90	0	0	3.6751	11.571	3.6365	11.821	1	4433	1
51	51.665	50	0	0	7.9512	10.056	7.0426	10.273	1	4717	1
52	148.17	130	0	0	-10.785	6.6957	-8.9879	7.6647	1	4944	1
53	50.206	50	0	0	8.092	9.7144	7.3047	9.528	1	4062	1
54	119.95	90	0	0	-6.2177	10.793	-4.5336	11.764	1	4388	1
55	35.47	50	0	0	10.381	7.3961	8.972	8.582	1	3869	1
56	69.811	90	0	0	4.3747	11.897	4.1605	11.248	1	4265	1
57	157.4	130	0	0	-11.846	4.9319	-10.012	5.9447	1	4199	1
58	134.52	130	0	0	-9.0964	9.2485	-8.0589	8.7253	1	3921	1
59	42.141	50	0	0	9.5405	8.6328	8.9006	8.2953	1	4459	1
60	72.391	90	0	0	3.8733	12.203	4.5416	11.907	1	4193	1
61	155.44	130	0	0	-11.063	5.0563	-9.893	6.2313	1	3949	1
62	69.34	50	0	0	4.3991	11.666	5.3991	11.047	1	4473	1
63	90.266	90	0	0	-0.0575	12.363	2.4693	12.194	1	4366	1
118	75.519	50	0	0	3.0697	11.886	2.7313	12.739	2	3641	1
119	111.94	130	0	0	-4.7241	11.726	-4.8909	12.194	2	3202	1
120	94.881	90	0	0	-1.049	12.284	-1.1989	12.997	2	3189	1
121	67.429	90	0	0	5.0069	12.046	4.3987	11.764	2	3448	1
122	77.894	50	0	0	2.5967	12.107	2.6837	11.993	2	3584	1
123	151	130	0	0	-10.735	5.9502	-10.107	5.658	2	3749	1
124	147.26	130	0	0	-11.014	7.0816	-9.4404	7.5787	2	3691	1
125	90.292	90	0	0	-0.0634	12.425	-0.031739	12.681	2	3659	1
126	31.49	50	0	0	10.255	6.2814	9.7342	7.6073	2	4049	1
127	21.724	50	0	0	12.173	4.8501	11.044	5.5433	2	4145	1
128	133.96	130	0	0	-8.4233	8.7346	-8.9402	8.5247	2	3807	1
129	89.941	90	0	0	0.0127	12.425	0.53993	12.538	2	3823	1
130	76.407	50	0	0	2.9573	12.23	2.6599	12.165	2	4405	1
131	150.15	130	0	0	-10.995	6.3092	-9.6072	6.3747	2	4487	1
132	108.47	90	0	0	-3.9097	11.704	-2.6042	12.28	2	4351	1
133	118.45	130	0	0	-5.907	10.903	-4.3669	11.133	2	4019	1
134	52.261	50	0	0	7.5195	9.7154	6.8044	10.331	2	4040	1
135	117.31	90	0	0	-5.8288	11.289	-4.9862	11.821	2	4428	1
190	76.307	50	0	0	2.9137	11.959	2.5646	12.223	3	4053	1
191	129.06	130	0	0	-7.9336	9.7762	-7.7492	9.872	3	3564	1
192	61.604	90	0	0	5.7812	10.694	4.5654	11.793	3	3478	1
193	107.26	90	0	0	-3.7874	12.191	-4.6051	11.821	3	3591	1
194	136.58	130	0	0	-8.7893	8.3174	-9.0355	8.0373	3	3555	1
195	26.708	50	0	0	10.784	5.4258	10.092	7.1487	3	4047	1
196	63.626	90	0	0	5.3349	10.759	4.7322	11.85	3	3567	1
197	54.039	50	0	0	7.1185	9.8119	5.5897	11.535	3	3751	1
198	136.83	130	0	0	-8.7984	8.2541	-8.964	8.0087	3	3883	1
199	76.123	50	0	0	3.1157	12.612	2.4217	12.079	3	4269	1
200	88.251	90	0	0	0.3719	12.179	-0.079378	12.796	3	3945	1
201	113.75	130	0	0	-5.1875	11.792	-4.7956	11.592	3	3799	1
202	21.19	50	0	0	11.799	4.5743	11.092	6.2027	3	4321	1
203	131.33	130	0	0	-8.185	9.3068	-9.2737	7.894	3	3531	1
204	74.756	90	0	0	3.2513	11.931	1.8262	12.337	3	3707	1
205	102.83	90	0	0	-2.8226	12.396	-2.6519	12.624	3	3847	1
206	29.985	50	0	0	10.45	6.0296	10.234	7.4353	3	3800	1
207	121.76	130	0	0	-6.6088	10.677	-5.9628	11.563	3	3722	1
262	74.67	50	0	0	3.2108	11.713	2.374	12.28	4	3591	1
263	124.4	130	0	0	-6.8915	10.064	-7.8207	10.015	4	3634	1
264	67.806	90	0	0	4.7938	11.751	3.2553	11.449	4	3870	1
265	119.27	130	0	0	-5.8699	10.473	-6.4868	10.703	4	3507	1
266	107.3	90	0	0	-3.7491	12.04	-4.2954	12.022	4	3759	1
267	43.11	50	0	0	8.8629	8.2966	8.1145	9.7	4	3889	1
268	22.121	50	0	0	11.8	4.7965	10.401	6.174	4	3858	1
269	107.65	90	0	0	-3.6676	11.529	-2.9615	12.997	4	4007	1
270	120.04	130	0	0	-6.1206	10.583	-5.534	10.847	4	4071	1
271	105.12	130	0	0	-3.1799	11.769	-3.0568	11.821	4	4203	1
272	23.439	50	0	0	11.414	4.9484	10.33	6.088	4	4085	1
273	73.722	90	0	0	3.3909	11.613	3.1601	11.936	4	3999	1
