Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	147.24029534	130	0.0	-0.085	-0.094733	-0.024043	1144	621	1	2679
140	117.878976673	90	0.0	-0.085	-0.052457	0.014162	1032	752	1	2379
141	66.8560419175	50	0.0	-0.085	0.044599	0.019339	321	664	1	3899
142	158.875054382	130	0.0	-0.085	-0.105063	-0.044407	1162	515	1	2339
143	68.0727072814	50	0.0	-0.085	0.042230	0.019906	477	752	1	2519
144	127.724009959	90	0.0	-0.085	-0.067981	0.002881	1001	759	1	2239
145	109.628501909	90	0.0	-0.085	-0.037835	0.021086	870	797	1	2239
146	147.481727878	130	0.0	-0.085	-0.095627	-0.024036	1158	537	1	2494
147	73.5218214381	50	0.0	-0.085	0.032997	0.026552	496	764	1	2556
148	114.249048178	90	0.0	-0.085	-0.048251	0.022118	955	783	1	2359
149	63.3783960713	50	0.0	-0.085	0.051366	0.017479	343	673	1	2399
150	144.034048379	130	0.0	-0.085	-0.094531	-0.016405	1141	622	1	2280
151	137.551180658	130	0.0	-0.085	-0.086390	-0.005980	1137	591	1	2320
152	99.0459547608	90	0.0	-0.085	-0.017589	0.025479	807	816	1	2320
153	68.4585278443	50	0.0	-0.085	0.043584	0.025410	382	724	1	2419
154	81.2670955402	50	0.0	-0.085	0.017111	0.026393	546	779	1	2721
155	147.049396716	130	0.0	-0.085	-0.101186	-0.019413	1125	605	1	2480
156	113.499539559	90	0.0	-0.085	-0.045833	0.020411	946	758	1	3019
283	62.1697487885	50	0.0	-0.085	0.052101	0.013692	466	734	2	2460
284	149.717341705	130	0.0	-0.085	-0.098473	-0.027497	1140	583	2	2299
285	108.128195751	90	0.0	-0.085	-0.034863	0.021486	898	806	2	2139
286	134.014631619	130	0.0	-0.085	-0.080340	-0.001848	1024	730	2	2439
287	103.877928042	90	0.0	-0.085	-0.026801	0.023477	821	798	2	2279
288	46.0413941649	50	0.0	-0.085	0.079155	-0.002914	266	544	2	2319
289	117.948094699	90	0.0	-0.085	-0.055073	0.018804	1014	741	2	2559
290	136.313700194	130	0.0	-0.085	-0.087094	-0.001811	1051	723	2	2579
291	87.4970974851	50	0.0	-0.085	0.004836	0.025634	567	751	2	2379
292	140.770061385	130	0.0	-0.085	-0.088848	-0.012460	1095	661	2	2340
293	54.0415097675	50	0.0	-0.085	0.066648	0.006873	299	612	2	2340
294	115.836601057	90	0.0	-0.085	-0.049424	0.017072	906	792	2	2599
295	102.554425143	90	0.0	-0.085	-0.024362	0.024398	832	802	2	2680
296	44.2443154763	50	0.0	-0.085	0.080272	-0.006818	319	633	2	2259
297	145.64434948	130	0.0	-0.085	-0.095183	-0.019935	1105	592	2	2238
298	92.872406163	90	0.0	-0.085	-0.005577	0.026151	715	796	2	2239
299	80.4092181764	50	0.0	-0.085	0.019217	0.028729	607	826	2	2399
300	151.749784794	130	0.0	-0.085	-0.100980	-0.030741	1140	592	2	2139
427	52.6145950746	50	0.0	-0.085	0.069172	0.005521	335	633	3	3185
428	145.899814917	130	0.0	-0.085	-0.093561	-0.021654	1160	634	3	2359
429	106.582336507	90	0.0	-0.085	-0.032863	0.025361	959	749	3	2879
430	49.3526223487	50	0.0	-0.085	0.073527	0.000642	281	617	3	2979
431	100.744463569	90	0.0	-0.085	-0.021161	0.026517	795	804	3	3024
432	144.817568606	130	0.0	-0.085	-0.092741	-0.019621	1161	594	3	2589
433	125.499892902	130	0.0	-0.085	-0.066331	0.007993	962	742	3	2379
434	76.6934659924	50	0.0	-0.085	0.025462	0.022657	516	759	3	2320
435	119.5872966	90	0.0	-0.085	-0.057159	0.015670	946	769	3	2300
436	112.6728074	90	0.0	-0.085	-0.043353	0.018777	884	786	3	2265
437	134.142121114	130	0.0	-0.085	-0.079630	-0.002949	1072	692	3	2440
438	83.7217496132	50	0.0	-0.085	0.012366	0.027401	600	801	3	2399
439	146.754125095	130	0.0	-0.085	-0.094068	-0.023336	1116	568	3	2379
440	112.816662805	90	0.0	-0.085	-0.043449	0.018277	879	786	3	2368
441	80.8590138706	50	0.0	-0.085	0.017845	0.025902	579	757	3	2459
442	141.691140313	130	0.0	-0.085	-0.088111	-0.015392	1111	650	3	2319
443	95.2249365488	90	0.0	-0.085	-0.010328	0.027941	820	815	3	2319
444	82.7330758197	50	0.0	-0.085	0.014367	0.027668	542	766	3	2339
571	66.1733738595	50	0.0	-0.085	0.044870	0.016606	351	648	4	2408
572	121.943549453	90	0.0	-0.085	-0.061113	0.013016	922	757	4	2219
573	138.171745428	130	0.0	-0.085	-0.085545	-0.008438	1038	705	4	2259
574	115.486274634	90	0.0	-0.085	-0.048908	0.017601	906	792	4	2099
575	150.843463114	130	0.0	-0.085	-0.097787	-0.030446	1152	591	4	2199
576	55.3778153524	50	0.0	-0.085	0.063767	0.007359	359	670	4	2279
577	85.5747853016	50	0.0	-0.085	0.008659	0.026890	627	811	4	2219
578	118.201503482	90	0.0	-0.085	-0.052677	0.013236	949	768	4	2139
579	148.052179918	130	0.0	-0.085	-0.095256	-0.025598	1113	558	4	2180
580	98.0031949333	90	0.0	-0.085	-0.015530	0.025457	803	825	4	2139
581	144.295400612	130	0.0	-0.085	-0.091989	-0.018888	1161	515	4	2239
582	65.1548387065	50	0.0	-0.085	0.047137	0.016803	354	643	4	2379
583	150.928846307	130	0.0	-0.085	-0.098751	-0.030101	1185	570	4	2460
584	112.002807744	90	0.0	-0.085	-0.042316	0.019721	881	773	4	2879
585	65.3209802609	50	0.0	-0.085	0.046586	0.016383	407	672	4	2379
586	116.070158552	90	0.0	-0.085	-0.049445	0.016063	944	763	4	2539
587	77.6160340589	50	0.0	-0.085	0.024265	0.025511	576	780	4	2244
