Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	50	528.36867863	117.267536705	0.000113	-0.085125	528	395	0.0	-0.085	0	0	1	0	19
139	50	528.36867863	117.267536705	0.000113	-0.085125	528	395	0.0	-0.085	0	0	1	0	23
139	50	528.505709625	117.182707993	0.000155	-0.085151	528	395	0.0	-0.085	0	0	1	0	41
139	50	528.505709625	117.182707993	0.000155	-0.085151	528	395	0.0	-0.085	0	0	1	0	60
139	50	528.411092985	117.097879282	0.000126	-0.085177	528	395	0.0	-0.085	0	0	1	0	81
139	50	528.505709625	117.182707993	0.000155	-0.085151	528	395	0.0	-0.085	0	0	1	0	100
139	50	528.7862969	117.44045677	0.000241	-0.085072	528	395	0.0	-0.085	0	0	1	0	120
139	50	529.347471452	117.955954323	0.000413	-0.084914	528	395	0.0	-0.085	0	0	1	0	141
139	50	530.378466558	118.898858075	0.000729	-0.084625	528	395	0.0	-0.085	0	0	1	0	160
139	50	532.022838499	120.621533442	0.001233	-0.084097	528	395	0.0	-0.085	0	0	1	0	181
139	50	534.456769984	123.293637847	0.001979	-0.083278	528	395	0.0	-0.085	0	0	1	0	201
139	50	537.771615008	127.013050571	0.002995	-0.082138	528	395	0.0	-0.085	0	0	1	0	220
139	50	542.283849918	132.314845024	0.004378	-0.080513	528	395	0.0	-0.085	0	0	1	0	240
139	50	548.052202284	138.872756933	0.006146	-0.078503	528	395	0.0	-0.085	0	0	1	0	260
139	50	555.243066884	146.89233279	0.008350	-0.076045	528	395	0.0	-0.085	0	0	1	0	281
139	50	563.135399674	156.840130506	0.010769	-0.072996	528	395	0.0	-0.085	0	0	1	0	301
139	50	572.234910277	167.965742251	0.013558	-0.069586	528	395	0.0	-0.085	0	0	1	0	320
139	50	582.234910277	180.481239804	0.016623	-0.065750	528	395	0.0	-0.085	0	0	1	0	340
139	50	592.466557912	194.233278956	0.019759	-0.061535	528	395	0.0	-0.085	0	0	1	0	361
139	50	603.008156607	208.432300163	0.022990	-0.057183	528	395	0.0	-0.085	0	0	1	0	380
139	50	614.254486134	222.827079935	0.026437	-0.052771	528	395	0.0	-0.085	0	0	1	0	401
139	50	624.913539967	238.396411093	0.029704	-0.047999	528	395	0.0	-0.085	0	0	1	0	420
139	50	635.986949429	254.647634584	0.033098	-0.043018	528	395	0.0	-0.085	0	0	1	0	441
139	50	647.102773246	271.668841762	0.036505	-0.037801	528	395	0.0	-0.085	0	0	1	0	460
139	50	657.376835237	289.433931485	0.039654	-0.032356	528	395	0.0	-0.085	0	0	1	0	480
139	50	667.210440457	307.675367047	0.042668	-0.026765	528	395	0.0	-0.085	0	0	1	0	500
139	50	677.060358891	325.939641109	0.045687	-0.021167	528	395	0.0	-0.085	0	0	1	0	520
139	50	685.89233279	344.445350734	0.048394	-0.015495	528	395	0.0	-0.085	0	0	1	0	540
139	50	694.505709625	362.053833605	0.051034	-0.010098	528	395	0.0	-0.085	0	0	1	0	560
139	50	702.652528548	378.608482871	0.053531	-0.005024	528	395	0.0	-0.085	0	0	1	0	581
139	50	709.425774878	394.102773246	0.055607	-0.000275	528	395	0.0	-0.085	0	0	1	0	600
139	50	715.872756933	407.982055465	0.057583	0.003979	528	395	0.0	-0.085	0	0	1	0	621
139	50	721.037520392	420.11908646	0.059166	0.007699	528	395	0.0	-0.085	0	0	1	0	640
139	50	724.907014682	430.370309951	0.060352	0.010841	528	395	0.0	-0.085	0.060352	0.010841	1	0	1008
140	130	527.138662316	119.929853181	-0.000264	-0.084309	528	395	0.0	-0.085	0	0	1	0	19
140	130	526.874388254	120.530179445	-0.000345	-0.084125	528	395	0.0	-0.085	0	0	1	0	22
140	130	525.575856444	122.079934747	-0.000743	-0.083650	528	395	0.0	-0.085	0	0	1	0	41
140	130	524.822185971	123.287112561	-0.000974	-0.083280	528	395	0.0	-0.085	0	0	1	0	61
140	130	524.57096248	124.32137031	-0.001051	-0.082963	528	395	0.0	-0.085	0	0	1	0	80
140	130	523.911908646	125.616639478	-0.001253	-0.082566	528	395	0.0	-0.085	0	0	1	0	101
140	130	523.386623165	126.827079935	-0.001414	-0.082195	528	395	0.0	-0.085	0	0	1	0	121
140	130	522.675367047	127.864600326	-0.001632	-0.081877	528	395	0.0	-0.085	0	0	1	0	140
140	130	521.412724307	128.817292007	-0.002019	-0.081585	528	395	0.0	-0.085	0	0	1	0	161
140	130	518.613376835	130.471451876	-0.002877	-0.081078	528	395	0.0	-0.085	0	0	1	0	180
140	130	514.995106036	132.220228385	-0.003986	-0.080542	528	395	0.0	-0.085	0	0	1	0	201
140	130	510.022838499	134.422512235	-0.005510	-0.079867	528	395	0.0	-0.085	0	0	1	0	221
140	130	503.383360522	137.003262643	-0.007545	-0.079076	528	395	0.0	-0.085	0	0	1	0	241
140	130	495.089722675	140.412724307	-0.010087	-0.078031	528	395	0.0	-0.085	0	0	1	0	260
140	130	484.577487765	144.771615008	-0.013309	-0.076695	528	395	0.0	-0.085	0	0	1	0	281
140	130	472.355628059	149.933115824	-0.017055	-0.075113	528	395	0.0	-0.085	0	0	1	0	301
140	130	458.613376835	155.659053834	-0.021267	-0.073358	528	395	0.0	-0.085	0	0	1	0	321
140	130	443.435562806	162.246329527	-0.025919	-0.071339	528	395	0.0	-0.085	0	0	1	0	340
140	130	426.838499184	169.727569331	-0.031006	-0.069046	528	395	0.0	-0.085	0	0	1	0	360
140	130	409.017944535	177.874388254	-0.036468	-0.066549	528	395	0.0	-0.085	0	0	1	0	381
140	130	390.734094617	186.311582382	-0.042072	-0.063963	528	395	0.0	-0.085	0	0	1	0	401
140	130	371.615008157	195.355628059	-0.047932	-0.061191	528	395	0.0	-0.085	0	0	1	0	420
140	130	352.159869494	204.810766721	-0.053895	-0.058293	528	395	0.0	-0.085	0	0	1	0	440
140	130	333.435562806	214.145187602	-0.059634	-0.055432	528	395	0.0	-0.085	0	0	1	0	460
140	130	315.370309951	223.07177814	-0.065171	-0.052696	528	395	0.0	-0.085	0	0	1	0	481
140	130	297.990212072	232.024469821	-0.070498	-0.049952	528	395	0.0	-0.085	0	0	1	0	501
140	130	281.647634584	240.670473083	-0.075507	-0.047302	528	395	0.0	-0.085	0	0	1	0	521
140	130	266.646003263	249.039151713	-0.080105	-0.044737	528	395	0.0	-0.085	0	0	1	0	540
140	130	253.562805873	256.562805873	-0.084115	-0.042431	528	395	0.0	-0.085	0	0	1	0	560
140	130	241.699836868	263.473083197	-0.087751	-0.040313	528	395	0.0	-0.085	0	0	1	0	581
140	130	231.938009788	269.251223491	-0.090743	-0.038542	528	395	0.0	-0.085	0	0	1	0	600
140	130	223.79771615	274.112561175	-0.093238	-0.037052	528	395	0.0	-0.085	0	0	1	0	621
140	130	217.347471452	278.308319739	-0.095215	-0.035766	528	395	0.0	-0.085	0	0	1	0	640
140	130	211.810766721	282.024469821	-0.096912	-0.034627	528	395	0.0	-0.085	0	0	1	0	661
140	130	207.72593801	285.075040783	-0.098164	-0.033692	528	395	0.0	-0.085	0	0	1	0	681
140	130	204.75040783	287.593800979	-0.099076	-0.032920	528	395	0.0	-0.085	-0.099076	-0.032920	1	0	1049
141	90	527.696574225	118.125611746	-0.000093	-0.084862	528	395	0.0	-0.085	0	0	1	0	19
141	90	527.520391517	118.383360522	-0.000147	-0.084783	528	395	0.0	-0.085	0	0	1	0	22
141	90	527.435562806	118.72593801	-0.000173	-0.084678	528	395	0.0	-0.085	0	0	1	0	40
141	90	527.350734095	119.07177814	-0.000199	-0.084572	528	395	0.0	-0.085	0	0	1	0	60
141	90	527.360522023	119.499184339	-0.000196	-0.084441	528	395	0.0	-0.085	0	0	1	0	80
141	90	527.324632953	120.102773246	-0.000207	-0.084256	528	395	0.0	-0.085	0	0	1	0	100
141	90	527.207177814	121.048939641	-0.000243	-0.083966	528	395	0.0	-0.085	0	0	1	0	121
141	90	526.734094617	122.510603589	-0.000388	-0.083518	528	395	0.0	-0.085	0	0	1	0	140
141	90	526.456769984	124.579119086	-0.000473	-0.082884	528	395	0.0	-0.085	0	0	1	0	161
141	90	526.143556281	127.254486134	-0.000569	-0.082064	528	395	0.0	-0.085	0	0	1	0	180
141	90	525.35725938	131.407830343	-0.000810	-0.080791	528	395	0.0	-0.085	0	0	1	0	201
141	90	524.179445351	136.703099511	-0.001171	-0.079168	528	395	0.0	-0.085	0	0	1	0	220
141	90	522.619902121	143.593800979	-0.001649	-0.077056	528	395	0.0	-0.085	0	0	1	0	240
141	90	520.097879282	152.628058728	-0.002422	-0.074287	528	395	0.0	-0.085	0	0	1	0	260
141	90	517.422512235	163.316476346	-0.003242	-0.071011	528	395	0.0	-0.085	0	0	1	0	281
141	90	514.460032626	175.779771615	-0.004150	-0.067191	528	395	0.0	-0.085	0	0	1	0	301
141	90	510.936378467	189.792822186	-0.005230	-0.062896	528	395	0.0	-0.085	0	0	1	0	320
141	90	507.344208809	205.212071778	-0.006331	-0.058170	528	395	0.0	-0.085	0	0	1	0	340
141	90	503.145187602	221.982055465	-0.007618	-0.053030	528	395	0.0	-0.085	0	0	1	0	360
141	90	498.962479608	239.861337684	-0.008900	-0.047550	528	395	0.0	-0.085	0	0	1	0	380
141	90	494.789559543	258.872756933	-0.010179	-0.041723	528	395	0.0	-0.085	0	0	1	0	400
141	90	490.10766721	278.960848287	-0.011614	-0.035566	528	395	0.0	-0.085	0	0	1	0	420
141	90	486.23817292	298.977161501	-0.012800	-0.029431	528	395	0.0	-0.085	0	0	1	0	440
141	90	482.7862969	318.719412724	-0.013858	-0.023380	528	395	0.0	-0.085	0	0	1	0	461
141	90	479.823817292	337.776508972	-0.014766	-0.017539	528	395	0.0	-0.085	0	0	1	0	481
141	90	476.769983687	356.432300163	-0.015702	-0.011821	528	395	0.0	-0.085	0	0	1	0	501
141	90	473.911908646	374.259380098	-0.016578	-0.006357	528	395	0.0	-0.085	0	0	1	0	521
141	90	471.050570962	391.234910277	-0.017455	-0.001154	528	395	0.0	-0.085	0	0	1	0	540
141	90	468.60685155	406.314845024	-0.018204	0.003468	528	395	0.0	-0.085	0	0	1	0	561
141	90	466.779771615	419.446982055	-0.018764	0.007493	528	395	0.0	-0.085	0	0	1	0	581
141	90	465.246329527	430.703099511	-0.019234	0.010943	528	395	0.0	-0.085	0	0	1	0	601
141	90	463.608482871	440.585644372	-0.019736	0.013972	528	395	0.0	-0.085	0	0	1	0	620
141	90	462.270799347	448.543230016	-0.020146	0.016411	528	395	0.0	-0.085	0	0	1	0	641
141	90	460.95269168	454.977161501	-0.020550	0.018383	528	395	0.0	-0.085	0	0	1	0	660
141	90	460.172920065	459.756933116	-0.020789	0.019848	528	395	0.0	-0.085	0	0	1	0	681
141	90	459.376835237	463.199021207	-0.021033	0.020903	528	395	0.0	-0.085	0	0	1	0	701
141	90	458.156606852	465.831973899	-0.021407	0.021710	528	395	0.0	-0.085	0	0	1	0	720
141	90	457.151712887	467.424143556	-0.021715	0.022198	528	395	0.0	-0.085	0	0	1	0	740
141	90	456.437194127	468.070146819	-0.021934	0.022396	528	395	0.0	-0.085	0	0	1	0	761
141	90	455.644371941	468.618270799	-0.022177	0.022564	528	395	0.0	-0.085	0	0	1	0	780
141	90	455.01141925	468.849918434	-0.022371	0.022635	528	395	0.0	-0.085	0	0	1	0	801
141	90	454.619902121	468.862969005	-0.022491	0.022639	528	395	0.0	-0.085	0	0	1	0	820
141	90	454.502446982	468.970636215	-0.022527	0.022672	528	395	0.0	-0.085	0	0	1	0	840
141	90	454.185970636	469.084828711	-0.022624	0.022707	528	395	0.0	-0.085	0	0	1	0	861
141	90	454.065252855	469.192495922	-0.022661	0.022740	528	395	0.0	-0.085	0	0	1	0	880
141	90	453.787928222	469.619902121	-0.022746	0.022871	528	395	0.0	-0.085	0	0	1	0	900
141	90	453.1908646	470.161500816	-0.022929	0.023037	528	395	0.0	-0.085	0	0	1	0	920
141	90	452.867862969	470.794453507	-0.023028	0.023231	528	395	0.0	-0.085	0	0	1	0	941
141	90	452.231647635	471.54812398	-0.023223	0.023462	528	395	0.0	-0.085	-0.023223	0.023462	1	0	1309
142	90	528.884176183	119.84502447	0.000271	-0.084335	528	395	0.0	-0.085	0	0	1	0	19
142	90	529.070146819	120.014681892	0.000328	-0.084283	528	395	0.0	-0.085	0	0	1	0	22
142	90	529.45187602	120.791190865	0.000445	-0.084045	528	395	0.0	-0.085	0	0	1	0	40
142	90	530.345840131	121.822185971	0.000719	-0.083729	528	395	0.0	-0.085	0	0	1	0	61
142	90	531.331158238	122.944535073	0.001021	-0.083385	528	395	0.0	-0.085	0	0	1	0	80
142	90	532.365415987	124.324632953	0.001338	-0.082962	528	395	0.0	-0.085	0	0	1	0	101
142	90	533.125611746	125.877650897	0.001571	-0.082486	528	395	0.0	-0.085	0	0	1	0	120
142	90	533.458401305	129.159869494	0.001673	-0.081480	528	395	0.0	-0.085	0	0	1	0	153
142	90	533.572593801	130.546492659	0.001708	-0.081055	528	395	0.0	-0.085	0	0	1	0	161
142	90	533.846655791	133.580750408	0.001792	-0.080125	528	395	0.0	-0.085	0	0	1	0	180
142	90	533.278955954	138.184339315	0.001618	-0.078714	528	395	0.0	-0.085	0	0	1	0	201
142	90	532.580750408	143.766721044	0.001404	-0.077003	528	395	0.0	-0.085	0	0	1	0	221
142	90	531.722675367	150.947797716	0.001141	-0.074802	528	395	0.0	-0.085	0	0	1	0	240
142	90	530.336052202	160.28548124	0.000716	-0.071940	528	395	0.0	-0.085	0	0	1	0	261
142	90	528.737357259	171.460032626	0.000226	-0.068515	528	395	0.0	-0.085	0	0	1	0	280
142	90	526.515497553	184.784665579	-0.000455	-0.064431	528	395	0.0	-0.085	0	0	1	0	301
142	90	524.153344209	199.672104405	-0.001179	-0.059868	528	395	0.0	-0.085	0	0	1	0	320
142	90	521.696574225	216.445350734	-0.001932	-0.054727	528	395	0.0	-0.085	0	0	1	0	341
142	90	519.784665579	234.220228385	-0.002518	-0.049279	528	395	0.0	-0.085	0	0	1	0	360
142	90	517.83360522	253.120717781	-0.003116	-0.043486	528	395	0.0	-0.085	0	0	1	0	381
