Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
91	130	525.367047308	118.729200653	-0.000807	-0.084677	528	395	0.0	-0.085	0	0	1	0	1
91	130	524.133768352	119.075040783	-0.001185	-0.084571	528	395	0.0	-0.085	0	0	1	0	21
91	130	521.269168026	120.455138662	-0.002063	-0.084148	528	395	0.0	-0.085	0	0	1	0	40
91	130	517.35725938	121.929853181	-0.003262	-0.083696	528	395	0.0	-0.085	0	0	1	0	60
91	130	512.98858075	123.417618271	-0.004601	-0.083240	528	395	0.0	-0.085	0	0	1	0	80
91	130	508.522022838	124.399673736	-0.005970	-0.082939	528	395	0.0	-0.085	0	0	1	0	101
91	130	503.866231648	125.218597064	-0.007397	-0.082688	528	395	0.0	-0.085	0	0	1	0	120
91	130	499.337683524	125.525285481	-0.008785	-0.082594	528	395	0.0	-0.085	0	0	1	0	141
91	130	495.83360522	124.879282219	-0.009859	-0.082792	528	395	0.0	-0.085	0	0	1	0	161
91	130	492.672104405	123.717781403	-0.010828	-0.083148	528	395	0.0	-0.085	0	0	1	0	181
91	130	489.722675367	122.128874388	-0.011732	-0.083635	528	395	0.0	-0.085	0	0	1	0	200
91	130	487.174551387	120.278955954	-0.012513	-0.084202	528	395	0.0	-0.085	0	0	1	0	220
91	130	484.753670473	118.344208809	-0.013255	-0.084795	528	395	0.0	-0.085	0	0	1	0	240
91	130	482.502446982	116.15497553	-0.013945	-0.085466	528	395	0.0	-0.085	0	0	1	0	260
91	130	480.342577488	114.057096248	-0.014607	-0.086109	528	395	0.0	-0.085	0	0	1	0	280
91	130	478.234910277	112.220228385	-0.015253	-0.086672	528	395	0.0	-0.085	0	0	1	0	300
91	130	475.817292007	110.732463295	-0.015994	-0.087128	528	395	0.0	-0.085	0	0	1	0	320
91	130	472.54812398	109.95269168	-0.016996	-0.087367	528	395	0.0	-0.085	0	0	1	0	340
91	130	469.530179445	109.597063622	-0.017921	-0.087476	528	395	0.0	-0.085	0	0	1	0	361
91	130	465.859706362	110.115823817	-0.019046	-0.087317	528	395	0.0	-0.085	0	0	1	0	380
91	130	462.903752039	111.048939641	-0.019952	-0.087031	528	395	0.0	-0.085	0	0	1	0	400
91	130	459.765089723	112.843393148	-0.020914	-0.086481	528	395	0.0	-0.085	0	0	1	0	421
91	130	456.443719413	115.505709625	-0.021932	-0.085665	528	395	0.0	-0.085	0	0	1	0	440
91	130	453.670473083	118.849918434	-0.022782	-0.084640	528	395	0.0	-0.085	0	0	1	0	461
91	130	450.887438825	122.804241436	-0.023635	-0.083428	528	395	0.0	-0.085	0	0	1	0	480
91	130	448.101141925	127.381729201	-0.024489	-0.082025	528	395	0.0	-0.085	0	0	1	0	501
91	130	445.210440457	132.497553018	-0.025375	-0.080457	528	395	0.0	-0.085	0	0	1	0	520
91	130	442.231647635	137.551386623	-0.026288	-0.078908	528	395	0.0	-0.085	0	0	1	0	540
91	130	439.22675367	142.804241436	-0.027209	-0.077298	528	395	0.0	-0.085	0	0	1	0	560
