trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	86.935	90	0	0	0.6484	12.11	-2.5792	9.3713	1	22905	1
47	139.7	130	0	0	-9.2376	7.834	-9.2963	4.1253	1	11230	1
48	22.432	50	0	0	11.271	4.6529	12.117	5.9887	1	9715	1
49	145.2	130	0	0	-9.9196	6.8943	-9.9394	7.852	1	11168	1
50	88.578	90	0	0	0.2987	12.033	-0.4116	11.894	1	8343	1
51	50.415	50	0	0	7.6795	9.288	9.926	7.9953	1	6453	1
52	112.01	130	0	0	-4.5031	11.141	-4.4133	11.722	1	5733	1
53	83.927	90	0	0	1.2802	12.033	-0.4116	11.034	1	5629	1
54	42.274	50	0	0	8.9899	8.1727	10.522	6.1033	1	6553	1
55	88.274	90	0	0	0.3636	12.069	0.80319	12.639	1	5979	1
56	44.064	50	0	0	8.662	8.3834	7.8776	11.865	1	7803	1
57	152.39	130	0	0	-10.758	5.6269	-11.345	7.0493	1	6574	1
58	109.66	130	0	0	-4.0653	11.38	-6.1283	10.375	1	6047	1
59	87.38	90	0	0	0.5537	12.1	0.30298	12.725	1	6535	1
60	46.784	50	0	0	8.2499	8.7804	8.5683	10.289	1	6648	1
61	46.314	50	0	0	8.3586	8.751	11.212	10.432	1	6709	1
62	87.679	90	0	0	0.4948	12.206	2.0656	13.671	1	5857	0
63	113.76	130	0	0	-4.8819	11.089	-2.3172	12.439	1	4743	1
118	136.65	130	0	0	-8.9228	8.4217	-11.893	10.977	2	7565	1
119	92.656	90	0	0	-0.5611	12.096	-1.3167	12.037	2	3302	1
120	39.716	50	0	0	9.4306	7.8339	14.714	5.358	2	3101	0
121	146.07	130	0	0	-10.037	6.7528	-11.631	6.1033	2	3359	1
122	55.112	50	0	0	6.8947	9.8879	11.188	9.3427	2	3508	1
123	90.371	90	0	0	-0.0781	12.068	-0.2925	13.671	2	3659	0
124	107.22	130	0	0	-3.5725	11.523	-5.8663	12.697	2	3663	1
125	70.593	50	0	0	4.0204	11.412	4.9478	11.894	2	3909	1
126	91.747	90	0	0	-0.3701	12.134	-0.95945	12.439	2	4799	1
127	136.98	130	0	0	-8.8685	8.2758	-13.798	6.906	2	3699	1
128	46.433	50	0	0	8.2788	8.7036	7.0439	9.8873	2	3881	1
129	92.133	90	0	0	-0.4508	12.102	-0.95945	13.671	2	3811	0
130	44.252	50	0	0	8.6585	8.4352	11.641	6.906	2	4019	1
131	141.89	130	0	0	-9.4778	7.4332	-12.107	8.11	2	3361	1
132	91.623	90	0	0	-0.3406	12.021	-0.31632	13.671	2	3571	0
133	85.138	90	0	0	1.0226	12.022	-1.3644	13.671	2	3555	0
134	37.831	50	0	0	9.5647	7.4275	11.617	7.2213	2	3383	1
135	139.76	130	0	0	-9.182	7.7713	-12.583	10.059	2	2919	1
190	90.693	90	0	0	-0.1455	12.029	-0.98327	13.671	3	3878	0
191	39.157	50	0	0	9.4742	7.7152	13.618	7.078	3	2699	1
192	142.49	130	0	0	-9.5968	7.3655	-11.369	9.572	3	2333	1
193	140.42	130	0	0	-9.2546	7.6505	-10.463	9.6293	3	2860	1
194	101.84	90	0	0	-2.4754	11.811	-5.6519	13.671	3	3532	0
195	40.572	50	0	0	9.1956	7.8738	14.285	8.5113	3	3219	0
196	88.772	90	0	0	0.2593	12.098	0.3268	12.152	3	3945	1
197	139.2	130	0	0	-9.1674	7.9126	-10.892	10.031	3	3119	1
198	43.791	50	0	0	8.7658	8.4034	12.427	8.6547	3	3010	1
199	88.18	90	0	0	0.3863	12.157	0.46972	13.671	3	3259	0
200	137.13	130	0	0	-8.8704	8.2331	-11.178	13.671	3	2872	0
201	37.553	50	0	0	9.577	7.3627	14.023	9.2853	3	3204	1
202	143.19	130	0	0	-9.7438	7.2932	-11.249	6.0747	3	3739	1
203	35.618	50	0	0	9.8214	7.0361	14.19	7.1067	3	3500	1
204	88.468	90	0	0	0.323	12.079	-2.5077	13.671	3	3819	0
205	130.77	130	0	0	-7.8987	9.1619	-9.9632	10.031	3	2952	1
206	82.404	90	0	0	1.5983	11.985	-0.69743	13.671	3	3212	0
207	32.738	50	0	0	10.135	6.5164	14.571	7.336	3	3260	0
262	136.58	130	0	0	-8.7246	8.2564	-9.725	10.919	4	3598	1
263	91.278	90	0	0	-0.2696	12.082	-2.603	13.671	4	2859	1
