Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
139	50	528.003262643	117.352365416	0.000001	-0.085099	528	395	0.0	-0.085	0	0	1	0	19
139	50	528.003262643	117.352365416	0.000001	-0.085099	528	395	0.0	-0.085	0	0	1	0	23
139	50	528.003262643	117.352365416	0.000001	-0.085099	528	395	0.0	-0.085	0	0	1	0	40
139	50	527.908646003	117.267536705	-0.000028	-0.085125	528	395	0.0	-0.085	0	0	1	0	61
139	50	527.771615008	117.355628059	-0.000070	-0.085098	528	395	0.0	-0.085	0	0	1	0	80
139	50	527.637846656	117.44045677	-0.000111	-0.085072	528	395	0.0	-0.085	0	0	1	0	101
139	50	527.866231648	117.44045677	-0.000041	-0.085072	528	395	0.0	-0.085	0	0	1	0	120
139	50	528.336052202	117.867862969	0.000103	-0.084941	528	395	0.0	-0.085	0	0	1	0	140
139	50	528.949429038	118.641109299	0.000291	-0.084704	528	395	0.0	-0.085	0	0	1	0	160
139	50	529.986949429	120.017944535	0.000609	-0.084282	528	395	0.0	-0.085	0	0	1	0	180
139	50	531.5954323	122.340946166	0.001102	-0.083570	528	395	0.0	-0.085	0	0	1	0	200
139	50	533.993474715	125.619902121	0.001837	-0.082565	528	395	0.0	-0.085	0	0	1	0	220
139	50	536.766721044	130.122349103	0.002687	-0.081185	528	395	0.0	-0.085	0	0	1	0	240
139	50	539.911908646	136.295269168	0.003651	-0.079293	528	395	0.0	-0.085	0	0	1	0	260
139	50	544.179445351	143.818923328	0.004959	-0.076987	528	395	0.0	-0.085	0	0	1	0	281
139	50	548.783034258	153.499184339	0.006370	-0.074020	528	395	0.0	-0.085	0	0	1	0	300
139	50	553.644371941	165.114192496	0.007860	-0.070460	528	395	0.0	-0.085	0	0	1	0	320
139	50	559.132137031	178.895595432	0.009542	-0.066236	528	395	0.0	-0.085	0	0	1	0	340
139	50	564.450244698	194.79771615	0.011172	-0.061362	528	395	0.0	-0.085	0	0	1	0	360
139	50	570.675367047	211.985318108	0.013080	-0.056094	528	395	0.0	-0.085	0	0	1	0	380
139	50	577.060358891	230.663947798	0.015037	-0.050369	528	395	0.0	-0.085	0	0	1	0	400
139	50	584.026101142	249.959216966	0.017172	-0.044455	528	395	0.0	-0.085	0	0	1	0	420
139	50	590.717781403	270.141924959	0.019223	-0.038269	528	395	0.0	-0.085	0	0	1	0	440
139	50	597.768352365	290.01141925	0.021384	-0.032179	528	395	0.0	-0.085	0	0	1	0	460
139	50	603.983686786	310.376835237	0.023289	-0.025937	528	395	0.0	-0.085	0	0	1	0	480
139	50	610.326264274	330.106035889	0.025233	-0.019890	528	395	0.0	-0.085	0	0	1	0	500
139	50	615.810766721	349.717781403	0.026914	-0.013879	528	395	0.0	-0.085	0	0	1	0	520
139	50	621.553017945	368.256117455	0.028674	-0.008197	528	395	0.0	-0.085	0	0	1	0	540
139	50	627.298531811	385.57096248	0.030435	-0.002890	528	395	0.0	-0.085	0	0	1	0	560
139	50	632.522022838	401.401305057	0.032036	0.001962	528	395	0.0	-0.085	0	0	1	0	580
139	50	636.871125612	415.991843393	0.033369	0.006434	528	395	0.0	-0.085	0	0	1	0	600
139	50	640.384991843	429.316476346	0.034446	0.010518	528	395	0.0	-0.085	0	0	1	0	621
139	50	643.292006525	441.045676998	0.035337	0.014113	528	395	0.0	-0.085	0	0	1	0	640
139	50	645.55954323	451.358890701	0.036032	0.017274	528	395	0.0	-0.085	0	0	1	0	660
139	50	646.841761827	461.143556281	0.036425	0.020273	528	395	0.0	-0.085	0	0	1	0	680
139	50	648.381729201	469.323001631	0.036897	0.022780	528	395	0.0	-0.085	0.036897	0.022780	1	0	1048
140	130	527.800978793	118.641109299	-0.000061	-0.084704	528	395	0.0	-0.085	0	0	1	0	17
140	130	527.853181077	118.898858075	-0.000045	-0.084625	528	395	0.0	-0.085	0	0	1	0	20
140	130	527.494290375	119.414355628	-0.000155	-0.084467	528	395	0.0	-0.085	0	0	1	0	40
140	130	527.001631321	120.014681892	-0.000306	-0.084283	528	395	0.0	-0.085	0	0	1	0	61
140	130	525.830342577	121.048939641	-0.000665	-0.083966	528	395	0.0	-0.085	0	0	1	0	80
140	130	524.525285481	122.168026101	-0.001065	-0.083623	528	395	0.0	-0.085	0	0	1	0	101
140	130	523.48776509	123.117455139	-0.001383	-0.083332	528	395	0.0	-0.085	0	0	1	0	120
140	130	521.318107667	124.500815661	-0.002048	-0.082908	528	395	0.0	-0.085	0	0	1	0	140
140	130	518.962479608	125.717781403	-0.002770	-0.082535	528	395	0.0	-0.085	0	0	1	0	161
140	130	515.070146819	127.632952692	-0.003963	-0.081948	528	395	0.0	-0.085	0	0	1	0	181
140	130	510.225122349	129.740619902	-0.005448	-0.081302	528	395	0.0	-0.085	0	0	1	0	201
140	130	504.068515498	132.132137031	-0.007335	-0.080569	528	395	0.0	-0.085	0	0	1	0	220
