Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	134.294231053	130	0.0	-0.085	-0.079296	-0.003726	1216	628	1	3570
74	51.938356846	50	0.0	-0.085	0.072481	0.007566	379	750	1	3514
75	95.3259901707	90	0.0	-0.085	-0.010610	0.028811	909	870	1	5238
76	47.1733114973	50	0.0	-0.085	0.077814	-0.001047	355	761	1	3656
77	139.359956245	130	0.0	-0.085	-0.088232	-0.009269	1242	671	1	3168
78	85.3618473706	90	0.0	-0.085	0.009143	0.027698	653	877	1	3104
79	55.5741765893	50	0.0	-0.085	0.063886	0.008213	462	860	1	3414
80	137.953681062	130	0.0	-0.085	-0.083684	-0.009528	1271	686	1	3382
81	88.860403569	90	0.0	-0.085	0.002291	0.030170	647	880	1	3364
82	140.89613636	130	0.0	-0.085	-0.089461	-0.012287	1224	669	1	3271
83	59.2970121393	50	0.0	-0.085	0.057777	0.012296	391	735	1	2923
84	90.6486702182	90	0.0	-0.085	-0.001289	0.028850	665	899	1	2813
85	94.3475683248	90	0.0	-0.085	-0.008638	0.028620	750	899	1	2821
86	137.049792871	130	0.0	-0.085	-0.083767	-0.007022	1198	623	1	2719
87	54.3958612774	50	0.0	-0.085	0.066921	0.008460	342	677	1	3205
88	51.3835228956	50	0.0	-0.085	0.071271	0.004227	320	709	1	2882
89	93.1086155	90	0.0	-0.085	-0.006244	0.029972	845	882	1	2724
90	135.319664636	130	0.0	-0.085	-0.079664	-0.006220	1216	648	1	2819
145	134.412999894	130	0.0	-0.085	-0.079602	-0.003750	1258	687	2	2799
146	53.8165523196	50	0.0	-0.085	0.068358	0.008456	333	727	2	2608
147	94.4436763908	90	0.0	-0.085	-0.008805	0.028302	816	899	2	2459
148	137.748002235	130	0.0	-0.085	-0.083646	-0.009016	1200	776	2	2853
149	52.8912487685	50	0.0	-0.085	0.068166	0.005103	378	702	2	2579
150	92.3076642937	90	0.0	-0.085	-0.004493	0.026494	767	886	2	2683
151	97.5658724602	90	0.0	-0.085	-0.014728	0.025885	863	899	2	2669
152	137.861081678	130	0.0	-0.085	-0.082745	-0.010132	1196	693	2	2449
153	52.0254109814	50	0.0	-0.085	0.068574	0.002851	415	734	2	2522
154	63.8670443386	50	0.0	-0.085	0.050071	0.017059	545	794	2	2452
155	110.025210397	130	0.0	-0.085	-0.039016	0.022049	924	851	2	2532
156	97.1412754847	90	0.0	-0.085	-0.014345	0.029496	853	899	2	2484
157	77.3255713122	50	0.0	-0.085	0.025076	0.026503	678	899	2	2518
158	141.205095622	130	0.0	-0.085	-0.090702	-0.012087	1215	637	2	2544
159	89.9052308434	90	0.0	-0.085	0.000189	0.029266	768	899	2	2470
160	136.628021544	130	0.0	-0.085	-0.081794	-0.007727	1245	699	2	2434
161	113.167886064	90	0.0	-0.085	-0.044247	0.018396	1083	840	2	2439
162	38.3790433206	50	0.0	-0.085	0.087344	-0.015824	358	648	2	2555
217	136.120611116	130	0.0	-0.085	-0.080399	-0.007686	1271	635	3	2780
218	73.6380826564	50	0.0	-0.085	0.032480	0.025629	577	899	3	2695
219	109.034996527	90	0.0	-0.085	-0.037236	0.022927	1061	869	3	2579
220	69.8034217886	50	0.0	-0.085	0.040035	0.023832	600	899	3	2539
221	132.375314294	130	0.0	-0.085	-0.075660	-0.002070	1228	714	3	2519
222	87.2164770385	90	0.0	-0.085	0.005457	0.027238	689	853	3	2519
223	75.6728533869	50	0.0	-0.085	0.028855	0.027979	622	899	3	2499
224	146.132475104	130	0.0	-0.085	-0.093538	-0.022222	1268	661	3	2459
225	98.3568964333	90	0.0	-0.085	-0.016658	0.028398	993	878	3	2480
226	77.9970829946	90	0.0	-0.085	0.023750	0.026707	731	899	3	2397
227	126.14003249	130	0.0	-0.085	-0.066244	0.005710	1168	759	3	2399
228	76.7456818148	50	0.0	-0.085	0.026657	0.028170	644	899	3	2540
229	50.6211153079	50	0.0	-0.085	0.070946	0.001436	414	729	3	2479
230	87.6405398921	90	0.0	-0.085	0.004594	0.026495	700	851	3	2419
231	120.945214209	130	0.0	-0.085	-0.057770	0.011354	1175	737	3	2360
232	65.9173789092	50	0.0	-0.085	0.046674	0.019426	548	830	3	2219
233	120.897031982	130	0.0	-0.085	-0.059664	0.014703	1066	820	3	2479
234	83.5276586032	90	0.0	-0.085	0.012516	0.025325	662	845	3	2499
289	126.398086946	130	0.0	-0.085	-0.066181	0.004772	1231	712	4	2280
290	58.4538140927	50	0.0	-0.085	0.060340	0.013288	431	778	4	2359
291	77.453234262	90	0.0	-0.085	0.024583	0.025460	632	899	4	2280
292	115.847496887	130	0.0	-0.085	-0.049369	0.016909	1064	899	4	2339
293	79.6222089932	50	0.0	-0.085	0.020059	0.024532	648	899	4	2319
294	97.5247875313	90	0.0	-0.085	-0.014948	0.028163	925	899	4	2460
295	108.219400805	130	0.0	-0.085	-0.035033	0.021432	1013	872	4	2299
296	109.206915439	90	0.0	-0.085	-0.037527	0.022721	1087	847	4	2319
297	49.0237095167	50	0.0	-0.085	0.074420	0.000682	413	774	4	2400
298	79.5945504392	50	0.0	-0.085	0.020480	0.026527	637	873	4	2210
299	127.049663743	130	0.0	-0.085	-0.070438	0.008306	1180	796	4	2479
300	78.1245110932	90	0.0	-0.085	0.023563	0.027052	685	899	4	2420
301	121.312880299	130	0.0	-0.085	-0.059797	0.013299	1066	835	4	2399
302	74.6442633994	50	0.0	-0.085	0.029969	0.024131	631	833	4	2379
303	109.194074122	90	0.0	-0.085	-0.037070	0.021486	1045	834	4	2399
304	80.1182982676	50	0.0	-0.085	0.019450	0.026654	695	867	4	2339
305	119.854781417	130	0.0	-0.085	-0.056140	0.012809	1162	812	4	2419
306	106.558042221	90	0.0	-0.085	-0.032243	0.023447	1035	823	4	2399
