Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
46	90	528.097879282	117.44045677	0.000030	-0.085072	528	395	0.0	-0.085	0	0	1	0	0
46	90	528.140293638	117.267536705	0.000043	-0.085125	528	395	0.0	-0.085	0	0	1	0	21
46	90	528.140293638	117.267536705	0.000043	-0.085125	528	395	0.0	-0.085	0	0	1	0	40
46	90	528.27406199	117.182707993	0.000084	-0.085151	528	395	0.0	-0.085	0	0	1	0	60
46	90	528.36867863	117.267536705	0.000113	-0.085125	528	395	0.0	-0.085	0	0	1	0	81
46	90	528.36867863	117.267536705	0.000113	-0.085125	528	395	0.0	-0.085	0	0	1	0	100
46	90	528.36867863	117.267536705	0.000113	-0.085125	528	395	0.0	-0.085	0	0	1	0	120
46	90	528.36867863	117.267536705	0.000113	-0.085125	528	395	0.0	-0.085	0	0	1	0	140
46	90	528.36867863	117.267536705	0.000113	-0.085125	528	395	0.0	-0.085	0	0	1	0	160
46	90	528.36867863	117.267536705	0.000113	-0.085125	528	395	0.0	-0.085	0	0	1	0	180
46	90	528.36867863	117.267536705	0.000113	-0.085125	528	395	0.0	-0.085	0	0	1	0	200
46	90	528.505709625	117.182707993	0.000155	-0.085151	528	395	0.0	-0.085	0	0	1	0	220
46	90	528.505709625	117.182707993	0.000155	-0.085151	528	395	0.0	-0.085	0	0	1	0	240
46	90	528.64274062	117.097879282	0.000197	-0.085177	528	395	0.0	-0.085	0	0	1	0	260
46	90	528.64274062	117.097879282	0.000197	-0.085177	528	395	0.0	-0.085	0	0	1	0	280
46	90	528.776508972	117.009787928	0.000238	-0.085204	528	395	0.0	-0.085	0	0	1	0	300
46	90	528.776508972	117.009787928	0.000238	-0.085204	528	395	0.0	-0.085	0	0	1	0	320
46	90	528.913539967	116.924959217	0.000280	-0.085230	528	395	0.0	-0.085	0	0	1	0	341
46	90	528.913539967	116.924959217	0.000280	-0.085230	528	395	0.0	-0.085	0	0	1	0	360
46	90	528.913539967	116.924959217	0.000280	-0.085230	528	395	0.0	-0.085	0	0	1	0	380
46	90	528.913539967	116.924959217	0.000280	-0.085230	528	395	0.0	-0.085	0	0	1	0	400
46	90	529.050570962	116.840130506	0.000322	-0.085256	528	395	0.0	-0.085	0	0	1	0	420
46	90	529.050570962	116.840130506	0.000322	-0.085256	528	395	0.0	-0.085	0	0	1	0	440
46	90	529.050570962	116.840130506	0.000322	-0.085256	528	395	0.0	-0.085	0	0	1	0	460
46	90	529.184339315	116.755301794	0.000363	-0.085282	528	395	0.0	-0.085	0	0	1	0	480
46	90	529.184339315	116.755301794	0.000363	-0.085282	528	395	0.0	-0.085	0	0	1	0	500
46	90	529.32137031	116.66721044	0.000405	-0.085309	528	395	0.0	-0.085	0	0	1	0	520
46	90	529.32137031	116.66721044	0.000405	-0.085309	528	395	0.0	-0.085	0	0	1	0	540
46	90	529.32137031	116.66721044	0.000405	-0.085309	528	395	0.0	-0.085	0	0	1	0	560
46	90	529.184339315	116.755301794	0.000363	-0.085282	528	395	0.0	-0.085	0	0	1	0	580
46	90	529.050570962	116.840130506	0.000322	-0.085256	528	395	0.0	-0.085	0	0	1	0	600
46	90	528.64274062	117.097879282	0.000197	-0.085177	528	395	0.0	-0.085	0	0	1	0	620
46	90	528.189233279	117.525285481	0.000058	-0.085046	528	395	0.0	-0.085	0	0	1	0	640
46	90	527.288743883	118.383360522	-0.000218	-0.084783	528	395	0.0	-0.085	0	0	1	0	660
46	90	526.345840131	119.414355628	-0.000507	-0.084467	528	395	0.0	-0.085	0	0	1	0	680
46	90	524.182707993	121.221859706	-0.001170	-0.083913	528	395	0.0	-0.085	0	0	1	0	700
46	90	522.384991843	122.947797716	-0.001721	-0.083384	528	395	0.0	-0.085	0	0	1	0	721
46	90	519.732463295	125.36867863	-0.002534	-0.082642	528	395	0.0	-0.085	0	0	1	0	741
46	90	517.223491028	127.711256117	-0.003303	-0.081924	528	395	0.0	-0.085	0	0	1	0	761
46	90	514.946166395	130.057096248	-0.004001	-0.081205	528	395	0.0	-0.085	0	0	1	0	780
46	90	512.264274062	132.670473083	-0.004823	-0.080404	528	395	0.0	-0.085	0	0	1	0	801
46	90	509.549755302	135.469820555	-0.005655	-0.079546	528	395	0.0	-0.085	0	0	1	0	820
46	90	507.063621533	138.272430669	-0.006417	-0.078687	528	395	0.0	-0.085	0	0	1	0	841
46	90	504.98858075	140.817292007	-0.007053	-0.077907	528	395	0.0	-0.085	0	0	1	0	860
46	90	502.659053834	143.985318108	-0.007767	-0.076936	528	395	0.0	-0.085	0	0	1	0	880
46	90	500.600326264	146.983686786	-0.008398	-0.076017	528	395	0.0	-0.085	0	0	1	0	900
46	90	498.544861338	149.98858075	-0.009028	-0.075096	528	395	0.0	-0.085	0	0	1	0	920
46	90	496.907014682	153.172920065	-0.009530	-0.074120	528	395	0.0	-0.085	0	0	1	0	940
46	90	494.737357259	156.722675367	-0.010195	-0.073032	528	395	0.0	-0.085	0	0	1	0	960
46	90	493.024469821	160.278955954	-0.010720	-0.071942	528	395	0.0	-0.085	0	0	1	0	980
46	90	491.353996737	163.665579119	-0.011232	-0.070904	528	395	0.0	-0.085	0	0	1	0	1001
46	90	489.738988581	167.326264274	-0.011727	-0.069782	528	395	0.0	-0.085	0	0	1	0	1020
46	90	487.676998369	171.006525285	-0.012359	-0.068654	528	395	0.0	-0.085	0	0	1	0	1040
46	90	486.068515498	174.686786297	-0.012852	-0.067526	528	395	0.0	-0.085	0	0	1	0	1060
46	90	484.502446982	178.200652529	-0.013332	-0.066449	528	395	0.0	-0.085	0	0	1	0	1081
46	90	483.292006525	181.623164763	-0.013703	-0.065400	528	395	0.0	-0.085	0	0	1	0	1100
46	90	481.729200653	185.153344209	-0.014182	-0.064318	528	395	0.0	-0.085	0	0	1	0	1120
46	90	480.841761827	188.676998369	-0.014454	-0.063238	528	395	0.0	-0.085	0	0	1	0	1140
46	90	479.990212072	192.027732463	-0.014715	-0.062211	528	395	0.0	-0.085	0	0	1	0	1160
46	90	479.099510604	195.57096248	-0.014988	-0.061125	528	395	0.0	-0.085	0	0	1	0	1180
46	90	478.694942904	198.924959217	-0.015112	-0.060097	528	395	0.0	-0.085	0	0	1	0	1200
46	90	477.676998369	202.575856444	-0.015424	-0.058978	528	395	0.0	-0.085	0	0	1	0	1221
46	90	477.230016313	206.132137031	-0.015561	-0.057888	528	395	0.0	-0.085	0	0	1	0	1240
46	90	476.652528548	209.789559543	-0.015738	-0.056767	528	395	0.0	-0.085	0	0	1	0	1260
46	90	475.947797716	213.54812398	-0.015954	-0.055615	528	395	0.0	-0.085	0	0	1	0	1280
46	90	475.409461664	217.03588907	-0.016119	-0.054546	528	395	0.0	-0.085	0	0	1	0	1301
46	90	474.44045677	221.003262643	-0.016416	-0.053330	528	395	0.0	-0.085	0	0	1	0	1321
