trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	77.185	50	0	0	2.6643	11.712	6.9145	8.476	1	4449	1
92	145.74	130	0	0	-10.004	6.8138	-7.139	6.928	1	3034	1
93	120.3	90	0	0	-6.0854	10.415	-2.0654	8.3327	1	4561	1
94	145.27	130	0	0	-9.9013	6.8645	-7.1866	5.1793	1	3159	1
95	123.71	90	0	0	-6.6771	10.006	-3.709	9.2213	1	2859	1
96	73.469	50	0	0	3.4504	11.625	8.296	6.24	1	4267	1
97	135.84	90	0	0	-8.7861	8.5325	-2.9944	8.906	1	2959	1
98	52.736	50	0	0	7.299	9.5937	8.3675	5.8387	1	3395	1
99	158.11	130	0	0	-11.234	4.5145	-8.1394	6.6413	1	3663	1
100	73.022	50	0	0	3.5512	11.631	7.4385	5.5807	1	3813	1
101	125.11	90	0	0	-6.9173	9.84	-1.0888	9.2787	1	3389	1
102	134.65	130	0	0	-8.4506	8.5559	-4.3521	8.4473	1	2865	1
103	151.61	130	0	0	-10.676	5.7698	-8.7349	6.6413	1	3351	1
104	118.47	90	0	0	-5.7646	10.632	-0.73153	10.196	1	3964	1
105	89.726	50	0	0	0.0584	12.211	5.2472	8.8487	1	4030	1
106	100.22	50	0	0	-2.1466	11.912	5.795	6.928	1	3899	0
107	121.49	90	0	0	-6.335	10.341	0.22125	7.6733	1	3839	1
108	124.03	130	0	0	-6.7253	9.961	-0.68389	10.053	1	4090	1
235	97.363	90	0	0	-1.5621	12.088	-0.23132	8.562	2	4140	1
236	152.05	130	0	0	-10.698	5.6761	-7.7821	5.638	2	2904	1
237	72.62	50	0	0	3.6381	11.623	5.3901	7.014	2	3019	1
238	120.21	90	0	0	-6.1116	10.496	-1.6605	6.8707	2	3199	1
239	53.619	50	0	0	7.2465	9.8357	9.5585	2.628	2	3843	0
240	156.23	130	0	0	-11.076	4.8784	-7.7106	6.24	2	2799	1
241	131.25	130	0	0	-7.9244	9.0375	-4.5188	8.5333	2	2871	1
242	124.77	90	0	0	-6.8593	9.8809	-1.9701	10.339	2	3339	1
243	70.095	50	0	0	4.1113	11.354	11.964	2.5993	2	2799	0
244	103.95	50	0	0	-2.9035	11.688	5.3186	6.4693	2	2739	1
245	132.36	90	0	0	-8.1552	8.9451	-3.6613	7.788	2	2719	1
246	132.97	130	0	0	-8.1837	8.7844	-3.5184	7.272	2	3239	1
247	90.498	50	0	0	-0.1059	12.185	4.866	8.0747	2	3379	1
248	127.32	90	0	0	-7.3155	9.5956	-1.3985	8.132	2	2763	1
249	117.98	130	0	0	-5.7178	10.761	-2.2798	7.9887	2	3280	1
250	135.88	90	0	0	-8.6585	8.3952	-2.0892	8.9347	2	2919	1
251	73.095	50	0	0	3.49	11.483	7.1765	3.8893	2	3079	0
252	170.56	130	0	0	-11.911	1.9805	-8.449	3.66	2	4076	1
