Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	135	528.146818923	117.698205546	0.000045	-0.084993	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	1
187	135	528.146818923	117.698205546	0.000045	-0.084993	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	14
187	135	528.146818923	117.698205546	0.000045	-0.084993	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	34
187	135	528.241435563	117.783034258	0.000074	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	54
187	135	528.241435563	117.783034258	0.000074	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	74
187	135	528.241435563	117.783034258	0.000074	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	94
187	135	528.241435563	117.783034258	0.000074	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	114
187	135	528.146818923	117.698205546	0.000045	-0.084993	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	134
187	135	528.146818923	117.698205546	0.000045	-0.084993	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	154
187	135	528.013050571	117.783034258	0.000004	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	174
187	135	528.104404568	117.867862969	0.000032	-0.084941	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	194
187	135	528.104404568	117.867862969	0.000032	-0.084941	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	214
187	135	528.104404568	117.867862969	0.000032	-0.084941	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	234
187	135	528.104404568	117.867862969	0.000032	-0.084941	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	254
187	135	528.104404568	117.867862969	0.000032	-0.084941	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	274
187	135	528.104404568	117.867862969	0.000032	-0.084941	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	294
187	135	528.104404568	117.867862969	0.000032	-0.084941	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	314
187	135	528.013050571	117.783034258	0.000004	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	334
187	135	528.013050571	117.783034258	0.000004	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	354
187	135	528.013050571	117.783034258	0.000004	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	374
187	135	528.013050571	117.783034258	0.000004	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	394
187	135	528.013050571	117.783034258	0.000004	-0.084967	528	395	0.0	-0.085	-0.0848528137424	-0.000147186257614	1	0	414
