trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	61.132	50	0	0	5.4867	9.9523	8.1988	12.293	1	2359	1
140	107.41	90	0	0	-3.3357	10.64	-0.54292	12.809	1	2439	1
141	139.94	130	0	0	-8.7548	7.3607	-5.7594	6.674	1	4143	1
142	136.14	130	0	0	-8.1748	7.8548	-4.8781	6.7027	1	2506	1
143	90.551	90	0	0	-0.1082	11.26	2.1963	10.831	1	2499	1
144	61.948	50	0	0	5.3121	9.9689	12.415	8.1647	1	2479	1
145	98.825	90	0	0	-1.7017	10.96	2.9585	10.716	1	2339	1
146	138.47	130	0	0	-8.4281	7.4637	-5.9976	4.5527	1	2399	1
147	62.709	50	0	0	5.1375	9.9577	11.033	8.2793	1	2330	1
148	102.9	90	0	0	-2.5422	11.101	3.3158	10.945	1	2893	1
149	142.14	130	0	0	-8.8774	6.9004	-4.092	8.738	1	2792	1
150	53.076	50	0	0	6.7671	9.0051	10.223	7.964	1	3180	1
151	94.211	90	0	0	-0.816	11.083	1.2674	8.5373	1	2858	1
152	122.36	130	0	0	-5.9668	9.4181	-3.5442	6.588	1	3161	1
153	54.399	50	0	0	6.5804	9.191	11.796	7.878	1	2971	1
154	85.198	90	0	0	0.9447	11.245	2.5298	11.318	1	2539	1
155	53.548	50	0	0	6.6495	9.0022	9.7471	9.512	1	3529	1
156	139.1	130	0	0	-8.4329	7.3038	-6.5692	5.0113	1	2549	1
283	64.354	50	0	0	4.8093	10.017	7.4604	10.315	2	2939	1
284	143.12	130	0	0	-8.9979	6.7515	-6.0452	7.706	2	3988	1
285	94.633	90	0	0	-0.8989	11.094	2.6489	10.745	2	2672	1
286	68.8	50	0	0	4.1307	10.649	11.462	8.5373	2	3484	1
287	94.186	90	0	0	-0.8216	11.227	-2.2103	12.035	2	3310	1
288	152.96	130	0	0	-9.9542	5.0808	-5.8785	9.9707	2	2179	1
289	103.31	90	0	0	-2.5898	10.949	-0.87639	11.117	2	2119	1
290	68.783	50	0	0	4.0637	10.467	10.152	10.487	2	2482	1
291	145.76	130	0	0	-9.3391	6.3561	-5.7356	6.8747	2	2388	1
292	54.445	50	0	0	6.7202	9.4021	9.5803	8.652	2	2368	1
293	137.63	130	0	0	-8.2924	7.5649	-4.3064	7.534	2	3104	1
294	98.106	90	0	0	-1.566	10.995	2.9824	10.028	2	2806	1
295	137.02	130	0	0	-8.1524	7.5961	-5.0448	3.2627	2	2608	1
296	61.871	50	0	0	5.2915	9.8979	8.4132	8.8813	2	2792	1
297	105.79	90	0	0	-3.0488	10.782	-0.13799	11.49	2	2500	1
298	55.075	50	0	0	6.6048	9.4588	9.3898	8.5947	2	2619	1
299	109.38	90	0	0	-3.6976	10.511	1.5056	11.547	2	3241	1
300	150.69	130	0	0	-9.6495	5.4165	-5.4497	6.588	2	3403	1
427	113.44	90	0	0	-4.538	10.465	-2.8534	11.605	3	2679	1
428	82.074	50	0	0	1.5821	11.363	9.4612	7.534	3	5719	0
429	147.14	130	0	0	-9.35	6.0399	-7.0218	7.964	3	2579	1
430	112.78	90	0	0	-4.3848	10.441	-6.9027	8.5947	3	2559	1
431	110.36	130	0	0	-3.9518	10.651	-5.0686	7.19	3	2545	0
