trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
91	103.1	90	0	0	-2.7918	11.992	-1.7339	12.063	1	3717	1
92	86.511	50	0	0	0.7502	12.303	2.9347	9.598	1	2415	1
93	144.2	130	0	0	-9.8631	7.1146	-11.19	3.7213	1	2727	1
94	74.988	50	0	0	3.1627	11.794	5.1499	7.7633	1	2648	1
95	112.16	90	0	0	-4.5446	11.16	-5.2354	10.257	1	2727	1
96	123.99	130	0	0	-6.72	9.9668	-7.2838	9.7987	1	2536	1
97	129.44	130	0	0	-7.6325	9.2793	-8.5463	7.2187	1	2472	1
98	62.066	50	0	0	5.647	10.65	7.9606	4.1227	1	2596	1
99	103.57	90	0	0	-2.8218	11.69	-1.9959	10.888	1	2539	1
100	141.21	130	0	0	-9.4286	7.5779	-11.166	4.3233	1	2437	1
101	89.448	90	0	0	0.1175	12.185	2.2678	8.8813	1	2599	1
102	80.126	50	0	0	2.078	11.938	3.5064	8.4227	1	2666	1
103	104.68	90	0	0	-3.0623	11.689	-3.9729	10.573	1	2728	1
104	136.72	130	0	0	-8.7747	8.2631	-10.38	5.2693	1	2369	1
105	80.812	50	0	0	1.9403	11.995	3.2682	9.1393	1	2576	1
106	73.69	90	0	0	3.4258	11.708	4.483	8.91	1	2259	1
107	132.99	130	0	0	-8.3416	8.9472	-9.761	6.7313	1	2479	1
108	78.825	50	0	0	2.3546	11.919	3.4826	9.2253	1	2800	1
235	130.78	130	0	0	-7.8388	9.0892	-9.5467	6.7027	2	3420	1
236	85.329	50	0	0	1.0033	12.28	3.8637	8.6807	2	2339	1
237	113.86	90	0	0	-4.8741	11.022	-5.4497	9.9993	2	2779	1
238	87.501	90	0	0	0.5275	12.087	2.5774	10.171	2	2883	1
239	136.06	130	0	0	-8.6528	8.3391	-9.8087	7.1613	2	2359	1
240	88.134	50	0	0	0.3936	12.079	3.6255	9.34	2	2559	1
241	115.15	90	0	0	-5.1587	10.987	-4.0444	10.888	2	2785	1
242	128.57	130	0	0	-7.6438	9.5871	-7.6649	9.1107	2	2719	1
243	74.77	50	0	0	3.2037	11.767	8.2941	5.298	2	2913	0
244	87.056	50	0	0	0.6242	12.136	3.8875	10.171	2	2806	1
245	114.37	90	0	0	-5.029	11.104	-7.6411	9.7127	2	2499	1
246	112.35	130	0	0	-4.6954	11.418	-6.1881	7.6773	2	2240	1
247	106.66	130	0	0	-3.456	11.545	-4.4255	8.91	2	2376	1
248	69.258	50	0	0	4.3597	11.512	6.0074	7.792	2	2632	1
249	113.77	90	0	0	-4.8572	11.027	-6.3549	8.8527	2	2428	1
250	90.56	90	0	0	-0.1173	12.01	3.03	9.2253	2	2639	1
251	130.08	130	0	0	-7.7875	9.2543	-8.8797	8.136	2	2479	1
252	82.893	50	0	0	1.5142	12.145	4.0542	8.5087	2	2599	1
379	72.367	50	0	0	3.6873	11.601	6.8411	7.4193	3	2559	1
380	136.38	130	0	0	-8.823	8.4081	-11.214	5.2407	3	2388	1
381	88.87	90	0	0	0.237	12.02	2.1249	10.372	3	2936	1
382	89.319	50	0	0	0.1447	12.182	3.6731	9.7127	3	2784	1
383	118.88	90	0	0	-5.9097	10.712	-6.0929	9.2827	3	2558	1
384	128.83	130	0	0	-7.55	9.3788	-9.4038	7.19	3	2479	1
385	110.23	130	0	0	-4.1792	11.339	-6.069	9.9133	3	2658	1
386	109.08	90	0	0	-3.9528	11.427	-4.1158	10.401	3	2480	1
387	70.913	50	0	0	4.0395	11.674	8.8181	4.8393	3	2599	0
388	96.998	50	0	0	-1.4687	11.966	4.9356	9.3687	3	2804	1
389	137.15	130	0	0	-8.8698	8.2269	-11.81	4.8393	3	2579	1
390	102.5	90	0	0	-2.6285	11.859	-1.5433	11.891	3	2600	1
391	95.734	50	0	0	-1.2215	12.164	2.2678	10.257	3	2511	1
392	123.91	90	0	0	-6.725	10.005	-7.3791	9.3113	3	2380	1
393	115.16	130	0	0	-5.1353	10.931	-5.5212	9.3687	3	2360	1
394	131.64	130	0	0	-8.1173	9.1299	-8.7844	7.276	3	2660	1
395	88.712	50	0	0	0.2715	12.072	3.292	10.429	3	2280	1
396	112.46	90	0	0	-4.5981	11.125	-5.2115	9.254	3	2239	1
523	106.97	90	0	0	-3.5801	11.73	-4.5208	10.515	4	2400	1
524	120.63	130	0	0	-6.1266	10.346	-4.3779	9.4833	4	2159	1
525	95.381	50	0	0	-1.1306	12.004	1.4817	10.515	4	2379	1
526	86.768	50	0	0	0.6811	12.062	8.7705	5.7567	4	2739	0
527	118.84	90	0	0	-5.929	10.765	-2.639	10.2	4	2059	1
528	126.2	130	0	0	-7.106	9.71	-7.4267	8.8527	4	2339	1
529	120.04	130	0	0	-6.1015	10.553	-5.1163	11.92	4	2489	1
530	92.628	50	0	0	-0.5529	12.048	2.9347	9.7413	4	2445	1
531	119.69	90	0	0	-6.0223	10.561	-5.5926	10.028	4	2780	1
532	125.51	130	0	0	-6.9938	9.8012	-7.0933	8.05	4	2420	1
533	108.33	90	0	0	-3.7779	11.403	-2.5914	10.515	4	2980	1
534	90.089	50	0	0	-0.0189	12.104	7.1508	6.9033	4	2859	1
535	134.8	130	0	0	-8.6644	8.7262	-10.428	4.524	4	2419	1
536	86.026	50	0	0	0.8518	12.262	4.2686	9.3687	4	2582	1
537	125.22	90	0	0	-6.9221	9.8059	-6.0452	9.6267	4	2539	1
538	60.243	50	0	0	5.9676	10.438	9.0325	4.094	4	2719	1
539	130.22	130	0	0	-7.9357	9.3848	-7.9269	8.1933	4	2619	1
540	87.769	90	0	0	0.4766	12.232	3.4111	9.9707	4	2534	1
