trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	47.499	50	0	0	7.6445	8.3421	3.3635	10.429	1	5698	1
74	91.772	90	0	0	-0.3671	11.869	-4.2349	10.401	1	9768	1
75	132.13	130	0	0	-7.7734	8.5947	-10.952	4.7247	1	4199	1
76	110.27	130	0	0	-3.9453	10.682	-5.4259	9.9707	1	3164	1
77	79.936	90	0	0	1.9909	11.218	1.7199	10.773	1	4239	1
78	54.748	50	0	0	6.6464	9.4037	3.0776	11.117	1	3288	1
79	99.536	90	0	0	-1.838	10.942	-1.4242	10.773	1	2856	1
80	138.3	130	0	0	-8.6877	7.7407	-10.785	4.8967	1	4679	1
81	48.771	50	0	0	7.7793	8.877	5.8645	6.76	1	2567	1
82	50.348	50	0	0	7.1425	8.6179	6.9364	7.2473	1	2575	1
83	133.2	130	0	0	-7.7916	8.2981	-6.736	9.3973	1	4719	1
84	80.358	90	0	0	1.9443	11.444	-1.3051	10.802	1	2745	1
85	99.791	90	0	0	-1.9917	11.542	-3.6633	10.802	1	3031	1
86	132.16	130	0	0	-7.6028	8.3957	-11.166	5.126	1	3319	1
87	51.857	50	0	0	7.417	9.4445	8.3894	5.7853	1	3117	1
88	130.69	130	0	0	-7.6524	8.8991	-6.7122	8.8813	1	2879	1
89	82.716	90	0	0	1.4722	11.518	1.8152	10.544	1	3307	1
90	30.962	50	0	0	9.7469	5.8478	10.438	3.1767	1	2976	1
145	80.349	90	0	0	1.9073	11.215	-0.97167	10.401	2	2569	1
146	128.85	130	0	0	-7.2496	9.0016	-9.499	7.5627	2	2479	1
147	46.056	50	0	0	8.1431	8.4488	7.8653	5.4127	2	2785	1
148	68.608	50	0	0	4.1729	10.652	4.9117	9.0533	2	2224	1
149	131.8	130	0	0	-7.6279	8.5312	-10.142	5.7567	2	2630	1
150	81.897	90	0	0	1.6575	11.642	1.1244	10.028	2	2890	1
151	80.198	90	0	0	1.9212	11.12	1.5056	11.691	2	2843	1
152	131.99	130	0	0	-7.4036	8.2252	-9.8325	7.878	2	2271	1
153	54.436	50	0	0	6.7465	9.4361	7.913	6.6167	2	2088	1
154	131.88	130	0	0	-7.5538	8.4239	-9.6896	4.4953	2	3619	1
155	86.766	90	0	0	0.6471	11.453	1.6008	10.63	2	2599	1
156	52.406	50	0	0	6.9952	9.0854	9.0801	6.4733	2	3064	1
157	97.34	90	0	0	-1.4687	11.402	-1.6624	10.917	2	3094	1
158	135.38	130	0	0	-8.0237	7.9186	-9.3085	7.018	2	2566	1
159	52.544	50	0	0	7.2024	9.4013	7.7701	6.502	2	2432	1
160	89.923	90	0	0	0.0159	11.761	0.14784	9.8273	2	2236	1
161	45.506	50	0	0	8.0063	8.1491	8.7467	5.9573	2	2281	1
162	135.44	130	0	0	-8.2576	8.1313	-8.8083	7.0753	2	2315	1
217	45.093	50	0	0	7.8751	7.9006	9.0801	5.7567	3	3152	1
218	138.49	130	0	0	-8.7161	7.7139	-10.023	5.3267	3	2307	1
219	90.169	90	0	0	-0.0336	11.385	-1.2337	11.175	3	1857	1
220	102.39	90	0	0	-2.4659	11.225	-4.354	11.117	3	1839	1
221	139.14	130	0	0	-8.5764	7.4192	-8.5939	3.8073	3	4155	1
222	45.534	50	0	0	7.9566	8.1062	9.1992	5.556	3	1863	1
223	137.63	130	0	0	-8.3581	7.6249	-10.833	4.4667	3	2309	1
224	44.608	50	0	0	7.9929	7.8842	9.1278	5.556	3	1859	1
225	87.733	90	0	0	0.4541	11.473	0.43368	9.7987	3	1919	1
226	96.485	90	0	0	-1.328	11.682	0.31458	10.487	3	1977	1
