trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
46	94.016	90	0	0	-0.8467	12.061	-6.6999	9.3713	1	12534	1
47	127.95	130	0	0	-7.4882	9.6	-10.44	7.3073	1	3487	1
48	34.193	50	0	0	10.173	6.9114	8.4969	4.3547	1	2825	1
49	60.854	50	0	0	5.9621	10.692	4.781	8.0813	1	2935	1
50	127.49	130	0	0	-7.4858	9.7597	-7.6527	9.3427	1	2303	1
51	82.31	90	0	0	1.6067	11.898	-2.4601	12.009	1	3061	1
52	40.382	50	0	0	9.2958	7.9063	7.1392	7.7087	1	2771	1
53	86.557	90	0	0	0.7415	12.325	-1.2215	11.665	1	2627	1
54	101.13	130	0	0	-2.4087	12.242	-5.7472	9.4287	1	2441	1
55	28.224	50	0	0	10.75	5.7697	8.5445	4.1253	1	2179	1
56	144.65	130	0	0	-10.136	7.1889	-10.725	8.2247	1	2657	1
57	114.77	90	0	0	-5.1496	11.159	-6.3665	11.005	1	2359	1
58	53.23	50	0	0	7.2674	9.725	4.0665	10.375	1	2625	1
59	66.761	90	0	0	4.7535	11.07	3.5424	10.776	1	2419	1
60	140.82	130	0	0	-9.4594	7.71	-13.703	6.6767	1	2766	1
61	126.92	130	0	0	-7.4393	9.902	-8.8437	10.002	1	2296	1
62	108.34	90	0	0	-3.8	11.463	-6.2235	11.263	1	2312	1
63	37.017	50	0	0	9.9503	7.5027	7.6156	8.0813	1	2532	1
118	51.374	50	0	0	7.6815	9.6135	4.1379	11.206	2	3846	1
119	86.759	90	0	0	0.6833	12.065	-2.0551	12.238	2	2703	1
120	147.48	130	0	0	-10.199	6.5023	-11.821	5.3007	2	2509	1
121	78.352	90	0	0	2.4478	11.874	-0.67361	12.353	2	2602	1
122	37.639	50	0	0	9.5161	7.3387	9.1162	7.078	2	2708	1
123	132.61	130	0	0	-8.1663	8.8782	-11.226	8.2533	2	2660	1
124	59.213	50	0	0	6.1824	10.376	2.6135	11.837	2	2846	1
125	115.14	130	0	0	-5.1382	10.95	-7.6765	10.145	2	3816	1
126	82.987	90	0	0	1.4863	12.083	-2.3172	12.066	2	2579	1
127	143.31	130	0	0	-9.687	7.2184	-12.893	7.25	2	2799	1
128	51.337	50	0	0	7.5267	9.4073	4.6381	10.719	2	2599	1
129	61.05	90	0	0	5.8727	10.617	2.1847	11.636	2	2819	1
130	46.438	50	0	0	8.3576	8.788	7.4012	8.4827	2	2719	1
131	133.83	130	0	0	-8.3489	8.6972	-11.702	8.626	2	2739	1
132	102.39	90	0	0	-2.5973	11.819	-5.4613	11.923	2	2599	1
133	69.502	90	0	0	4.2863	11.465	1.3749	10.833	2	2599	1
134	131.8	130	0	0	-8.0487	9.0031	-12.155	8.7407	2	3300	1
135	58.09	50	0	0	6.3766	10.241	2.3991	10.891	2	2479	1
190	68.408	90	0	0	4.4807	11.322	0.4459	11.779	3	3499	1
191	135.52	130	0	0	-8.698	8.5422	-11.702	8.4253	3	2539	1
192	34.354	50	0	0	9.9867	6.8262	9.9022	5.2147	3	2536	1
193	62.51	50	0	0	5.5642	10.693	3.8521	12.037	3	2592	1
194	119.74	130	0	0	-6.0265	10.548	-8.2482	11.779	3	2659	1
195	78.646	90	0	0	2.3872	11.888	0.3268	12.639	3	2599	1
196	57.359	50	0	0	6.4879	10.129	4.9716	11.722	3	2639	1
197	62.938	90	0	0	5.5112	10.787	2.4944	11.12	3	2699	1
198	119.59	130	0	0	-5.9397	10.461	-7.7242	11.607	3	2739	1
199	106.42	90	0	0	-3.4333	11.647	-5.2708	11.607	3	2719	1
200	144.65	130	0	0	-9.8387	6.9784	-12.941	8.6833	3	2559	1
201	33.2	50	0	0	10.16	6.6487	8.4254	5.4727	3	2614	1
202	46.415	50	0	0	8.3316	8.7537	7.1868	8.8553	3	2559	1
203	115.04	130	0	0	-5.1143	10.948	-6.5094	11.665	3	2758	1
204	69.09	90	0	0	4.2936	11.238	0.35062	13.241	3	2620	1
205	130.77	130	0	0	-7.8568	9.1132	-10.273	10.432	3	2660	1
206	117.08	90	0	0	-5.5253	10.805	-7.0096	12.066	3	2620	1
207	46.669	50	0	0	8.3477	8.8487	2.7564	12.123	3	2619	1
262	54.017	50	0	0	7.0651	9.7305	3.471	11.177	4	2620	1
263	130.83	130	0	0	-7.8993	9.1402	-10.035	10.919	4	2619	1
264	83.126	90	0	0	1.4483	12.014	-3.5558	11.923	4	2559	1
265	64.607	90	0	0	5.1579	10.866	2.2562	11.493	4	2720	1
266	154.43	130	0	0	-10.877	5.2039	-13.917	6.82	4	2700	0
267	58.131	50	0	0	6.3428	10.202	2.4229	11.607	4	2719	1
268	34.196	50	0	0	9.9835	6.7837	8.1158	6.648	4	2638	1
269	62.64	90	0	0	5.5578	10.741	1.2081	11.837	4	2599	1
270	126.83	130	0	0	-7.2071	9.6241	-9.7488	8.9987	4	2699	1
271	55.006	50	0	0	6.8934	9.8469	1.8274	11.751	4	2599	1
272	61.301	90	0	0	5.8438	10.674	1.9942	11.923	4	2479	1
273	112.6	130	0	0	-4.6203	11.098	-7.3192	11.55	4	2679	1
274	124.67	130	0	0	-6.9054	9.9835	-10.297	10.289	4	2719	1
275	40.123	50	0	0	9.2071	7.7595	5.2336	8.368	4	2559	1
276	63.973	90	0	0	5.2764	10.805	0.75555	12.496	4	2619	1
277	134.98	130	0	0	-8.5215	8.5281	-13.25	7.336	4	2659	1
278	61.912	90	0	0	5.7677	10.807	1.4225	11.579	4	2479	1
279	33.659	50	0	0	9.9971	6.657	8.1634	6.8773	4	2619	1
