trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	149.67	130	0	0	-9.7672	5.7151	-14.179	6.6767	1	2159	1
140	97.276	90	0	0	-1.4323	11.219	-2.9841	13.671	1	2180	0
141	57.424	50	0	0	6.0804	9.5164	2.804	12.295	1	2180	1
142	137.52	130	0	0	-8.2888	7.5888	-9.9632	10.69	1	2119	1
143	71.234	90	0	0	3.6361	10.702	-0.69743	13.671	1	2119	0
144	70.348	50	0	0	3.8604	10.811	0.80319	12.783	1	2139	1
145	75.393	50	0	0	2.9078	11.158	0.23153	13.213	1	2112	1
146	141.46	130	0	0	-8.8791	7.0722	-11.726	10.403	1	2159	1
147	74.845	90	0	0	2.9903	11.04	-0.79271	13.27	1	2137	1
148	53.212	50	0	0	6.8218	9.1228	3.9712	11.693	1	2139	1
149	104.14	90	0	0	-2.765	10.979	-6.0806	13.671	1	2119	0
150	137.65	130	0	0	-8.3539	7.6153	-11.416	10.633	1	2139	1
151	74.384	90	0	0	3.0464	10.899	-0.48306	13.241	1	2119	1
152	139.26	130	0	0	-8.3419	7.1865	-11.773	10.432	1	2099	1
153	61.934	50	0	0	5.4157	10.157	1.756	12.439	1	2139	1
154	48.805	50	0	0	7.3233	8.3668	5.9244	9.8873	1	2159	1
155	148.53	130	0	0	-9.6266	5.8925	-12.178	9.4287	1	2179	1
156	76.134	90	0	0	2.7342	11.077	-0.14959	11.837	1	2179	1
283	148.96	130	0	0	-9.5217	5.7302	-13.012	8.7693	2	2060	1
284	93.143	90	0	0	-0.6212	11.314	-3.3652	13.671	2	2115	0
285	61.405	50	0	0	5.4887	10.069	5.4003	12.639	2	2439	1
286	39.812	50	0	0	8.7157	7.2648	8.4016	9.916	2	2140	1
287	172.93	130	0	0	-11.176	1.3854	-12.893	8.454	2	2080	1
288	78.209	90	0	0	2.3167	11.098	0.565	13.671	2	2120	1
289	131.23	90	0	0	-7.5379	8.6009	-2.9603	12.123	2	2110	1
290	76.909	50	0	0	2.6252	11.29	1.2081	13.671	2	2140	0
291	134.15	130	0	0	-7.7277	7.9594	-10.797	11.521	2	2059	1
292	112.78	90	0	0	-4.449	10.595	-6.1997	13.671	2	2119	0
293	66.047	50	0	0	4.7329	10.654	3.471	12.295	2	2159	1
294	131.43	130	0	0	-7.3765	8.3574	-10.106	10.432	2	2079	1
295	169.26	130	0	0	-11.123	2.1104	-12.774	6.0173	2	2079	1
296	42.114	50	0	0	8.4629	7.6505	7.8061	9.916	2	2179	1
297	89.437	90	0	0	0.1117	11.363	-3.5558	13.671	2	2159	0
298	133.55	130	0	0	-7.6269	8.0241	-10.606	12.123	2	2019	1
299	49.393	50	0	0	7.3177	8.5356	8.1396	10.002	2	2159	1
300	103.47	90	0	0	-2.6668	11.131	-4.0798	13.671	2	2159	0
427	144.27	130	0	0	-9.1995	6.6173	-12.536	8.7693	3	2120	1
