Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
289	130	527.800978793	118.641109299	-0.000061	-0.084704	528	395	0.0	-0.085	0	0	4	0	19
289	130	527.526916803	118.814029364	-0.000145	-0.084651	528	395	0.0	-0.085	0	0	4	0	24
289	130	527.350734095	119.07177814	-0.000199	-0.084572	528	395	0.0	-0.085	0	0	4	0	41
289	130	527.402936378	119.329526917	-0.000183	-0.084493	528	395	0.0	-0.085	0	0	4	0	60
289	130	527.360522023	119.499184339	-0.000196	-0.084441	528	395	0.0	-0.085	0	0	4	0	81
289	130	527.409461664	119.756933116	-0.000181	-0.084362	528	395	0.0	-0.085	0	0	4	0	101
289	130	527.096247961	120.102773246	-0.000277	-0.084256	528	395	0.0	-0.085	0	0	4	0	121
289	130	526.195758564	120.960848287	-0.000553	-0.083993	528	395	0.0	-0.085	0	0	4	0	140
289	130	524.848287113	122.252854812	-0.000966	-0.083597	528	395	0.0	-0.085	0	0	4	0	161
289	130	523.32137031	123.805872757	-0.001434	-0.083121	528	395	0.0	-0.085	0	0	4	0	181
289	130	520.492659054	126.48776509	-0.002301	-0.082299	528	395	0.0	-0.085	0	0	4	0	200
289	130	517.001631321	130.04730832	-0.003371	-0.081208	528	395	0.0	-0.085	0	0	4	0	220
289	130	512.763458401	134.402936378	-0.004670	-0.079873	528	395	0.0	-0.085	0	0	4	0	241
289	130	506.890701468	140.45187602	-0.006470	-0.078019	528	395	0.0	-0.085	0	0	4	0	260
289	130	500.169657423	147.864600326	-0.008530	-0.075747	528	395	0.0	-0.085	0	0	4	0	280
289	130	492.515497553	156.579119086	-0.010876	-0.073076	528	395	0.0	-0.085	0	0	4	0	300
289	130	483.171288744	167.619902121	-0.013740	-0.069692	528	395	0.0	-0.085	0	0	4	0	321
289	130	472.655791191	180.866231648	-0.016963	-0.065632	528	395	0.0	-0.085	0	0	4	0	340
