Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
73	50.3355595318	50	0.0	-0.085	0.070869	0.000470	288	633	1	3269
74	93.4159690835	90	0.0	-0.085	-0.006819	0.029239	611	827	1	3089
75	136.901151091	130	0.0	-0.085	-0.086220	-0.004320	1164	611	1	2841
76	134.39584212	130	0.0	-0.085	-0.079992	-0.003303	1156	629	1	2675
77	54.6245542994	50	0.0	-0.085	0.066266	0.008330	285	626	1	4047
78	85.7127690559	90	0.0	-0.085	0.008443	0.027624	557	738	1	3001
79	133.736770366	130	0.0	-0.085	-0.078099	-0.003379	1155	610	1	3843
80	57.7278615443	50	0.0	-0.085	0.060576	0.010925	288	670	1	4053
81	89.7611171363	90	0.0	-0.085	0.000472	0.028208	558	805	1	3709
82	57.1316405743	50	0.0	-0.085	0.061621	0.010367	341	711	1	3577
83	129.055009153	130	0.0	-0.085	-0.070631	0.002051	1134	608	1	2993
84	93.1068728608	90	0.0	-0.085	-0.006082	0.027052	688	877	1	3549
85	94.0889687382	90	0.0	-0.085	-0.008076	0.027971	775	843	1	2929
86	136.284857916	130	0.0	-0.085	-0.081735	-0.006851	1168	609	1	2858
87	58.0440082362	50	0.0	-0.085	0.058963	0.009522	320	652	1	3361
88	92.6325055775	90	0.0	-0.085	-0.005128	0.026531	732	853	1	2955
89	126.208821834	130	0.0	-0.085	-0.068352	0.008361	1093	705	1	3136
90	60.6918508648	50	0.0	-0.085	0.054269	0.011674	305	667	1	4551
145	52.1209459654	50	0.0	-0.085	0.069738	0.004650	422	680	2	2880
146	95.1951136671	90	0.0	-0.085	-0.010289	0.028164	687	806	2	2537
147	133.090753283	130	0.0	-0.085	-0.078238	-0.001366	1168	611	2	2488
148	134.348792773	130	0.0	-0.085	-0.078891	-0.004295	1165	604	2	2416
149	91.3868375267	90	0.0	-0.085	-0.002723	0.027476	653	777	2	2595
150	53.6655451274	50	0.0	-0.085	0.066534	0.005461	354	651	2	2695
151	51.631045114	50	0.0	-0.085	0.068786	0.001883	357	629	2	2539
152	132.432908215	130	0.0	-0.085	-0.074608	-0.003388	1169	568	2	2439
153	93.3625330237	90	0.0	-0.085	-0.006582	0.027025	788	815	2	2479
154	132.785772004	130	0.0	-0.085	-0.076666	-0.002167	1172	624	2	2633
155	94.4528790631	90	0.0	-0.085	-0.008691	0.026603	754	811	2	2581
156	55.9860893602	50	0.0	-0.085	0.063491	0.009080	338	633	2	2731
157	128.089387697	130	0.0	-0.085	-0.069705	0.003932	1138	628	2	2739
158	61.1068037782	50	0.0	-0.085	0.055475	0.015521	341	638	2	2703
159	92.3752139645	90	0.0	-0.085	-0.004634	0.026719	714	800	2	2519
160	112.184681838	130	0.0	-0.085	-0.043060	0.020596	864	772	2	2521
