Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
91	152.112346447	130	0.0	-0.085	-0.109772	-0.026909	1043	690	1	2940
92	99.2574722553	90	0.0	-0.085	-0.019314	0.033495	658	835	1	1899
93	49.0627757104	50	0.0	-0.085	0.080403	0.007698	178	686	1	1719
94	115.928409249	90	0.0	-0.085	-0.054063	0.026198	667	899	1	1639
95	139.475379276	130	0.0	-0.085	-0.091799	-0.006528	1038	758	1	1579
96	25.0432605035	50	0.0	-0.085	0.109420	-0.033876	209	678	1	1619
97	90.5245164919	50	0.0	-0.085	-0.001106	0.035811	425	858	1	1779
98	144.316552137	130	0.0	-0.085	-0.101208	-0.012319	1071	744	1	1599
99	64.7992681678	90	0.0	-0.085	0.053024	0.027678	586	818	1	1679
100	96.643893462	90	0.0	-0.085	-0.014265	0.037467	644	881	1	1659
101	132.773641666	130	0.0	-0.085	-0.081843	0.003464	1030	734	1	1999
102	59.2588810048	50	0.0	-0.085	0.063913	0.022466	415	722	1	3032
103	92.2209659962	90	0.0	-0.085	-0.004725	0.036833	685	828	1	1899
104	66.9589865861	50	0.0	-0.085	0.047968	0.027781	427	845	1	1959
105	136.806537239	130	0.0	-0.085	-0.088059	-0.002326	1098	664	1	1738
106	74.4903311887	90	0.0	-0.085	0.033674	0.036345	580	881	1	1599
107	64.8925031277	50	0.0	-0.085	0.050998	0.023832	453	871	1	1759
108	119.170310809	130	0.0	-0.085	-0.059497	0.021587	973	899	1	1739
235	90.6189528958	50	0.0	-0.085	-0.001302	0.035520	394	719	2	5810
236	112.328762097	90	0.0	-0.085	-0.047616	0.030934	722	862	2	1660
237	145.633904362	130	0.0	-0.085	-0.100201	-0.016478	1088	702	2	1540
238	113.359596875	130	0.0	-0.085	-0.049023	0.028505	863	859	2	1799
239	40.8118851564	50	0.0	-0.085	0.093741	-0.004051	96	626	2	1759
240	150.510418218	90	0.0	-0.085	-0.107946	-0.023953	818	764	2	1539
241	58.9201749443	50	0.0	-0.085	0.064506	0.022018	300	751	2	1519
242	61.5467468348	90	0.0	-0.085	0.057540	0.021182	486	742	2	1639
243	125.679460575	130	0.0	-0.085	-0.072060	0.015358	827	775	2	1939
244	127.629957072	130	0.0	-0.085	-0.073791	0.010716	861	717	2	1939
245	49.9289176251	50	0.0	-0.085	0.078811	0.008687	260	735	2	1759
246	103.096702365	90	0.0	-0.085	-0.028006	0.035380	677	885	2	1759
247	109.806343692	130	0.0	-0.085	-0.041194	0.029381	862	899	2	1879
248	23.5607514749	50	0.0	-0.085	0.114898	-0.034896	206	691	2	1899
249	99.746725223	90	0.0	-0.085	-0.020572	0.034763	676	785	2	1699
250	92.3625093326	90	0.0	-0.085	-0.005060	0.037646	825	831	2	1999
251	45.5014345286	50	0.0	-0.085	0.086418	0.002944	430	784	2	1943
252	126.55579087	130	0.0	-0.085	-0.073074	0.013553	1037	807	2	1659
379	140.836971008	130	0.0	-0.085	-0.094084	-0.008368	1133	604	3	4156
380	64.026765479	50	0.0	-0.085	0.054876	0.027646	374	830	3	1919
381	110.277956918	90	0.0	-0.085	-0.041704	0.027874	650	899	3	1599
382	87.1940407138	90	0.0	-0.085	0.005948	0.036357	609	899	3	1799
383	121.974782373	130	0.0	-0.085	-0.064846	0.018877	810	899	3	1939
384	19.8211764871	50	0.0	-0.085	0.114438	-0.043752	178	736	3	1679
385	91.9477724549	50	0.0	-0.085	-0.004109	0.035824	463	868	3	1679
386	128.257191316	130	0.0	-0.085	-0.077918	0.013813	955	855	3	1619
387	83.350113321	90	0.0	-0.085	0.014134	0.036232	664	899	3	1579
388	49.4072426	130	0.0	-0.085	0.078153	0.006206	770	899	3	1619
389	62.4660552527	50	0.0	-0.085	0.056117	0.022644	505	899	3	1819
390	103.424822017	90	0.0	-0.085	-0.028157	0.032964	700	899	3	1639
391	120.402064663	130	0.0	-0.085	-0.061556	0.019911	876	899	3	1739
392	85.5156425855	90	0.0	-0.085	0.009511	0.036272	660	899	3	2480
393	58.0344357743	50	0.0	-0.085	0.065244	0.019552	427	873	3	2258
394	76.9219228282	50	0.0	-0.085	0.028398	0.037245	444	833	3	1779
395	73.3293195313	90	0.0	-0.085	0.034613	0.030586	593	877	3	2062
396	109.060195387	130	0.0	-0.085	-0.040276	0.031572	895	899	3	2995
523	63.9744515968	50	0.0	-0.085	0.052745	0.023021	494	630	4	4107
524	116.789072759	90	0.0	-0.085	-0.054284	0.022515	734	842	4	1479
525	142.866766796	130	0.0	-0.085	-0.096444	-0.011972	1032	715	4	1459
526	32.2898642692	130	0.0	-0.085	0.102311	-0.020347	901	701	4	1479
527	68.3111211636	50	0.0	-0.085	0.044446	0.026751	405	679	4	1539
528	137.503424872	90	0.0	-0.085	-0.089235	-0.003241	913	692	4	1439
529	101.183824809	130	0.0	-0.085	-0.024489	0.038862	826	786	4	1519
530	38.5298977869	50	0.0	-0.085	0.098929	-0.006224	409	716	4	1599
531	82.3027828872	90	0.0	-0.085	0.016226	0.035054	585	781	4	1559
532	111.700243778	90	0.0	-0.085	-0.044564	0.026983	674	805	4	1379
533	63.0106352935	50	0.0	-0.085	0.055305	0.023592	475	758	4	1379
534	33.4941345359	130	0.0	-0.085	0.107136	-0.014104	684	800	4	1379
535	84.0072928604	130	0.0	-0.085	0.012621	0.035228	880	660	4	1859
536	106.455495036	50	0.0	-0.085	-0.034829	0.032917	500	788	4	1459
537	83.3912535229	90	0.0	-0.085	0.014298	0.038409	592	844	4	1599
538	90.1098816631	130	0.0	-0.085	-0.000232	0.035972	716	899	4	1440
539	94.8790715161	90	0.0	-0.085	-0.010539	0.038462	717	899	4	1559
540	116.073223927	50	0.0	-0.085	-0.053056	0.023429	673	778	4	1399
