Trial#	TargetAngle	ArcAngle	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	XTouch	YTouch	Block#	Time(ms)
139	152.121647944	130	0.0	-0.085	-0.101038	-0.031552	1217	554	1	2038
140	98.31165584	90	0.0	-0.085	-0.016097	0.025184	758	858	1	1720
141	51.1166482916	50	0.0	-0.085	0.073372	0.005985	270	788	1	1779
142	112.087961775	90	0.0	-0.085	-0.045404	0.026884	815	899	1	1759
143	136.918066322	130	0.0	-0.085	-0.093893	0.002808	1032	899	1	2979
144	27.5325136449	50	0.0	-0.085	0.102661	-0.031484	258	805	1	1819
145	86.8229016328	50	0.0	-0.085	0.006448	0.031164	457	899	1	1739
146	140.872741831	130	0.0	-0.085	-0.092826	-0.009489	1013	780	1	1799
147	67.1943378248	90	0.0	-0.085	0.045835	0.024007	385	887	1	1739
148	94.97833447	90	0.0	-0.085	-0.009924	0.028928	648	899	1	1740
149	132.185605066	130	0.0	-0.085	-0.076690	-0.000380	867	899	1	1719
150	57.5333864884	50	0.0	-0.085	0.062338	0.012977	411	899	1	1780
151	89.7860321116	90	0.0	-0.085	0.000429	0.029876	620	899	1	1740
152	64.7252982593	50	0.0	-0.085	0.049637	0.020128	451	899	1	1740
153	136.268455413	130	0.0	-0.085	-0.082746	-0.005839	972	800	1	1820
154	74.6432498703	90	0.0	-0.085	0.031191	0.028573	661	899	1	1720
155	63.8428627952	50	0.0	-0.085	0.049208	0.015193	412	899	1	1759
156	121.556609446	130	0.0	-0.085	-0.060407	0.013357	962	866	1	1739
283	90.0760982177	50	0.0	-0.085	-0.000147	0.025679	450	800	2	2020
284	107.820370846	90	0.0	-0.085	-0.038219	0.033893	781	823	2	1779
285	144.731298562	130	0.0	-0.085	-0.092899	-0.019300	1100	748	2	1739
286	112.529293597	130	0.0	-0.085	-0.044599	0.022516	943	864	2	2431
287	42.8580271009	50	0.0	-0.085	0.086455	-0.004779	359	822	2	1819
288	146.837321878	90	0.0	-0.085	-0.107656	-0.014652	879	832	2	2839
289	58.0820891492	50	0.0	-0.085	0.062258	0.014952	460	858	2	1779
290	63.9408961499	90	0.0	-0.085	0.049725	0.016685	395	887	2	1759
291	124.534526705	130	0.0	-0.085	-0.066133	0.011100	998	899	2	3707
292	126.749709076	130	0.0	-0.085	-0.067257	0.005069	911	899	2	2573
293	48.676489789	50	0.0	-0.085	0.075560	0.000937	300	718	2	3899
294	101.304030371	90	0.0	-0.085	-0.022764	0.028881	666	871	2	1819
295	110.273629156	130	0.0	-0.085	-0.038942	0.020423	914	823	2	1739
296	27.0973540389	50	0.0	-0.085	0.116648	-0.025315	408	719	2	4819
297	97.8219752955	90	0.0	-0.085	-0.015393	0.027052	738	861	2	2419
298	91.1440002075	90	0.0	-0.085	-0.002271	0.028725	759	829	2	1919
299	47.6143976359	50	0.0	-0.085	0.077958	0.000418	270	609	2	1859
300	126.079384864	130	0.0	-0.085	-0.066870	0.006771	818	748	2	1759
427	141.9914287	130	0.0	-0.085	-0.088473	-0.015856	1020	680	3	2520
428	62.1312654932	50	0.0	-0.085	0.055038	0.019086	488	775	3	1739
429	108.796799121	90	0.0	-0.085	-0.041690	0.037486	724	899	3	2619
430	84.3854932423	90	0.0	-0.085	0.011395	0.030913	624	899	3	1759
431	119.624447569	130	0.0	-0.085	-0.056646	0.014616	866	882	3	1719
432	24.4020837246	50	0.0	-0.085	0.109526	-0.035312	298	703	3	2601
433	87.9793548348	50	0.0	-0.085	0.004158	0.032852	461	839	3	1779
434	128.914420022	130	0.0	-0.085	-0.073933	0.006579	892	848	3	1980
435	81.5630456111	90	0.0	-0.085	0.016625	0.027084	631	899	3	3056
436	52.0406081208	130	0.0	-0.085	0.070859	0.005828	849	899	3	1859
437	61.4523280498	50	0.0	-0.085	0.053911	0.014095	447	899	3	1760
438	99.7957107556	90	0.0	-0.085	-0.019521	0.028065	751	899	3	1779
439	120.682296171	130	0.0	-0.085	-0.058200	0.013089	827	884	3	1779
440	84.4212466935	90	0.0	-0.085	0.011014	0.027760	711	899	3	1839
441	57.1743245754	50	0.0	-0.085	0.062268	0.011526	496	820	3	1739
442	75.5634731064	50	0.0	-0.085	0.029531	0.029712	565	866	3	1819
443	73.0398643742	90	0.0	-0.085	0.033393	0.024496	519	872	3	1779
444	109.234708237	130	0.0	-0.085	-0.037587	0.022725	797	847	3	1739
571	64.0090111517	50	0.0	-0.085	0.049665	0.016869	360	752	4	2439
572	112.368412032	90	0.0	-0.085	-0.045425	0.025382	775	781	4	1739
573	140.158137893	130	0.0	-0.085	-0.098247	-0.003022	1044	799	4	2939
574	35.8299643288	130	0.0	-0.085	0.103129	-0.010539	917	784	4	2959
575	68.4711622289	50	0.0	-0.085	0.042443	0.022589	415	810	4	1759
576	134.582152144	90	0.0	-0.085	-0.089430	0.005744	820	830	4	2739
577	101.98413639	130	0.0	-0.085	-0.024322	0.029582	891	832	4	1859
578	41.2559321311	50	0.0	-0.085	0.092087	-0.004225	217	618	4	1999
579	83.4512126097	90	0.0	-0.085	0.012831	0.026770	683	868	4	2870
580	109.392129775	90	0.0	-0.085	-0.037492	0.021511	830	856	4	1780
581	59.7267425462	50	0.0	-0.085	0.058096	0.014526	433	758	4	1840
582	36.2500210334	130	0.0	-0.085	0.098276	-0.012941	795	833	4	2000
583	85.2807404773	130	0.0	-0.085	0.009235	0.026867	612	899	4	1854
584	104.035395329	50	0.0	-0.085	-0.027815	0.026267	706	899	4	1879
585	82.3855245883	90	0.0	-0.085	0.015482	0.030809	489	899	4	1839
586	90.6274945815	130	0.0	-0.085	-0.001242	0.028401	865	899	4	1859
587	94.3012304408	90	0.0	-0.085	-0.008693	0.030580	725	899	4	1799
588	112.04625438	50	0.0	-0.085	-0.043974	0.023587	633	832	4	1799
