trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
139	76.105	50	0	0	2.6668	10.78	5.9856	4.434	1	3300	1
140	146.31	130	0	0	-9.3427	6.2287	-7.7583	4.5773	1	2328	1
141	118.61	90	0	0	-5.3619	9.8283	-3.6851	7.2433	1	2419	1
142	144.71	130	0	0	-9.1134	6.4502	-7.3295	4.434	1	2279	1
143	121.91	90	0	0	-5.911	9.4942	0.72146	6.584	1	2888	1
144	71.468	50	0	0	3.6115	10.773	7.6053	4.0613	1	2568	1
145	135.99	90	0	0	-8.1523	7.8764	-2.7562	8.5047	1	3255	1
146	52.888	50	0	0	6.7511	8.9227	9.7014	3.316	1	2679	1
147	158.83	130	0	0	-10.477	4.0577	-7.6868	5.2653	1	2380	1
148	71.423	50	0	0	3.6385	10.826	8.1055	4.4627	1	2619	1
149	124.49	90	0	0	-6.3185	9.1959	-0.49334	6.9567	1	3158	1
150	135.42	130	0	0	-7.9244	7.8088	-4.233	10.11	1	2640	1
151	151.07	130	0	0	-9.8654	5.4533	-8.3776	5.81	1	2520	1
152	118.18	90	0	0	-5.2948	9.8825	0.84055	8.132	1	2980	1
153	87.405	50	0	0	0.5158	11.381	7.51	4.52	1	3179	1
154	98.785	50	0	0	-1.7131	11.085	6.8192	6.842	1	2979	1
155	120.58	90	0	0	-5.7161	9.6739	-1.3508	9.0493	1	2950	1
156	123.97	130	0	0	-6.174	9.1632	-3.8281	8.906	1	2919	1
283	96.887	90	0	0	-1.3514	11.188	1.6742	9.2787	2	2560	1
284	152.08	130	0	0	-9.871	5.2319	-7.7821	3.3733	2	2479	1
285	71.476	50	0	0	3.601	10.747	10.345	3.7173	2	2479	1
286	119.9	90	0	0	-5.6068	9.752	-1.2794	7.702	2	2079	1
287	52.491	50	0	0	6.8809	8.9643	7.5338	3.4307	2	2139	1
288	156.73	130	0	0	-10.245	4.4066	-7.6868	4.176	2	2279	1
289	131.39	130	0	0	-7.2959	8.2776	-2.256	6.584	2	2339	1
290	124.02	90	0	0	-6.2207	9.2144	-1.2556	7.6447	2	2540	1
291	67.508	50	0	0	4.3417	10.486	11.178	1.8253	2	2519	0
292	101.33	50	0	0	-2.2084	11.021	7.0812	4.9787	2	2740	0
293	133.19	90	0	0	-7.6862	8.1873	-3.2802	8.6767	2	2539	1
294	133.41	130	0	0	-7.6215	8.0571	-6.5197	8.39	2	2640	1
295	88.925	50	0	0	0.2111	11.247	5.271	8.4473	2	2838	1
296	127.47	90	0	0	-6.8068	8.8789	-2.6609	8.8487	2	2560	1
297	117.15	130	0	0	-5.1254	9.9945	-3.5899	9.508	2	2680	1
298	136.63	90	0	0	-8.0541	7.6083	-3.566	10.024	2	2859	1
299	71.386	50	0	0	3.5547	10.554	6.1523	5.8673	2	2799	1
300	170.14	130	0	0	-10.956	1.9044	-10.783	4.8067	2	2659	1
427	144.74	130	0	0	-9.1672	6.4814	-5.686	8.8773	3	2320	1
428	102.28	50	0	0	-2.3899	10.976	4.5326	9.508	3	2200	1
429	125.13	90	0	0	-6.4219	9.1283	-1.7796	9.9667	3	2220	1
430	86.731	90	0	0	0.6395	11.196	5.4139	8.992	3	2420	1
431	143.51	130	0	0	-9.0728	6.7107	-6.3291	8.8487	3	2379	1
432	85.016	50	0	0	0.9912	11.367	6.1285	9.938	3	2499	1
433	136.36	90	0	0	-8.0666	7.692	-3.0658	9.5367	3	2712	1
434	118.05	130	0	0	-5.2768	9.903	-2.7085	11.687	3	2379	1
435	97.68	50	0	0	-1.5136	11.224	3.7465	8.7627	3	2579	1
