trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	96.84	90	0	0	-1.3821	11.522	-6.1643	10.945	1	2664	1
74	56.729	50	0	0	6.1239	9.333	1.7437	10.401	1	2319	1
75	151.17	130	0	0	-9.9749	5.4898	-12.31	3.2627	1	2059	1
76	107.27	130	0	0	-3.3092	10.642	-4.5922	9.77	1	2059	1
77	73.929	90	0	0	3.2142	11.157	3.959	8.5087	1	2179	1
78	54.47	50	0	0	6.5211	9.1321	5.1023	2.9473	1	2219	0
79	74.987	50	0	0	2.9225	10.897	4.9594	8.05	1	2239	1
80	130.25	130	0	0	-7.2908	8.6128	-7.5935	7.0467	1	2059	1
81	75.26	90	0	0	2.8484	10.826	4.6497	7.9927	1	2119	1
82	116.77	130	0	0	-5.097	10.103	-3.2583	10.028	1	2239	1
83	100.28	90	0	0	-2.0109	11.088	-2.7819	9.7987	1	2499	1
84	74.06	50	0	0	3.077	10.774	3.3158	9.1967	1	2240	1
85	130.19	130	0	0	-7.2033	8.5259	-8.2128	7.7633	1	2420	1
86	72.237	50	0	0	3.4535	10.78	3.4349	8.8813	1	2060	1
87	112.71	90	0	0	-4.3841	10.473	-5.1639	10.63	1	2161	1
88	70.888	50	0	0	3.6828	10.628	3.1015	9.7127	1	2119	1
89	109.6	90	0	0	-3.8008	10.673	-6.0929	11.175	1	2019	1
90	123.87	130	0	0	-6.2758	9.3508	-9.3561	7.706	1	2259	1
145	86.196	90	0	0	0.7506	11.29	1.0768	11.719	2	3237	1
146	132.22	130	0	0	-7.4977	8.2636	-11.166	6.4447	2	2179	1
147	60.476	50	0	0	5.6329	9.9462	8.437	6.6167	2	2179	1
148	62.48	50	0	0	5.2434	10.064	11.01	2.7467	2	2159	0
149	144.03	130	0	0	-9.1174	6.618	-11.357	5.04	2	2391	1
150	76.105	90	0	0	2.7106	10.957	5.0547	8.3653	2	2239	1
