Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
1	90	540.646003263	104.15497553	0.003876	-0.089144	528	395	0.0	-0.085	0.0	0.035	1	0	1
1	90	544.933115824	100.957585644	0.005190	-0.090124	528	395	0.0	-0.085	0.0	0.035	1	0	21
1	90	556.75040783	92.1158238173	0.008812	-0.092834	528	395	0.0	-0.085	0.0	0.035	1	0	41
1	90	572.518760196	80.7063621533	0.013645	-0.096331	528	395	0.0	-0.085	0.0	0.035	1	0	60
1	90	590.460032626	68.0636215334	0.019144	-0.100206	528	395	0.0	-0.085	0.0	0.035	1	0	80
1	90	609.862969005	54.8336052202	0.025091	-0.104261	528	395	0.0	-0.085	0.0	0.035	1	0	100
1	90	626.584013051	43.8189233279	0.030216	-0.107637	528	395	0.0	-0.085	0.0	0.035	1	0	120
1	90	636.701468189	37.3001631321	0.033317	-0.109635	528	395	0.0	-0.085	0.0	0.035	1	0	140
1	90	639.89233279	35.9168026101	0.034295	-0.110059	528	395	0.0	-0.085	0.0	0.035	1	0	160
1	90	638.221859706	37.8515497553	0.033783	-0.109466	528	395	0.0	-0.085	0.0	0.035	1	0	180
1	90	634.414355628	41.3132137031	0.032616	-0.108405	528	395	0.0	-0.085	0.0	0.035	1	0	200
1	90	630.137030995	45.176182708	0.031305	-0.107221	528	395	0.0	-0.085	0.0	0.035	1	0	220
1	90	625.967373573	49.1468189233	0.030027	-0.106004	528	395	0.0	-0.085	0.0	0.035	1	0	240
1	90	622.60685155	52.4355628059	0.028997	-0.104996	528	395	0.0	-0.085	0.0	0.035	1	0	260
1	90	621.141924959	54.1745513866	0.028548	-0.104463	528	395	0.0	-0.085	0.0	0.035	1	0	280
1	90	620.433931485	54.9641109299	0.028331	-0.104221	528	395	0.0	-0.085	0.0	0.035	1	0	300
1	90	620.101141925	55.277324633	0.028229	-0.104125	528	395	0.0	-0.085	0.0	0.035	1	0	320
1	90	619.39314845	55.6590538336	0.028012	-0.104008	528	395	0.0	-0.085	0.0	0.035	1	0	340
1	90	618.639477977	55.7960848287	0.027781	-0.103966	528	395	0.0	-0.085	0.0	0.035	1	0	360
1	90	618.120717781	55.9396411093	0.027622	-0.103922	528	395	0.0	-0.085	0.0	0.035	1	0	380
1	90	617.412724307	56.3246329527	0.027405	-0.103804	528	395	0.0	-0.085	0.0	0.035	1	0	401
1	90	616.283849918	56.9380097879	0.027059	-0.103616	528	395	0.0	-0.085	0.0	0.035	1	0	420
1	90	615.621533442	57.1598694943	0.026856	-0.103548	528	395	0.0	-0.085	0.0	0.035	1	0	440
1	90	615.102773246	57.3034257749	0.026697	-0.103504	528	395	0.0	-0.085	0.0	0.035	1	0	460
1	90	614.492659054	57.7732463295	0.026510	-0.103360	528	395	0.0	-0.085	0.0	0.035	1	0	480
1	90	614.068515498	58.0048939641	0.026380	-0.103289	528	395	0.0	-0.085	0.0	0.035	1	0	500
1	90	614.068515498	58.0048939641	0.026380	-0.103289	528	395	0.0	-0.085	0.0	0.035	1	0	520
1	90	613.924959217	58.0799347471	0.026336	-0.103266	528	395	0.0	-0.085	0.0	0.035	1	0	540
1	90	613.69004894	58.4812398042	0.026264	-0.103143	528	395	0.0	-0.085	0.0	0.035	1	0	560
1	90	613.079934747	58.9543230016	0.026077	-0.102998	528	395	0.0	-0.085	0.0	0.035	1	0	580
1	90	612.280587276	59.6623164763	0.025832	-0.102781	528	395	0.0	-0.085	0.0	0.035	1	0	600
1	90	611.102773246	60.4453507341	0.025471	-0.102541	528	395	0.0	-0.085	0.0	0.035	1	0	621
1	90	609.738988581	61.4665579119	0.025053	-0.102228	528	395	0.0	-0.085	0.0	0.035	1	0	641
1	90	607.908646003	62.8858075041	0.024492	-0.101793	528	395	0.0	-0.085	0.0	0.035	1	0	660
1	90	606.172920065	64.3931484502	0.023960	-0.101331	528	395	0.0	-0.085	0.0	0.035	1	0	680
1	90	604.486133768	65.7406199021	0.023443	-0.100918	528	395	0.0	-0.085	0.0	0.035	1	0	700
1	90	602.329526917	67.4861337684	0.022782	-0.100383	528	395	0.0	-0.085	0.0	0.035	1	0	720
1	90	599.944535073	69.6460032626	0.022051	-0.099721	528	395	0.0	-0.085	0.0	0.035	1	0	740
1	90	596.769983687	72.5367047308	0.021078	-0.098835	528	395	0.0	-0.085	0.0	0.035	1	0	760
1	90	592.805872757	76.1615008157	0.019863	-0.097724	528	395	0.0	-0.085	0.0	0.035	1	0	780
1	90	587.924959217	80.6182707993	0.018367	-0.096358	528	395	0.0	-0.085	0.0	0.035	1	0	800
1	90	582.54812398	86.0929853181	0.016719	-0.094680	528	395	0.0	-0.085	0.0	0.035	1	0	820
1	90	577.425774878	92.0277324633	0.015149	-0.092861	528	395	0.0	-0.085	0.0	0.035	1	0	840
1	90	572.137030995	98.6769983687	0.013528	-0.090823	528	395	0.0	-0.085	0.0	0.035	1	0	860
1	90	568.486133768	105.398042414	0.012409	-0.088763	528	395	0.0	-0.085	0.0	0.035	1	0	880
1	90	565.957585644	112.771615008	0.011634	-0.086503	528	395	0.0	-0.085	0.0	0.035	1	0	900
1	90	565.676998369	119.969004894	0.011548	-0.084297	528	395	0.0	-0.085	0.0	0.035	1	0	920
1	90	567.72593801	127.065252855	0.012176	-0.082122	528	395	0.0	-0.085	0.0	0.035	1	0	940
1	90	571.983686786	134.412724307	0.013481	-0.079870	528	395	0.0	-0.085	0.0	0.035	1	0	960
1	90	577.706362153	142.187601958	0.015235	-0.077487	528	395	0.0	-0.085	0.0	0.035	1	0	980
1	90	584.646003263	150.396411093	0.017362	-0.074971	528	395	0.0	-0.085	0.0	0.035	1	0	1000
1	90	592.91680261	158.970636215	0.019897	-0.072343	528	395	0.0	-0.085	0.0	0.035	1	0	1020
1	90	601.376835237	167.897226754	0.022490	-0.069607	528	395	0.0	-0.085	0.0	0.035	1	0	1040
1	90	609.876019576	177.261011419	0.025095	-0.066737	528	395	0.0	-0.085	0.0	0.035	1	0	1060
1	90	618.20228385	186.618270799	0.027647	-0.063869	528	395	0.0	-0.085	0.0	0.035	1	0	1080
1	90	625.92822186	195.492659054	0.030015	-0.061149	528	395	0.0	-0.085	0.0	0.035	1	0	1100
1	90	633.203915171	203.7862969	0.032245	-0.058607	528	395	0.0	-0.085	0.0	0.035	1	0	1120
1	90	639.507340946	210.634584013	0.034177	-0.056508	528	395	0.0	-0.085	0.0	0.035	1	0	1140
1	90	644.95269168	216.112561175	0.035846	-0.054829	528	395	0.0	-0.085	0.0	0.035	1	0	1160
1	90	649.168026101	219.998368679	0.037138	-0.053638	528	395	0.0	-0.085	0.0	0.035	1	0	1180
1	90	652.150081566	221.991843393	0.038052	-0.053027	528	395	0.0	-0.085	0.0	0.035	1	0	1200
1	90	653.305057096	222.608482871	0.038406	-0.052838	528	395	0.0	-0.085	0.0	0.035	1	0	1220
1	90	652.535073409	222.197389886	0.038170	-0.052964	528	395	0.0	-0.085	0.0	0.035	1	0	1240
