Trial#	TargetAngle	XCursor(px)	YCursor(px)	XRobot(m)	YRobot(m)	XScreenOffset(px)	YScreenOffset(px)	XHomePosition(m)	YHomePosition(m)	XTarget(m)	YTarget(m)	Block#	Rotation	Time(ms)
187	90	527.45187602	119.587275693	-0.000168	-0.084414	528	395	0.0	-0.085	0.0	0.035	1	0	0
187	90	527.275693312	119.84502447	-0.000222	-0.084335	528	395	0.0	-0.085	0.0	0.035	1	0	20
187	90	526.427406199	120.960848287	-0.000482	-0.083993	528	395	0.0	-0.085	0.0	0.035	1	0	40
187	90	525.171288744	122.340946166	-0.000867	-0.083570	528	395	0.0	-0.085	0.0	0.035	1	0	60
187	90	524.466557912	123.805872757	-0.001083	-0.083121	528	395	0.0	-0.085	0.0	0.035	1	0	80
187	90	523.722675367	125.443719413	-0.001311	-0.082619	528	395	0.0	-0.085	0.0	0.035	1	0	100
187	90	523.021207178	126.911908646	-0.001526	-0.082169	528	395	0.0	-0.085	0.0	0.035	1	0	120
187	90	522.779771615	128.383360522	-0.001600	-0.081718	528	395	0.0	-0.085	0.0	0.035	1	0	140
187	90	523.210440457	129.420880914	-0.001468	-0.081400	528	395	0.0	-0.085	0.0	0.035	1	0	160
187	90	523.644371941	130.458401305	-0.001335	-0.081082	528	395	0.0	-0.085	0.0	0.035	1	0	180
187	90	524.169657423	131.584013051	-0.001174	-0.080737	528	395	0.0	-0.085	0.0	0.035	1	0	200
187	90	524.23817292	132.709624796	-0.001153	-0.080392	528	395	0.0	-0.085	0.0	0.035	1	0	220
187	90	524.398042414	133.923327896	-0.001104	-0.080020	528	395	0.0	-0.085	0.0	0.035	1	0	240
187	90	524.23817292	135.052202284	-0.001153	-0.079674	528	395	0.0	-0.085	0.0	0.035	1	0	260
187	90	523.898858075	136.442088091	-0.001257	-0.079248	528	395	0.0	-0.085	0.0	0.035	1	0	280
187	90	523.644371941	137.489396411	-0.001335	-0.078927	528	395	0.0	-0.085	0.0	0.035	1	0	300
187	90	522.942903752	138.970636215	-0.001550	-0.078473	528	395	0.0	-0.085	0.0	0.035	1	0	320
187	90	522.554649266	140.102773246	-0.001669	-0.078126	528	395	0.0	-0.085	0.0	0.035	1	0	340
187	90	522.342577488	140.973898858	-0.001734	-0.077859	528	395	0.0	-0.085	0.0	0.035	1	0	360
187	90	522.30995106	141.587275693	-0.001744	-0.077671	528	395	0.0	-0.085	0.0	0.035	1	0	380
187	90	522.636215334	142.109298532	-0.001644	-0.077511	528	395	0.0	-0.085	0.0	0.035	1	0	400
187	90	522.779771615	142.458401305	-0.001600	-0.077404	528	395	0.0	-0.085	0.0	0.035	1	0	420
187	90	522.965742251	142.63132137	-0.001543	-0.077351	528	395	0.0	-0.085	0.0	0.035	1	0	440
187	90	522.88091354	142.980424144	-0.001569	-0.077244	528	395	0.0	-0.085	0.0	0.035	1	0	460
187	90	522.662316476	143.417618271	-0.001636	-0.077110	528	395	0.0	-0.085	0.0	0.035	1	0	480
187	90	521.810766721	144.11908646	-0.001897	-0.076895	528	395	0.0	-0.085	0.0	0.035	1	0	500
187	90	520.779771615	145.084828711	-0.002213	-0.076599	528	395	0.0	-0.085	0.0	0.035	1	0	520
187	90	519.39314845	146.138662316	-0.002638	-0.076276	528	395	0.0	-0.085	0.0	0.035	1	0	540
187	90	517.331158238	147.636215334	-0.003270	-0.075817	528	395	0.0	-0.085	0.0	0.035	1	0	560
187	90	515.138662316	149.225122349	-0.003942	-0.075330	528	395	0.0	-0.085	0.0	0.035	1	0	580
187	90	512.593800979	151.345840131	-0.004722	-0.074680	528	395	0.0	-0.085	0.0	0.035	1	0	600
