trial	targetangle_deg	arcangle_deg	homex_cm	homey_cm	handx_cm	handy_cm	tapx_cm	tapy_cm	block	time_ms	selected
73	142.15	130	0	0	-8.9181	6.9299	-8.1304	8.442	1	2846	1
74	44.916	50	0	0	7.9794	7.9559	10.83	4.9447	1	2518	1
75	88.736	90	0	0	0.2538	11.501	3.7794	10.477	1	2509	1
76	120.44	90	0	0	-5.8462	9.9497	-3.4617	10.477	1	2368	1
77	39.409	50	0	0	8.8701	7.2883	10.711	4.8013	1	2490	1
78	129.22	130	0	0	-7.3435	8.9967	-4.7956	10.133	1	2569	1
79	159.51	130	0	0	-10.515	3.9295	-9.5595	6.2633	1	2309	1
80	100.45	90	0	0	-2.0564	11.15	2.1835	10.248	1	2590	1
81	38.523	50	0	0	8.7573	6.9717	10.782	4.6867	1	2508	1
82	111.54	90	0	0	-4.1486	10.511	-1.2942	10.506	1	2710	1
83	124.87	130	0	0	-6.5602	9.4136	-2.8186	10.334	1	2609	1
84	53.599	50	0	0	6.7453	9.1489	10.473	4.658	1	2714	1
85	113.56	90	0	0	-4.4705	10.254	-2.509	11.165	1	2791	1
86	57.004	50	0	0	6.1725	9.5064	8.9244	7.2667	1	3155	1
87	146.26	130	0	0	-9.3948	6.2746	-7.249	8.1553	1	2575	1
88	83.694	90	0	0	1.2279	11.112	2.374	11.223	1	2703	1
89	136.65	130	0	0	-8.0674	7.6161	-5.8913	9.7033	1	2489	1
90	60.281	50	0	0	5.576	9.7682	8.5194	7.754	1	2685	1
145	153.07	130	0	0	-9.9723	5.066	-9.226	5.4607	2	2665	1
146	89.784	50	0	0	0.0442	11.742	2.9933	11.137	2	2902	1
147	103.35	90	0	0	-2.5857	10.898	-0.24611	12.083	2	2489	1
148	133.06	130	0	0	-7.7053	8.2448	-4.6527	10.85	2	2429	1
149	78.176	90	0	0	2.3321	11.14	4.351	10.449	2	2489	1
150	49.482	50	0	0	7.6354	8.9343	9.8772	7.2953	2	2489	1
151	86.305	90	0	0	0.7243	11.216	3.1839	11.223	2	2469	1
152	70.946	50	0	0	3.7132	10.751	7.9001	9.0727	2	2589	1
153	162.58	130	0	0	-10.898	3.4194	-10.203	5.4607	2	2409	1
154	126.17	90	0	0	-6.6079	9.0383	-1.7467	10.277	2	2449	1
155	145.46	130	0	0	-9.3092	6.4085	-7.1538	8.872	2	2536	1
156	43.987	50	0	0	8.4786	8.1841	10.306	5.26	2	2712	1
157	61.872	50	0	0	5.4076	10.116	9.234	6.4927	2	2668	1
158	137.84	130	0	0	-8.341	7.5528	-6.7726	8.958	2	2508	1
159	121.08	90	0	0	-5.945	9.8613	-1.4371	11.108	2	2749	1
160	51.565	50	0	0	7.1792	9.0465	8.9482	7.2953	2	2632	1
161	119.95	90	0	0	-5.7596	9.9953	-2.0802	10.821	2	2488	1
162	164.42	130	0	0	-11.046	3.0806	-10.226	4.8873	2	2490	1
217	129.95	130	0	0	-7.1418	8.5253	-4.4622	10.678	3	2657	1
218	63.292	50	0	0	5.1121	10.161	7.9716	8.1267	3	2429	1
219	81.372	90	0	0	1.8078	11.914	5.2085	10.735	3	2829	1
220	128.72	90	0	0	-7.2229	9.0079	-4.5574	11.509	3	2409	1
221	81.697	50	0	0	1.6515	11.317	3.4935	11.481	3	2489	1
222	169.52	130	0	0	-11.036	2.0422	-9.2737	6.6073	3	2369	1
223	131.15	130	0	0	-7.4522	8.5262	-3.2474	10.105	3	2409	1
224	91.833	90	0	0	-0.3634	11.357	3.3506	10.965	3	2429	1
225	48.554	50	0	0	7.6321	8.6428	10.187	6.808	3	2549	1
226	127.08	90	0	0	-6.6682	8.8241	-2.1517	11.796	3	2329	1
227	139.84	130	0	0	-8.4624	7.1414	-5.1529	10.735	3	2419	1
228	53.136	50	0	0	6.8016	9.0709	9.1387	8.184	3	2430	1
229	155.65	130	0	0	-10.561	4.7799	-8.8211	8.098	3	2449	1
230	96.33	50	0	0	-1.2468	11.24	3.7556	11.309	3	2490	1
231	137.56	90	0	0	-8.4431	7.721	-2.6281	11.194	3	2489	1
232	71.391	90	0	0	3.5656	10.59	2.1596	10.907	3	2443	1
233	43.388	50	0	0	8.6832	8.2079	8.7576	8.4993	3	2477	1
234	168.95	130	0	0	-11.008	2.1502	-8.6544	6.8653	3	2369	1
289	101.23	90	0	0	-2.2362	11.262	1.5403	10.879	4	3105	1
290	93.031	50	0	0	-0.6031	11.391	3.1362	11.681	4	2647	1
291	137.44	130	0	0	-8.2117	7.5397	-3.5808	11.022	4	2349	1
292	174.78	130	0	0	-11.358	1.0382	-10.036	5.8333	4	2389	1
293	90.074	90	0	0	-0.0145	11.18	1.8262	12.025	4	2369	1
294	38.102	50	0	0	9.3382	7.3225	8.8291	7.152	4	2694	1
295	76.044	50	0	0	2.8059	11.291	4.5654	10.85	4	2462	1
296	139.32	130	0	0	-8.4747	7.2849	-5.6769	9.732	4	2409	1
297	98.211	90	0	0	-1.6301	11.297	-0.93688	12.083	4	2389	1
298	175.97	130	0	0	-11.448	0.8073	-10.131	5.776	4	2489	1
299	84.433	90	0	0	1.1087	11.375	2.636	11.309	4	2472	1
300	53.588	50	0	0	7.1873	9.7442	8.2098	8.7573	4	2869	1
301	145.33	130	0	0	-9.3226	6.4492	-6.3677	10.477	4	2308	1
302	95.729	50	0	0	-1.1469	11.431	3.565	12.083	4	2491	1
303	121.34	90	0	0	-5.8441	9.5977	-1.7467	11.309	4	2448	1
304	147.07	130	0	0	-9.3652	6.0657	-5.9151	9.474	4	2489	1
305	37.257	50	0	0	9.4537	7.1907	8.9482	7.926	4	3189	1
306	89.601	90	0	0	0.0807	11.578	0.70666	11.509	4	2574	1
